seed,batch_size,hidden_size,dropout,rmse,mae,train_time,inference_time,best_epoch,plot_path
42,4,32,0.0,57.48546861218494,33.37728500366211,66.47697710990906,0.019999980926513672,6,grid_search_plots/seed_42/mlp_bs4_hs32_dr0.0.png
42,4,32,0.1,65.05597049368336,39.58845138549805,70.60813212394714,0.016997337341308594,192,grid_search_plots/seed_42/mlp_bs4_hs32_dr0.1.png
42,4,32,0.2,61.62025566486336,34.86979675292969,70.71487402915955,0.018998384475708008,198,grid_search_plots/seed_42/mlp_bs4_hs32_dr0.2.png
42,4,64,0.0,57.48546861218494,33.37728500366211,66.1480643749237,0.016510963439941406,6,grid_search_plots/seed_42/mlp_bs4_hs64_dr0.0.png
42,4,64,0.1,65.05597049368336,39.58845138549805,71.02646946907043,0.017001867294311523,192,grid_search_plots/seed_42/mlp_bs4_hs64_dr0.1.png
42,4,64,0.2,61.62025566486336,34.86979675292969,72.5443344116211,0.016551494598388672,198,grid_search_plots/seed_42/mlp_bs4_hs64_dr0.2.png
42,8,32,0.0,65.85686346041504,46.32602310180664,36.05663299560547,0.01799798011779785,13,grid_search_plots/seed_42/mlp_bs8_hs32_dr0.0.png
42,8,32,0.1,59.675542814089674,32.147945404052734,38.10865783691406,0.017999887466430664,207,grid_search_plots/seed_42/mlp_bs8_hs32_dr0.1.png
42,8,32,0.2,63.10103582871085,37.03217315673828,38.43136930465698,0.01599740982055664,766,grid_search_plots/seed_42/mlp_bs8_hs32_dr0.2.png
42,8,64,0.0,65.85686346041504,46.32602310180664,35.82256770133972,0.017999649047851562,13,grid_search_plots/seed_42/mlp_bs8_hs64_dr0.0.png
42,8,64,0.1,59.675542814089674,32.147945404052734,38.13088035583496,0.016000032424926758,207,grid_search_plots/seed_42/mlp_bs8_hs64_dr0.1.png
42,8,64,0.2,63.10103582871085,37.03217315673828,38.23847436904907,0.015000104904174805,766,grid_search_plots/seed_42/mlp_bs8_hs64_dr0.2.png
42,16,32,0.0,68.29194352763179,49.35856628417969,21.127837657928467,0.015998125076293945,17,grid_search_plots/seed_42/mlp_bs16_hs32_dr0.0.png
42,16,32,0.1,59.9570138170621,33.28854751586914,22.441078662872314,0.015997886657714844,195,grid_search_plots/seed_42/mlp_bs16_hs32_dr0.1.png
42,16,32,0.2,60.61357817663465,33.92825698852539,22.51443886756897,0.01699995994567871,176,grid_search_plots/seed_42/mlp_bs16_hs32_dr0.2.png
42,16,64,0.0,68.29194352763179,49.35856628417969,20.945277214050293,0.018000125885009766,17,grid_search_plots/seed_42/mlp_bs16_hs64_dr0.0.png
42,16,64,0.1,59.9570138170621,33.28854751586914,22.345728874206543,0.016999483108520508,195,grid_search_plots/seed_42/mlp_bs16_hs64_dr0.1.png
42,16,64,0.2,60.61357817663465,33.92825698852539,22.19320297241211,0.01600027084350586,176,grid_search_plots/seed_42/mlp_bs16_hs64_dr0.2.png
42,32,32,0.0,148.02561275417847,91.6550521850586,13.34908652305603,0.016000032424926758,326,grid_search_plots/seed_42/mlp_bs32_hs32_dr0.0.png
42,32,32,0.1,61.39190751714553,34.69832229614258,14.19765830039978,0.019001245498657227,189,grid_search_plots/seed_42/mlp_bs32_hs32_dr0.1.png
42,32,32,0.2,58.17835672658906,31.16956329345703,14.318499326705933,0.01700115203857422,249,grid_search_plots/seed_42/mlp_bs32_hs32_dr0.2.png
42,32,64,0.0,148.02561275417847,91.6550521850586,13.31720232963562,0.014998912811279297,326,grid_search_plots/seed_42/mlp_bs32_hs64_dr0.0.png
42,32,64,0.1,61.39190751714553,34.69832229614258,13.812451839447021,0.014999866485595703,189,grid_search_plots/seed_42/mlp_bs32_hs64_dr0.1.png
42,32,64,0.2,58.17835672658906,31.16956329345703,13.963076829910278,0.015997648239135742,249,grid_search_plots/seed_42/mlp_bs32_hs64_dr0.2.png
123,4,32,0.0,62.66751769008806,37.00802993774414,65.18713212013245,0.016999006271362305,9,grid_search_plots/seed_123/mlp_bs4_hs32_dr0.0.png
123,4,32,0.1,64.17360030855757,38.23360824584961,69.36678075790405,0.0169980525970459,64,grid_search_plots/seed_123/mlp_bs4_hs32_dr0.1.png
123,4,32,0.2,62.040516074301195,37.450035095214844,69.56066417694092,0.017000198364257812,173,grid_search_plots/seed_123/mlp_bs4_hs32_dr0.2.png
