window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
50,-0.25858864,0.49163538,-0.88498753,1.212087,-0.36752757,-0.74881387,-0.013147803,-7.757659
51,-0.26948252,0.4975143,-0.88498753,1.212087,-0.06794548,-0.6943444,-0.021599963,-8.0844755
52,-0.29217815,0.50329924,-0.88498753,1.212087,-0.72157913,-0.74881387,-0.00093912875,-8.765345
53,-0.28945464,0.5011849,-0.88498753,1.212087,-0.28582335,-0.63987494,-0.012208676,-8.68364
54,-0.2994407,0.50398976,-0.88498753,1.212087,-0.34029284,-0.58540547,-0.008452159,-8.983221
55,-0.30307204,0.5046631,-0.88498753,1.212087,-0.17688441,-0.44923177,-0.009391288,-9.092161
56,-0.31759727,0.50708723,-0.88498753,1.212087,-0.040710744,-0.6126402,-0.019721705,-9.527918
57,-0.34392413,0.51250213,-0.88498753,1.212087,-0.36752757,-0.83051807,-0.01596519,-10.317724
58,-0.360265,0.5207432,-0.88498753,1.212087,-0.4764665,-0.8577528,-0.013147803,-10.80795
59,-0.36752757,0.52382344,-0.88498753,1.212087,-0.83051807,-0.6943444,0.0046956437,-11.025827
60,-0.3657119,0.5223077,-0.88498753,1.212087,-0.6943444,-0.7760486,-0.0028173863,-10.971357
61,-0.3457398,0.52081287,-0.88498753,1.212087,-0.28582335,-0.09518021,0.006573901,-10.372194
62,-0.3593572,0.5243966,-0.88498753,1.212087,-0.20411916,-0.6943444,-0.016904319,-10.780716
63,-0.36661977,0.5237046,-0.88498753,1.212087,0.2316366,-0.42199704,-0.022539092,-10.998593
64,-0.391131,0.5122126,-0.88498753,1.212087,0.25887135,-0.5037012,-0.026295604,-11.733931
65,-0.41110316,0.4979614,-0.88498753,1.212087,0.3133408,-0.34029284,-0.022539092,-12.333095
66,-0.44469267,0.48168197,-0.88498753,1.212087,0.095462926,-0.6943444,-0.027234735,-13.34078
67,-0.4710196,0.47294435,-0.88498753,1.212087,-0.09518021,-0.6943444,-0.020660834,-14.130588
68,-0.47828215,0.4687716,-0.88498753,1.212087,1.212087,-0.31305808,-0.05259121,-14.348465
69,-0.53910637,0.3484308,-0.88498753,0.7763313,0.36781028,-0.6126402,-0.033808637,-16.173191
70,-0.5536316,0.3180821,-0.88498753,0.7763313,0.7763313,-0.06794548,-0.029112993,-16.608948
71,-0.603562,0.20165151,-0.88498753,-0.06794548,-0.72157913,-0.72157913,0.0,-18.10686
72,-0.60356194,0.20165151,-0.88498753,-0.06794548,-0.83051807,-0.72157913,0.003756515,-18.106857
73,-0.58358973,0.20776293,-0.88498753,-0.06794548,-0.72157913,-0.2313539,0.016904319,-17.507692
74,-0.56452554,0.2201002,-0.88498753,-0.06794548,-0.4764665,-0.14964968,0.011269546,-16.935766
75,-0.55817074,0.22524294,-0.88498753,-0.06794548,-0.88498753,-0.28582335,0.020660834,-16.745123
76,-0.47646654,0.43694568,-0.8577528,1.5661386,-0.6126402,1.5661386,0.075130306,-14.293996
77,-0.4755587,0.43669,-0.8577528,1.5661386,-0.42199704,-0.58540547,-0.0056347735,-14.266761
78,-0.47828215,0.43660226,-0.8577528,1.5661386,-0.63987494,-0.5037012,0.0046956455,-14.348465
79,-0.46829608,0.43621796,-0.8577528,1.5661386,-0.74881387,-0.34029284,0.014086932,-14.0488825
80,-0.46375698,0.43397808,-0.8577528,1.5661386,-0.6943444,-0.6126402,0.0028173863,-13.912709
81,-0.4564944,0.43187648,-0.8577528,1.5661386,-0.74881387,-0.4764665,0.009391288,-13.694832
82,-0.44741613,0.42848548,-0.8577528,1.5661386,-0.63987494,-0.4764665,0.0056347735,-13.422483
83,-0.44741613,0.42848548,-0.8577528,1.5661386,-0.58540547,-0.63987494,-0.0018782575,-13.422483
84,-0.43379876,0.43037108,-0.8577528,1.5661386,-0.44923177,-0.17688441,0.009391288,-13.013963
85,-0.43743002,0.4309452,-0.8577528,1.5661386,-0.6126402,-0.5581707,0.0018782595,-13.122901
86,-0.44106135,0.43286097,-0.8577528,1.5661386,-0.83051807,-0.72157913,0.003756515,-13.23184
87,-0.43833783,0.43065345,-0.8577528,1.5661386,-0.8577528,-0.74881387,0.003756515,-13.150135
88,-0.43107527,0.42532328,-0.7760486,1.5661386,-0.6943444,-0.63987494,0.0018782575,-12.932259
89,-0.43198308,0.42591292,-0.7760486,1.5661386,-0.7760486,-0.72157913,0.0018782575,-12.959493
90,-0.4256283,0.42213744,-0.74881387,1.5661386,-0.09518021,-0.58540547,-0.016904319,-12.768849
