window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23
20,-0.89111066,-0.6903466,0.7110687,2.0,0.3172507,-0.52585167,0.8965517,3.0,0.011904762,5.0,0.17565905,2.0,0.5,-0.13333334,-0.033333335,0.15942417,4.0,2.136746,0.0,0.0,1.3744467,1.0353622,-0.442877,0.25774533
21,-1.0641645,-0.89226097,0.58612245,1.0,0.44954917,-0.7595956,0.8965517,4.0,0.008719778,5.0,0.0614635,2.0,1.0,0.033333335,-0.1,0.10361614,4.0,2.1069856,0.0,0.0,1.7671459,1.1467123,-0.46375698,0.22180253
22,-1.0984622,-0.9361895,0.60720843,2.0,0.2451442,-0.31762975,0.8965517,4.0,0.0047562425,2.0,0.06306573,3.0,1.0,0.4,-0.16666667,0.12209878,4.0,2.1454587,0.0,0.0,1.9634954,1.1562196,-0.46557263,0.21818289
23,-1.0418515,-0.8831319,0.56924516,1.0,0.22512624,-1.164773,0.9310345,4.0,0.00554895,5.0,0.0766893,1.0,1.0,0.33333334,-0.2,0.09656502,4.0,2.1156983,0.0,0.0,1.9634954,1.1512806,-0.4728352,0.22306737
24,-1.062533,-0.90556794,0.552525,1.0,0.22462405,-0.8703625,0.9310345,5.0,0.009512485,5.0,0.13439889,1.0,1.0,0.26666668,-0.26666668,0.10388209,4.0,2.0952685,0.0,0.0,1.9634954,1.1027768,-0.46557263,0.22556068
25,-1.113496,-0.95558196,0.57721347,1.0,0.19466576,-1.1903918,0.9310345,5.0,0.005945303,2.0,0.076623075,1.0,1.0,0.3,-0.23333333,0.11830917,4.0,2.1274157,0.0,0.0,1.9634954,1.0979849,-0.45558655,0.22420534
26,-1.113496,-0.95558196,0.62473917,2.0,0.1523465,-0.51892674,0.9310345,5.0,0.007927071,2.0,0.062347755,4.0,1.0,0.33333334,-0.3,0.13287146,4.0,2.118703,0.0,0.0,1.7671459,1.1212884,-0.45558655,0.22420534
27,-1.1898776,-1.0287069,0.6915636,2.0,0.24561262,-0.72564375,0.9310345,3.0,0.010204081,2.0,0.15371363,1.0,0.5,0.46666667,-0.23333333,0.18893182,4.0,2.136746,0.0,0.0,1.3744467,1.1007147,-0.43107527,0.2281239
28,-1.1875627,-1.0261657,0.70527947,2.0,0.25159287,-0.826752,0.9310345,4.0,0.015306123,2.0,0.1534744,1.0,0.5,0.4,-0.3,0.19309554,4.0,2.1163158,0.0,0.0,1.1780972,1.0907224,-0.4319831,0.22780414
29,-1.1829268,-1.0216185,0.70494753,2.0,0.32691413,-0.8418601,0.9310345,5.0,0.015306123,2.0,0.15339497,1.0,0.5,0.33333334,-0.36666667,0.18861032,3.0,2.136746,0.0,0.0,1.1780972,1.1056013,-0.43289092,0.22792949
30,0.065032616,-0.76700217,0.7201666,2.0,0.39160404,-0.7703479,0.9310345,6.0,0.020408163,2.0,0.15268077,1.0,0.5,0.26666668,-0.4,0.18849534,3.0,2.168893,0.0,0.0,1.1780972,1.1355218,-0.45104742,0.23731199
31,0.07575072,-0.4185227,0.75030506,2.0,0.45468244,-0.74129695,0.9310345,6.0,0.0051020407,2.0,0.1522069,1.0,0.5,0.2,-0.4,0.18309274,4.0,2.1415198,0.0,0.0,1.1780972,1.1296538,-0.4537709,0.23968737
32,0.026597556,-0.13868722,0.70036024,2.0,0.4618737,-0.57279056,0.9310345,6.0,0.020408163,2.0,0.17262167,2.0,0.5,0.13333334,-0.4,0.13568668,4.0,2.1454587,0.0,0.0,1.1780972,1.174447,-0.4419692,0.23892318
33,-0.050119273,-0.21782608,0.6868922,2.0,0.4643459,-0.60031587,0.9310345,6.0,0.013605442,5.0,0.15051273,2.0,0.5,0.06666667,-0.33333334,0.09290842,4.0,2.1454587,0.0,0.0,1.1780972,1.1734948,-0.4238127,0.23547263
34,-1.2657893,-1.0617985,0.7085954,2.0,0.24146509,-0.28248832,0.9655172,6.0,0.020408163,2.0,0.14072418,2.0,0.5,0.2,-0.33333334,0.09148356,4.0,2.168893,0.0,0.0,1.1780972,1.1344973,-0.3947623,0.26034373
35,-0.4925834,-0.29941344,0.888727,4.0,0.3127027,-0.34956014,0.9655172,5.0,0.04526749,2.0,0.21183689,1.0,0.33333334,0.7,-0.26666668,0.16771607,4.0,2.1156983,0.0,0.0,0.9817477,1.0301753,-0.3648041,0.28197694
36,0.2899144,0.10354085,1.1008692,4.0,0.38792083,-0.27103025,0.9655172,5.0,0.054421768,2.0,0.1887607,2.0,0.25,0.9,-0.33333334,0.23068185,4.0,2.1156983,0.0,0.0,0.5890486,0.90421313,-0.34755543,0.30687267
37,-0.47116616,0.07182411,1.5861833,4.0,0.39550847,-0.08292434,0.9655172,5.0,0.034013607,5.0,0.18991977,2.0,0.25,0.8666667,-0.4,0.27551755,4.0,2.0952685,0.0,0.0,0.5890486,0.8904262,-0.3384772,0.31598878
38,0.19007546,0.37430245,1.7056448,4.0,0.48446965,-0.09524304,0.9655172,6.0,0.034013607,7.0,0.18206258,2.0,0.25,0.8,-0.4,0.3219414,4.0,2.031809,0.0,0.0,0.5890486,0.9362129,-0.3175972,0.31044826
39,0.08262288,0.33384117,0.9334123,4.0,0.2406767,1.0937512,0.9655172,6.0,0.0625,6.0,0.12287452,1.0,0.16666667,0.76666665,-0.36666667,0.3731522,4.0,2.0387523,0.0,0.0,0.5890486,0.87237984,-0.25132602,0.4065399
40,0.010837446,0.2546805,1.4633485,2.0,0.24328092,0.71896726,0.9655172,7.0,0.0625,6.0,0.12071458,1.0,0.14285715,0.73333335,-0.43333334,0.44698718,4.0,2.1069856,0.0,0.0,0.5890486,0.82220584,-0.22227564,0.418836
41,-0.09505422,0.13246912,2.5122526,1.0,0.38633966,0.61005086,1.0,7.0,0.074074075,6.0,0.14933869,3.0,0.125,0.9,-0.2,0.5282334,4.0,2.1069856,0.0,0.0,0.3926991,0.7634169,-0.17506878,0.44887814
42,-0.08836601,0.13756974,2.076505,1.0,0.33274955,-0.7272057,1.0,8.0,0.11111111,4.0,0.08159301,2.0,0.125,0.8333333,-0.2,0.46553892,4.0,2.0411394,0.0,0.0,0.5890486,1.0174342,-0.17779225,0.4520323
