product_id,store_id,seed,metric,threshold,window_size,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
26008,6269,42,spearman,0.82,15,True,False,44.26218837477573,21.682727123904776,-11.029851590087148,0.39113994232043314,0.6887417218543046,40,11.51
26008,6269,42,spearman,0.85,15,True,False,46.54944519025417,24.78518873374713,-14.108701331835045,0.3265881747672451,0.5960264900662252,22,9.89
26008,6269,42,spearman,0.88,15,True,False,40.976877899759636,20.363464372526657,-5.9449578912830665,0.47816950922681156,0.6556291390728477,49,11.39
907969,6269,42,spearman,0.82,15,True,False,50.52110413655161,32.8853662500256,-16.577445402349298,0.17475318294320163,0.695364238410596,21,11.26
907969,6269,42,spearman,0.85,15,True,False,50.73947045904536,33.91327865343345,-19.17757281347325,0.16760387113572017,0.7152317880794702,17,11.62
907969,6269,42,spearman,0.88,15,True,False,43.498568610202355,28.723357246208348,-12.26718100523086,0.3882300748653166,0.7350993377483444,58,13.57
907967,6269,42,spearman,0.82,15,True,False,19.607976800351274,13.859853955475907,-0.32197635346337367,0.2084266069219226,0.6357615894039735,35,11.14
907967,6269,42,spearman,0.85,15,True,False,20.107912668329238,14.154493391513824,0.8085948056296298,0.16754723553361217,0.6291390728476821,10,9.86
907967,6269,42,spearman,0.88,15,True,False,20.391386838412735,14.316930923806993,1.5209910720586777,0.14391054750203292,0.6225165562913907,5,9.59
213626,6269,42,spearman,0.82,15,True,False,21.472210823208602,14.856100675306822,4.871889369268167,0.17591837030766844,0.6622516556291391,117,18.17
213626,6269,42,spearman,0.85,15,True,False,22.156615004658185,15.66897622476283,7.199040602892637,0.12254767175851533,0.6622516556291391,146,19.45
213626,6269,42,spearman,0.88,15,True,False,20.46088674229449,14.39119137882402,2.304118846788218,0.25171746189702016,0.6423841059602649,128,17.86
911753,6269,42,spearman,0.82,15,True,False,28.711224455512617,19.422696863497166,-5.3537219099602416,0.40272229653271396,0.7086092715231788,165,20.91
911753,6269,42,spearman,0.85,15,True,False,28.49322148703735,19.752997729192046,-1.5888469825547777,0.41175806439306817,0.7284768211920529,145,19.63
911753,6269,42,spearman,0.88,15,True,False,27.496188084373077,18.572325441251067,-5.175298106170406,0.45220526509426007,0.7284768211920529,83,15.0
26008,6269,42,spearman,0.75,15,True,False,45.413921634345336,22.67023861790566,-12.652645498220073,0.35904176368053997,0.6821192052980133,32,14.81
26008,6269,42,spearman,0.82,15,True,False,43.02655318459265,21.049682586796973,-6.41560039414387,0.42465964986159954,0.6887417218543046,25,10.53
