product_id,store_id,seed,metric,threshold,window_size,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
26008,6269,42,spearman,0.75,15,True,False,63.741686531605836,37.4618023279074,-27.346342848123687,-0.2626960462910579,0.6423841059602649,122,222.92
26008,6269,42,spearman,0.82,15,True,False,62.48272307383327,36.87427014837924,-30.38816510689886,-0.2133095526782549,0.6357615894039735,20,70.59
26008,6269,42,spearman,0.85,15,True,False,60.26939647084135,34.41751454628416,-26.000347175047192,-0.12887383016344445,0.5960264900662252,60,73.29
26008,6269,42,spearman,0.88,15,True,False,57.24466145404666,32.135817607276536,-24.22402567279182,-0.018407766773518075,0.6887417218543046,47,62.07
26008,6269,42,spearman,0.91,15,True,False,56.53341209293055,31.741970606442344,-18.32447359544274,0.006741897133216157,0.6556291390728477,228,111.75
907969,6269,42,spearman,0.75,15,True,False,60.042514256681656,39.96666256122683,-26.88452327114187,-0.16561715547666012,0.6688741721854304,144,252.7
907969,6269,42,spearman,0.82,15,True,False,60.501814666686066,42.57713270579514,-31.573174866406543,-0.18351834158364233,0.6887417218543046,29,73.04
907969,6269,42,spearman,0.85,15,True,False,58.50262564160186,39.2988005477543,-23.671912565925403,-0.10659551822127766,0.6887417218543046,299,150.93
907969,6269,42,spearman,0.88,15,True,False,58.279046211482196,38.36352429872281,-27.510038789165648,-0.09815353034356411,0.7417218543046358,175,101.94
907969,6269,42,spearman,0.91,15,True,False,53.99046366016239,34.69850699358473,-18.90842951098947,0.057519647838708,0.7086092715231788,205,104.32
907967,6269,42,spearman,0.75,15,True,False,21.70504261900103,15.342127988997259,-1.3496370386136205,0.030055454672669013,0.6556291390728477,30,99.43
907967,6269,42,spearman,0.82,15,True,False,19.52447483027142,14.564537042065671,0.18452195431056775,0.21515419509292133,0.609271523178808,60,71.58
907967,6269,42,spearman,0.85,15,True,False,21.601721725561678,16.756333146440355,4.278470756976228,0.039267785143190626,0.6423841059602649,118,84.45
907967,6269,42,spearman,0.88,15,True,False,20.41934827277923,14.228083923459053,0.21120523073171316,0.14156113387764002,0.5761589403973509,11,49.53
907967,6269,42,spearman,0.91,15,True,False,20.89536963428983,15.198709756920213,2.0327982330008556,0.10107028766511483,0.6291390728476821,8,46.91
213626,6269,42,spearman,0.75,15,True,False,23.994619621513873,15.239926804053155,-4.219127280147452,-0.02906888497424176,0.6423841059602649,30,127.99
213626,6269,42,spearman,0.82,15,True,False,24.926918179548448,15.90011127097042,-5.352498547419121,-0.11059032085719922,0.5629139072847682,94,91.31
213626,6269,42,spearman,0.85,15,True,False,23.6686750891184,16.415739640985663,-3.369476125820687,-0.0013008934789717763,0.5629139072847682,91,79.05
213626,6269,42,spearman,0.88,15,True,False,22.32689546670092,15.131088818374433,-4.179806984568897,0.10900885904447677,0.5960264900662252,39,58.29
213626,6269,42,spearman,0.91,15,True,False,23.91175682492325,15.809490180133205,0.14288259434856868,-0.021973603691305188,0.6158940397350994,172,92.91
911753,6269,42,spearman,0.75,15,True,False,36.61806575985017,24.267025347897096,-10.81741365466855,0.02845331445111232,0.7086092715231788,46,173.12
911753,6269,42,spearman,0.82,15,True,False,34.038775871833906,22.194402020718705,-7.502302545171819,0.16049992258755175,0.7417218543046358,121,107.32
911753,6269,42,spearman,0.85,15,True,False,34.41292750588909,23.66179828404596,-5.385158735866609,0.14194305024987286,0.7218543046357616,65,74.33
911753,6269,42,spearman,0.88,15,True,False,32.65849156942238,21.212468438046542,-8.779540249391607,0.22720355189942432,0.6887417218543046,37,59.12
911753,6269,42,spearman,0.91,15,True,False,35.00224595225419,23.9786931399354,-9.45143855338622,0.11230311009341187,0.695364238410596,113,78.69
