source,target,weight
213629,213628,0.8148667216300964
907970,911753,0.7732720971107483
907970,213631,0.768193781375885
213636,606230,0.6246827244758606
907970,26002,0.518767237663269
907970,587317,0.47089678049087524
907970,500056,0.44815003871917725
545598,606214,0.3520504832267761
582893,907967,0.3103663921356201
907970,213626,0.25115352869033813
278,606214,0.24590586125850677
912509,933457,0.2114342898130417
278,26076,0.1956213265657425
213629,213626,0.1936424821615219
18568,680152,0.1927545666694641
26008,545602,0.19238372147083282
13544,6032,0.1862596720457077
18568,26924,0.17976947128772736
151815,213642,0.17718049883842468
916110,933442,0.17117980122566223
278,908786,0.16506363451480865
151828,538923,0.164010688662529
278,151815,0.15965035557746887
918537,606230,0.15693442523479462
912509,907969,0.15574218332767487
1325,900087600,0.15172085165977478
278,213642,0.1426088511943817
545597,213625,0.1349545270204544
457,26220,0.1325962245464325
48369,538923,0.13060586154460907
921558,151815,0.12613168358802795
18568,915640,0.12408062815666199
151815,26076,0.12033694237470627
907970,26372,0.11857842653989792
921558,933442,0.11706782132387161
545597,919137,0.11647234857082367
907970,545602,0.11606965214014053
213629,500056,0.11423227936029434
908786,933442,0.11203666776418686
912509,16920,0.11107632517814636
907970,26924,0.10928564518690109
457,907967,0.10362505912780762
18568,26372,0.10092935711145401
932812,606214,0.09756812453269958
582893,457,0.09628850221633911
26924,915640,0.09624101221561432
151821,915640,0.0935380607843399
582893,26220,0.09279748797416687
213629,936693,0.09094172716140747
18568,1325,0.09089719504117966
30534,16920,0.0905163362622261
213636,110187,0.08728872984647751
932812,26076,0.08556927740573883
26924,680152,0.08498421311378479
151821,6032,0.08472814410924911
904144,457,0.08428385108709335
907970,915640,0.0827474519610405
48375,500057,0.08259933441877365
907967,457,0.0806952640414238
932812,213630,0.07812094688415527
538923,907969,0.07582641392946243
278,213633,0.07575246691703796
213636,545602,0.07075875252485275
921558,213642,0.07056521624326706
915640,26220,0.06949329376220703
213636,587317,0.06778950989246368
18568,26002,0.0664459690451622
213628,500056,0.0658288225531578
907970,457,0.06579318642616272
932812,545598,0.06548148393630981
907970,606230,0.06202193349599838
918537,213625,0.061563119292259216
907970,500057,0.060189198702573776
921558,26076,0.05621180683374405
582893,904144,0.05576790124177933
213629,680152,0.05515139177441597
907967,26220,0.0511455237865448
6032,26002,0.051128488034009933
904144,213642,0.050825297832489014
918537,213642,0.04992039501667023
48375,26220,0.04952732101082802
213629,16920,0.049394045025110245
921558,213627,0.04779255390167236
933457,500056,0.04604337736964226
151828,16920,0.04585399478673935
213626,545602,0.04522811621427536
278,932812,0.04512403532862663
213631,457,0.044742096215486526
26924,26220,0.04293422773480415
25032,915640,0.042458582669496536
213636,500056,0.04196593165397644
545598,932812,0.041464176028966904
213628,680152,0.041440460830926895
545598,933442,0.04101775214076042
