seed,loss_type,strategy,item_id,store_id,rmse,mae,train_time,inference_time,best_epoch
42,MSELoss,best_val,26008,6269,52.240990551003144,27.9642333984375,8.492356061935425,0.06331324577331543,33
42,L1Loss,best_val,26008,6269,51.02621205229965,27.726375579833984,12.038470268249512,0.10199952125549316,92
42,HuberLoss,best_val,26008,6269,47.79915561329248,25.0747013092041,9.730056762695312,0.062001943588256836,58
42,MSELoss,best_val,213626,6269,22.363778992823278,15.882844924926758,16.272372722625732,0.062000274658203125,205
42,L1Loss,best_val,213626,6269,21.774435413981603,14.858292579650879,14.294133186340332,0.061002492904663086,159
42,HuberLoss,best_val,213626,6269,20.605125515506224,13.72652530670166,10.992414712905884,0.057000160217285156,78
42,MSELoss,best_val,907967,6269,19.947504959306627,14.230348587036133,9.448288440704346,0.07100033760070801,41
42,L1Loss,best_val,907967,6269,19.58315213166944,14.075105667114258,9.573160409927368,0.06499958038330078,44
42,HuberLoss,best_val,907967,6269,20.481872731654768,14.481252670288086,7.967632532119751,0.06799983978271484,12
42,MSELoss,best_val,907969,6269,48.35561627153562,32.6524772644043,9.44485592842102,0.06799960136413574,42
42,L1Loss,best_val,907969,6269,51.46925517739328,35.3316535949707,9.020402669906616,0.06754565238952637,23
42,HuberLoss,best_val,907969,6269,50.51254388608586,35.131771087646484,10.026775360107422,0.0670020580291748,45
