product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time,inference_time,total_time
26220,6269,42,spearman,15,1,0.75,,True,False,True,45.26132160446607,31.602967918113947,8.694467792518777,32.70501972989121,0.5394736842105263,45.7499942779541,0.13199925422668457,45.881993532180786
26220,6269,42,spearman,15,1,0.75,,True,False,False,47.99463974699442,32.445839554655784,6.268167430279302,33.67582161973098,0.5855263157894737,628.8322856426239,1.4349942207336426,630.2672798633575
26220,6269,42,spearman,15,1,0.82,,True,False,False,45.39695157751932,32.814437193029065,7.52337419597152,32.78292863600981,0.5131578947368421,180.86980295181274,0.5199966430664062,181.38979959487915
26220,6269,42,spearman,15,1,0.85,,True,False,False,47.76810990616509,30.57766382055345,-2.2579567354488996,32.09296009208313,0.5131578947368421,127.68010258674622,0.3509972095489502,128.03109979629517
26220,6269,42,spearman,15,1,0.88,,True,False,False,45.08951088313461,30.485637137313294,5.056370533369725,31.43025735923806,0.5789473684210527,122.94498372077942,0.28499603271484375,123.22997975349426
26220,6269,42,spearman,15,1,0.91,,True,False,False,44.41440868424428,31.110670081930223,3.034309058407553,30.743449127206585,0.5592105263157895,110.09772109985352,0.26101231575012207,110.35873341560364
904144,6269,42,spearman,15,1,0.75,,True,False,True,11.356260039256304,8.706065639171724,-0.02449279984617545,7.860769629382626,0.5657894736842105,36.718749046325684,0.13499879837036133,36.853747844696045
904144,6269,42,spearman,15,1,0.75,,True,False,False,12.591668990188877,10.14158018274245,2.0024793288286995,9.331849372987225,0.47368421052631576,470.41700196266174,0.38387489318847656,470.8008768558502
904144,6269,42,spearman,15,1,0.82,,True,False,False,12.281229726254054,9.540676478466956,0.9156526677748736,8.754697149687484,0.4473684210526316,102.98884582519531,0.25551915168762207,103.24436497688293
904144,6269,42,spearman,15,1,0.85,,True,False,False,12.621930503680765,9.767179757161857,1.898940460354674,9.227495306219515,0.5197368421052632,74.02050232887268,0.23399758338928223,74.25449991226196
904144,6269,42,spearman,15,1,0.88,,True,False,False,12.812896249918927,10.480411180483749,3.814152112973282,9.98008894832372,0.5,66.28778100013733,0.282947301864624,66.57072830200195
904144,6269,42,spearman,15,1,0.91,,True,False,False,12.405834047240285,9.811538527993594,1.3318788678038354,8.9887713725695,0.47368421052631576,63.53862190246582,0.23799753189086914,63.77661943435669
545598,6269,42,spearman,15,1,0.75,,True,False,True,9.634682724745105,7.712743397631677,3.1247423334059374,7.526712795131956,0.5657894736842105,35.48986792564392,0.13000202178955078,35.61986994743347
545598,6269,42,spearman,15,1,0.75,,True,False,False,9.408185730198666,7.160116208145042,-2.1325188929738563,7.027251640379057,0.5131578947368421,157.2823929786682,0.3882150650024414,157.67060804367065
545598,6269,42,spearman,15,1,0.82,,True,False,False,9.196500599482189,7.078108394847197,-1.4089636085859312,6.720018300599377,0.46710526315789475,75.99584865570068,0.26199841499328613,76.25784707069397
545598,6269,42,spearman,15,1,0.85,,True,False,False,9.323925014767427,7.1030330065808265,-1.8031248983994028,6.888501983628771,0.4473684210526316,64.67359495162964,0.2819995880126953,64.95559453964233
