seed,batch_size,hidden_size,dropout,rmse,mae,train_time,inference_time,best_epoch,plot_path
42,4,32,0.0,65.04834440149111,40.09571075439453,65.95994877815247,0.016998291015625,157,grid_search_plots/seed_42/mlp_bs4_hs32_dr0.0.png
42,4,32,0.1,64.6337412487665,39.23749923706055,69.28788042068481,0.018999338150024414,231,grid_search_plots/seed_42/mlp_bs4_hs32_dr0.1.png
42,4,32,0.2,60.345835589930104,33.124935150146484,69.55109643936157,0.015998363494873047,214,grid_search_plots/seed_42/mlp_bs4_hs32_dr0.2.png
42,4,64,0.0,59.893068776779174,32.74842071533203,67.06876969337463,0.017002105712890625,83,grid_search_plots/seed_42/mlp_bs4_hs64_dr0.0.png
42,4,64,0.1,57.392113886213714,31.534191131591797,72.49996399879456,0.017998218536376953,205,grid_search_plots/seed_42/mlp_bs4_hs64_dr0.1.png
42,4,64,0.2,62.82842226676753,36.975372314453125,71.25477004051208,0.01800084114074707,158,grid_search_plots/seed_42/mlp_bs4_hs64_dr0.2.png
42,8,32,0.0,56.86066311401605,33.75047302246094,35.51305031776428,0.019999027252197266,11,grid_search_plots/seed_42/mlp_bs8_hs32_dr0.0.png
42,8,32,0.1,64.71034847084931,38.964866638183594,37.51589870452881,0.017000198364257812,979,grid_search_plots/seed_42/mlp_bs8_hs32_dr0.1.png
42,8,32,0.2,62.95331890637796,36.4697265625,37.77995419502258,0.016997814178466797,771,grid_search_plots/seed_42/mlp_bs8_hs32_dr0.2.png
42,8,64,0.0,131.4994504503726,83.4823989868164,36.07064986228943,0.015999555587768555,84,grid_search_plots/seed_42/mlp_bs8_hs64_dr0.0.png
42,8,64,0.1,59.812244889085,32.42744064331055,40.408443450927734,0.022565126419067383,132,grid_search_plots/seed_42/mlp_bs8_hs64_dr0.1.png
42,8,64,0.2,62.860476080960446,36.31293487548828,38.38552379608154,0.016000032424926758,235,grid_search_plots/seed_42/mlp_bs8_hs64_dr0.2.png
42,16,32,0.0,64.34279382485268,38.979705810546875,20.612561225891113,0.01799798011779785,15,grid_search_plots/seed_42/mlp_bs16_hs32_dr0.0.png
42,16,32,0.1,64.38224322115144,39.25724411010742,21.7696430683136,0.018001794815063477,157,grid_search_plots/seed_42/mlp_bs16_hs32_dr0.1.png
42,16,32,0.2,61.141613284243654,34.23760223388672,21.6001296043396,0.01699995994567871,342,grid_search_plots/seed_42/mlp_bs16_hs32_dr0.2.png
42,16,64,0.0,90.34627125935387,60.21046447753906,20.63304042816162,0.016999483108520508,79,grid_search_plots/seed_42/mlp_bs16_hs64_dr0.0.png
42,16,64,0.1,61.662620837860516,36.3804817199707,22.218520879745483,0.017999887466430664,644,grid_search_plots/seed_42/mlp_bs16_hs64_dr0.1.png
42,16,64,0.2,62.83228466396674,36.34147644042969,22.690171718597412,0.019002199172973633,344,grid_search_plots/seed_42/mlp_bs16_hs64_dr0.2.png
42,32,32,0.0,62.46649492552988,39.18870162963867,12.969161748886108,0.01899886131286621,115,grid_search_plots/seed_42/mlp_bs32_hs32_dr0.0.png
42,32,32,0.1,570.3689869286372,377.0262145996094,13.80852222442627,0.016000032424926758,262,grid_search_plots/seed_42/mlp_bs32_hs32_dr0.1.png
42,32,32,0.2,62.97489501653615,37.465267181396484,13.761038541793823,0.01699995994567871,976,grid_search_plots/seed_42/mlp_bs32_hs32_dr0.2.png
42,32,64,0.0,105.03826497698351,76.1176986694336,13.337801933288574,0.017999649047851562,79,grid_search_plots/seed_42/mlp_bs32_hs64_dr0.0.png
42,32,64,0.1,59.36960090584027,32.105186462402344,14.37692141532898,0.015999794006347656,191,grid_search_plots/seed_42/mlp_bs32_hs64_dr0.1.png
42,32,64,0.2,59.461682202832314,32.149967193603516,14.213892936706543,0.016999244689941406,312,grid_search_plots/seed_42/mlp_bs32_hs64_dr0.2.png
123,4,32,0.0,72.9299850188093,44.718807220458984,63.795244216918945,0.018997907638549805,107,grid_search_plots/seed_123/mlp_bs4_hs32_dr0.0.png
123,4,32,0.1,60.773165834493724,33.66199493408203,67.58672761917114,0.018997669219970703,377,grid_search_plots/seed_123/mlp_bs4_hs32_dr0.1.png
123,4,32,0.2,62.58159517531892,36.468017578125,68.28829073905945,0.015998125076293945,152,grid_search_plots/seed_123/mlp_bs4_hs32_dr0.2.png
123,4,64,0.0,60.26984202253956,34.92512130737305,66.69481158256531,0.016999006271362305,5,grid_search_plots/seed_123/mlp_bs4_hs64_dr0.0.png
123,4,64,0.1,60.34457129813957,35.193111419677734,70.84392976760864,0.01600027084350586,6,grid_search_plots/seed_123/mlp_bs4_hs64_dr0.1.png
123,4,64,0.2,63.69577580553321,38.909423828125,70.73968052864075,0.01699972152709961,327,grid_search_plots/seed_123/mlp_bs4_hs64_dr0.2.png
123,8,32,0.0,109.12945652412093,72.66375732421875,34.985923051834106,0.01908135414123535,102,grid_search_plots/seed_123/mlp_bs8_hs32_dr0.0.png
123,8,32,0.1,62.01822320709958,35.08404541015625,36.92658019065857,0.01699995994567871,356,grid_search_plots/seed_123/mlp_bs8_hs32_dr0.1.png
123,8,32,0.2,65.07264570270675,39.57708740234375,37.8401095867157,0.01899886131286621,83,grid_search_plots/seed_123/mlp_bs8_hs32_dr0.2.png
123,8,64,0.0,61.07555275665747,35.548194885253906,35.95716094970703,0.01699995994567871,12,grid_search_plots/seed_123/mlp_bs8_hs64_dr0.0.png
123,8,64,0.1,62.842174660140664,37.36802673339844,38.32211375236511,0.01699995994567871,7,grid_search_plots/seed_123/mlp_bs8_hs64_dr0.1.png
123,8,64,0.2,61.70181531909637,36.05449295043945,38.12028908729553,0.016000032424926758,94,grid_search_plots/seed_123/mlp_bs8_hs64_dr0.2.png
123,16,32,0.0,2080.588498478255,1148.4798583984375,20.59711241722107,0.021565675735473633,148,grid_search_plots/seed_123/mlp_bs16_hs32_dr0.0.png
123,16,32,0.1,59.48176872409625,35.27363586425781,21.710092067718506,0.016997814178466797,870,grid_search_plots/seed_123/mlp_bs16_hs32_dr0.1.png
123,16,32,0.2,60.38974368697159,34.059326171875,21.70760989189148,0.017997264862060547,718,grid_search_plots/seed_123/mlp_bs16_hs32_dr0.2.png
123,16,64,0.0,58.04257218238071,39.69462203979492,21.038414239883423,0.01800084114074707,9,grid_search_plots/seed_123/mlp_bs16_hs64_dr0.0.png
123,16,64,0.1,57.94430288068125,35.628211975097656,22.5343017578125,0.0169980525970459,13,grid_search_plots/seed_123/mlp_bs16_hs64_dr0.1.png
123,16,64,0.2,58.74543491239873,31.05503273010254,22.422773599624634,0.018999338150024414,66,grid_search_plots/seed_123/mlp_bs16_hs64_dr0.2.png
123,32,32,0.0,83.26615716896931,55.842960357666016,13.154072046279907,0.015997886657714844,206,grid_search_plots/seed_123/mlp_bs32_hs32_dr0.0.png
123,32,32,0.1,60.28518447178274,34.03788757324219,13.933675527572632,0.018962860107421875,270,grid_search_plots/seed_123/mlp_bs32_hs32_dr0.1.png
123,32,32,0.2,63.08478568994964,37.203739166259766,14.044180154800415,0.01700115203857422,203,grid_search_plots/seed_123/mlp_bs32_hs32_dr0.2.png
123,32,64,0.0,74.36006940472151,54.15286636352539,16.721559047698975,0.02700066566467285,19,grid_search_plots/seed_123/mlp_bs32_hs64_dr0.0.png
123,32,64,0.1,58.32515521169875,35.02126693725586,15.857771158218384,0.01600170135498047,23,grid_search_plots/seed_123/mlp_bs32_hs64_dr0.1.png
123,32,64,0.2,62.00216572578332,35.46392822265625,15.536796569824219,0.016999006271362305,561,grid_search_plots/seed_123/mlp_bs32_hs64_dr0.2.png
2024,4,32,0.0,59.61133474825698,35.17856979370117,68.97253346443176,0.017999649047851562,57,grid_search_plots/seed_2024/mlp_bs4_hs32_dr0.0.png
2024,4,32,0.1,60.991586573989856,33.90751266479492,73.04044723510742,0.016000032424926758,26,grid_search_plots/seed_2024/mlp_bs4_hs32_dr0.1.png
2024,4,32,0.2,62.234610374900114,36.44717025756836,73.52122688293457,0.015999794006347656,67,grid_search_plots/seed_2024/mlp_bs4_hs32_dr0.2.png
2024,4,64,0.0,62.228794392648325,37.46461486816406,72.4544780254364,0.01800084114074707,74,grid_search_plots/seed_2024/mlp_bs4_hs64_dr0.0.png
2024,4,64,0.1,63.842063579048336,38.32194519042969,76.24598813056946,0.01600050926208496,75,grid_search_plots/seed_2024/mlp_bs4_hs64_dr0.1.png
