product_id,store_id,seed,metric,model_variant,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
278,6269,42,spearman,lstm_baseline,,,,,,,,,14.066752400035792,9.085234024945427,-5.280605478224412,10.624836075810355,0.5723684210526315
278,6269,42,spearman,mlp_baseline,,,,,,,,,10.90015267914475,8.012109868666705,-1.7270770852082695,7.884873078041118,0.6052631578947368
278,6269,42,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.222275805320002,8.310751422557955,-2.3055581111533967,8.76521528608784,0.618421052631579
278,6269,42,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,11.761271786175243,8.306816892686234,-1.4323273141399708,8.315421944794172,0.5986842105263158
278,6269,42,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.418634432004236,8.192781367333106,-3.05543053695579,9.021370192074341,0.6118421052631579
278,6269,42,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.884374900184614,9.019849153905133,-3.42098885579826,9.552396952518155,0.5460526315789473
278,6269,42,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.988885281751529,9.609739714977788,-5.057310952080621,10.661205307640367,0.5723684210526315
278,6269,42,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,13.300639843706753,8.99023275437698,-3.8966258429234326,9.87203457117848,0.5657894736842105
278,6269,1000,spearman,lstm_baseline,,,,,,,,,10.858158439330138,7.575651870054357,-3.027364322562623,8.079833267819314,0.5789473684210527
278,6269,1000,spearman,mlp_baseline,,,,,,,,,10.232303983514768,7.675456377415875,-1.215278301363677,7.338835661452273,0.5723684210526315
278,6269,1000,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,14.357895510666387,9.22052730610168,-5.687420408710156,10.90593468403615,0.5855263157894737
278,6269,1000,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.13339506722605,8.295514225180632,-4.660069521735696,9.305593470342107,0.5657894736842105
278,6269,1000,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.973436724518256,8.782000024334279,2.0786128075294243,8.701871570225054,0.618421052631579
278,6269,1000,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,14.317355552156556,9.701586230907564,-4.453787336162493,10.697521167845792,0.4934210526315789
278,6269,1000,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.44307530724932,8.84979219685972,-3.7462433864867766,9.870546549461283,0.5921052631578947
278,6269,1000,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.079534157870993,8.797564145007165,-1.7551169862934188,8.677937361760641,0.5460526315789473
278,6269,26008,spearman,lstm_baseline,,,,,,,,,11.353502610126625,7.999012597246108,-3.625638418727451,8.582914059056701,0.618421052631579
278,6269,26008,spearman,mlp_baseline,,,,,,,,,10.398337916568199,7.913508116030226,-1.3262050790724411,7.509097257059766,0.5986842105263158
278,6269,26008,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.142205808941885,7.695750822428784,-1.4263062383614333,7.851617169668497,0.6052631578947368
278,6269,26008,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,11.589510853280172,8.292892169329075,-2.9616047977622038,8.608379668412907,0.5657894736842105
278,6269,26008,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,14.690203993011245,9.426798596101648,-5.210906477535472,11.004528264914903,0.5789473684210527
278,6269,26008,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.829772031210243,8.976103901083953,-2.766909518273048,9.350639370444371,0.5657894736842105
278,6269,26008,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.258589849291946,8.129106920529034,-1.4168294021506715,8.515779005315899,0.5921052631578947
278,6269,26008,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,13.062280267407973,9.237007147346446,-1.5886248607261508,9.237548135722134,0.5657894736842105
278,6269,555555,spearman,lstm_baseline,,,,,,,,,13.997280847172753,9.376196194318386,-5.466557197321475,10.709328771496342,0.5526315789473685
278,6269,555555,spearman,mlp_baseline,,,,,,,,,11.086850038942751,8.243544416489945,-1.564791342791389,7.995508959291708,0.5921052631578947
278,6269,555555,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.79251492419159,8.94468056298549,-4.521775208267511,10.262871404909045,0.5986842105263158
278,6269,555555,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.739782818864361,8.870857263702193,-1.869424283894059,9.054961796331245,0.5723684210526315
278,6269,555555,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.29978204784677,7.490138895371381,-1.7637436249676872,7.963361654008152,0.6513157894736842
278,6269,555555,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,13.504726551712007,9.334892385146198,-4.314511604558408,10.164714273282154,0.5657894736842105
278,6269,555555,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,15.061994456202514,10.115190537147273,-6.888494398079667,11.781918461907992,0.5592105263157895
278,6269,555555,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,13.510600476047323,9.239103641385347,-3.3328548630857777,9.898289864141443,0.5723684210526315
278,6269,213626,spearman,lstm_baseline,,,,,,,,,12.112604944133553,7.923541656506607,-4.285890624414082,9.108660542296947,0.5986842105263158
278,6269,213626,spearman,mlp_baseline,,,,,,,,,10.60435657834829,7.733164936888452,-2.350874003242044,7.823188024206769,0.5986842105263158
278,6269,213626,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.521789971620777,8.841156149222181,-4.908431564281189,10.19829191418623,0.5789473684210527
278,6269,213626,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,15.130050921902573,9.902819165996476,-5.428862902074078,11.397945977968925,0.5328947368421053
278,6269,213626,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,15.344912482446821,9.779695255304473,-6.8753206901300965,11.836210227582052,0.6118421052631579
278,6269,213626,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,14.205479445508823,9.757197972216638,-2.7639348273183786,10.233022922638167,0.5789473684210527
278,6269,213626,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,16.338014723407206,11.202524704091688,-8.93997736693987,13.204632879461492,0.5526315789473685
278,6269,213626,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,13.455203329500248,9.44590261247423,-1.7853628981347178,9.535418042402362,0.5921052631578947
278,6269,907969,spearman,lstm_baseline,,,,,,,,,12.991056512181132,9.111792337076336,-4.610940637346966,9.926211499696391,0.618421052631579
278,6269,907969,spearman,mlp_baseline,,,,,,,,,10.293022104823462,7.999641212762571,-0.7305116030125837,7.32904925635552,0.5789473684210527
278,6269,907969,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.018559437551863,8.727920525993397,-3.8581606235379486,9.655800006158769,0.6381578947368421
278,6269,907969,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,11.152550224562527,7.920181392844206,-3.68016596401439,8.476361951495912,0.5789473684210527
278,6269,907969,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.841375548961699,9.610353638144101,-4.5876261954214055,10.470182732872226,0.6052631578947368
278,6269,907969,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.698718514221836,9.104823068855636,-0.9241233526491651,8.856595862487119,0.5657894736842105
278,6269,907969,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,14.395462878099027,9.275965092228908,-4.020455734402526,10.521836645707372,0.5526315789473685
278,6269,907969,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.779800831290288,8.898141474505655,-2.8304581112331815,9.322050312079854,0.5460526315789473
278,6269,5219788,spearman,lstm_baseline,,,,,,,,,13.803642808610695,9.17471178216872,-5.150452177508984,10.483112394224772,0.5986842105263158
278,6269,5219788,spearman,mlp_baseline,,,,,,,,,10.771587130676494,7.808623444800284,-2.6537242839538973,8.001380497526792,0.5526315789473685
