product_id,baseline,baseline_mae,baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,graph2vec_mlp_pct_improvement,gcn_mlp_mae,gcn_mlp_seed,gcn_mlp_pct_improvement,gat_mlp_mae,gat_mlp_seed,gat_mlp_pct_improvement,best_hybrid,best_hybrid_mae,best_hybrid_beats_baseline,best_hybrid_pct_improvement
278,mlp_baseline,7.675456377415875,1000,8.230837198643902,1000,-7.235801936965858,8.270804155885784,5219788,-7.75651308789468,8.287796749788171,555555,-7.977901798439446,graph2vec_mlp,8.230837198643902,False,-7.235801936965858
457,mlp_baseline,4.177927596896303,555555,4.350420515521679,555555,-4.128671802582632,4.356559585122501,555555,-4.275612348067018,5.9647947635525975,1000,-42.76922290332942,graph2vec_mlp,4.350420515521679,False,-4.128671802582632
1325,mlp_baseline,5.9802292842491,42,6.041804101732042,907969,-1.0296397438325575,6.139077560574401,26008,-2.6562238465284174,5.8893555472878845,1000,1.5195694452813318,gat_mlp,5.8893555472878845,True,1.5195694452813318
6032,mlp_baseline,6.832310221553628,13451285,7.460805356892106,1000,-9.198867073625957,8.127746501000098,13451285,-18.96044291665514,7.957778737435933,555555,-16.472737322901878,graph2vec_mlp,7.460805356892106,False,-9.198867073625957
13544,mlp_baseline,34.37550670648712,13451285,26.99564059887057,5219788,21.468384948123173,25.517545064290363,5219788,25.768235848361016,27.22253406749052,618626816,20.808340950641867,gcn_mlp,25.517545064290363,True,25.768235848361016
16920,mlp_baseline,7.219909141266268,555555,7.961280392665489,26008,-10.268429101992753,7.46817597532584,555555,-3.4386420826347033,7.470172084234898,5219788,-3.4662893683553624,gcn_mlp,7.46817597532584,False,-3.4386420826347033
18568,mlp_baseline,17.509301497266183,618626816,17.53482327430077,618626816,-0.14576125174709048,17.05434855916142,555555,2.598350015137944,16.398516804564235,42,6.343969191891411,gat_mlp,16.398516804564235,True,6.343969191891411
25032,mlp_baseline,9.326679622425752,555555,9.28039889242135,26008,0.49621871746427576,9.78425311730578,213626,-4.906070685432415,9.711714694702549,23616558,-4.128318842978049,graph2vec_mlp,9.28039889242135,True,0.49621871746427576
26002,mlp_baseline,17.7118013419357,1000,21.485947397020126,907969,-21.308651684955915,25.328723570879767,618626816,-43.00478580295336,25.67924632278143,5219788,-44.98382082674702,graph2vec_mlp,21.485947397020126,False,-21.308651684955915
26008,mlp_baseline,23.84566535201727,26008,22.29028279173608,26008,6.522705646163114,23.670919879589206,13451285,0.7328186060167176,24.39683255962297,13451285,-2.3113937039256087,graph2vec_mlp,22.29028279173608,True,6.522705646163114
