product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_mae,lstm_baseline_seed,graph2vec_lstm_mae,graph2vec_lstm_seed,gcn_lstm_mae,gcn_lstm_seed,gat_lstm_mae,gat_lstm_seed,mlp_baseline_mae,mlp_baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,gcn_mlp_mae,gcn_mlp_seed,gat_mlp_mae,gat_mlp_seed
278,lstm_baseline,False,23616558,10.153440007048962,7.087675088371327,-2.7225803113451192,0.6381578947368421,7.087675088371327,23616558,7.8320862950842365,13451285,8.923542209700042,13451285,8.793474515279135,618626816,7.675456377415875,1000,8.230837198643902,1000,8.270804155885784,5219788,8.287796749788171,555555
457,mlp_baseline,False,555555,5.550656463709157,4.177927596896303,-1.17423526913512,0.6052631578947368,4.824551272236444,5219788,5.377026315802842,1000,4.386687191483242,555555,4.42002507440405,618626816,4.177927596896303,555555,4.350420515521679,555555,4.356559585122501,555555,5.9647947635525975,1000
1325,graph2vec_lstm,True,42,7.235104154121389,5.63314579359067,0.2743339476242564,0.5986842105263158,5.636273764317332,13451285,5.63314579359067,42,5.6636870826771055,26008,5.766362140381259,1000,5.9802292842491,42,6.041804101732042,907969,6.139077560574401,26008,5.8893555472878845,1000
6032,mlp_baseline,False,13451285,10.23137670690276,6.832310221553628,-0.3787864984250536,0.5657894736842105,7.1522491531434405,213626,9.006287468804253,42,8.839739562639224,13451285,9.312012656841402,42,6.832310221553628,13451285,7.460805356892106,1000,8.127746501000098,13451285,7.957778737435933,555555
13544,gat_lstm,True,555555,30.45225013318734,24.81785723119,-3.774792490441815,0.5263157894736842,29.3113580840865,13451285,29.417329261505525,23616558,25.480515573538987,907969,24.81785723119,555555,34.37550670648712,13451285,26.99564059887057,5219788,25.517545064290363,5219788,27.22253406749052,618626816
16920,mlp_baseline,False,555555,9.916477347644298,7.219909141266268,-2.465884411257077,0.5197368421052632,7.510061921637043,23616558,7.650134385800829,5219788,7.4068511747846415,213626,8.13292282702876,555555,7.219909141266268,555555,7.961280392665489,26008,7.46817597532584,555555,7.470172084234898,5219788
18568,gat_mlp,True,42,21.36365689885689,16.398516804564235,-4.800521058973923,0.3421052631578947,17.462434238857693,213626,16.618381070155724,1000,17.271813346085207,26008,17.168581021377463,907969,17.509301497266183,618626816,17.53482327430077,618626816,17.05434855916142,555555,16.398516804564235,42
25032,gat_lstm,True,26008,11.925115206886836,9.2731019375371,1.223175441517549,0.5131578947368421,10.035761481017069,5219788,9.772803942362469,42,9.295228147818372,13451285,9.2731019375371,26008,9.326679622425752,555555,9.28039889242135,26008,9.78425311730578,213626,9.711714694702549,23616558
26002,lstm_baseline,False,213626,27.693572564208147,17.229882374308467,-11.2869650491702,0.5394736842105263,17.229882374308467,213626,25.71022973847545,5219788,26.80182996139028,1000,24.72268072764079,618626816,17.7118013419357,1000,21.485947397020126,907969,25.328723570879767,618626816,25.67924632278143,5219788
26008,lstm_baseline,False,618626816,40.834433771678384,21.66020556096158,-1.9873757896080515,0.7039473684210527,21.66020556096158,618626816,23.001116836772244,555555,30.605756139443592,13451285,24.1173266990512,1000,23.84566535201727,26008,22.29028279173608,26008,23.670919879589206,13451285,24.39683255962297,13451285
