product_id,baseline,baseline_mae,baseline_seed,graph2vec_lstm_mae,graph2vec_lstm_seed,graph2vec_lstm_pct_improvement,gcn_lstm_mae,gcn_lstm_seed,gcn_lstm_pct_improvement,gat_lstm_mae,gat_lstm_seed,gat_lstm_pct_improvement,best_hybrid,best_hybrid_mae,best_hybrid_beats_baseline,best_hybrid_pct_improvement
278,lstm_baseline,7.087675088371327,23616558,7.8320862950842365,13451285,-10.502896893993588,8.923542209700042,13451285,-25.902247188796817,8.793474515279135,618626816,-24.067122231752617,graph2vec_lstm,7.8320862950842365,False,-10.502896893993588
457,lstm_baseline,4.824551272236444,5219788,5.377026315802842,1000,-11.45132495006725,4.386687191483242,555555,9.075747277740666,4.42002507440405,618626816,8.384742435224938,gcn_lstm,4.386687191483242,True,9.075747277740666
1325,lstm_baseline,5.636273764317332,13451285,5.63314579359067,42,0.05549713973201021,5.6636870826771055,26008,-0.48637308097637544,5.766362140381259,1000,-2.308056377380079,graph2vec_lstm,5.63314579359067,True,0.05549713973201021
6032,lstm_baseline,7.1522491531434405,213626,9.006287468804253,42,-25.922451468933456,8.839739562639224,13451285,-23.593842627170293,9.312012656841402,42,-30.196983598491357,gcn_lstm,8.839739562639224,False,-23.593842627170293
13544,lstm_baseline,29.3113580840865,13451285,29.417329261505525,23616558,-0.3615362246778957,25.480515573538987,907969,13.069481460251154,24.81785723119,555555,15.330237650557981,gat_lstm,24.81785723119,True,15.330237650557981
16920,lstm_baseline,7.510061921637043,23616558,7.650134385800829,5219788,-1.8651306157706555,7.4068511747846415,213626,1.3742995454543894,8.13292282702876,555555,-8.293685350279336,gcn_lstm,7.4068511747846415,True,1.3742995454543894
18568,lstm_baseline,17.462434238857693,213626,16.618381070155724,1000,4.833536706032471,17.271813346085207,26008,1.0916055010722014,17.168581021377463,907969,1.6827735094706486,graph2vec_lstm,16.618381070155724,True,4.833536706032471
25032,lstm_baseline,10.035761481017069,5219788,9.772803942362469,42,2.620205144891017,9.295228147818372,13451285,7.3789451313628405,9.2731019375371,26008,7.59941878772787,gat_lstm,9.2731019375371,True,7.59941878772787
26002,lstm_baseline,17.229882374308467,213626,25.71022973847545,5219788,-49.21883492839195,26.80182996139028,1000,-55.55434087788419,24.72268072764079,618626816,-43.487228702761534,gat_lstm,24.72268072764079,False,-43.487228702761534
26008,lstm_baseline,21.66020556096158,618626816,23.001116836772244,555555,-6.190667360181493,30.605756139443592,13451285,-41.29947222017447,24.1173266990512,1000,-11.343941917698686,graph2vec_lstm,23.001116836772244,False,-6.190667360181493
26076,lstm_baseline,10.079150891771503,23616558,10.95746299468614,23616558,-8.714147772424754,8.557752401221032,555555,15.094510508742578,9.99418029130674,907969,0.8430333207347015,gcn_lstm,8.557752401221032,True,15.094510508742578
26220,lstm_baseline,23.85661927079843,26008,29.863743015364104,23616558,-25.180113227185814,29.30094929614098,907969,-22.821045863806262,28.79474852209777,26008,-20.69919964453569,gat_lstm,28.79474852209777,False,-20.69919964453569
26372,lstm_baseline,22.309378031811683,26008,22.27227343141643,907969,0.1663183991160318,20.323653694850947,618626816,8.900850279775732,19.38548804887759,213626,13.106102638831171,gat_lstm,19.38548804887759,True,13.106102638831171
26768,lstm_baseline,16.020840116575652,907969,18.153523898592184,13451285,-13.311934745606703,16.82960944783454,213626,-5.048232960156124,16.383026478337307,618626816,-2.2607201565348976,gat_lstm,16.383026478337307,False,-2.2607201565348976
26924,lstm_baseline,10.634202458500082,23616558,10.710778119517308,5219788,-0.720088425211586,12.205893186182758,13451285,-14.779582519856941,13.378975400737689,26008,-25.810802013118217,graph2vec_lstm,10.710778119517308,False,-0.720088425211586
30534,lstm_baseline,9.621150515437906,555555,9.555950829016616,5219788,0.6776703712998903,10.431235684288872,1000,-8.419836770572497,10.184752492343678,23616558,-5.85794782028852,graph2vec_lstm,9.555950829016616,True,0.6776703712998903
48369,lstm_baseline,8.638360902374865,213626,10.577379020016178,5219788,-22.44659767697638,9.18941712661896,1000,-6.379175754194266,9.769235952227724,907969,-13.091315153803752,gcn_lstm,9.18941712661896,False,-6.379175754194266
48375,lstm_baseline,11.7062820780511,23616558,11.96803374695622,23616558,-2.2359931800712025,11.999785069546668,42,-2.5072263724609636,11.373628530626982,907969,2.841666937514105,gat_lstm,11.373628530626982,True,2.841666937514105
110187,lstm_baseline,33.79918872608858,555555,36.57552372552211,213626,-8.214206032970726,40.89312170689402,213626,-20.988471168036785,39.24058602526297,42,-16.099194993323433,graph2vec_lstm,36.57552372552211,False,-8.214206032970726
151815,lstm_baseline,9.096820469775231,42,8.92716542412253,13451285,1.8649927874952736,8.577539456436057,13451285,5.708379263551688,8.264751883114085,907969,9.146806726875035,gat_lstm,8.264751883114085,True,9.146806726875035
151821,lstm_baseline,7.366218111873452,26008,7.421328002331304,5219788,-0.7481436148221259,7.515654037201327,23616558,-2.0286654977946226,7.387846282884186,26008,-0.29361295962540435,gat_lstm,7.387846282884186,False,-0.29361295962540435
151828,lstm_baseline,6.659487674438876,555555,6.693173371109308,26008,-0.5058301526666761,6.722950910431107,42,-0.9529747496316067,7.036692768919702,13451285,-5.664175878403572,graph2vec_lstm,6.693173371109308,False,-0.5058301526666761
213624,lstm_baseline,7.019952524721233,1000,6.763582067551956,907969,3.6520255125152397,7.378360075109145,555555,-5.105555188952582,8.244933446248373,907969,-17.449988688859193,graph2vec_lstm,6.763582067551956,True,3.6520255125152397
213625,lstm_baseline,7.107777907178293,23616558,6.9522284588782615,13451285,2.18843990810319,6.679781334072936,42,6.0215242892313015,7.42572368048375,5219788,-4.473209172508849,gcn_lstm,6.679781334072936,True,6.0215242892313015
213626,lstm_baseline,14.968212638805117,13451285,14.696552326476652,213626,1.8149148390916388,14.27536471996432,1000,4.628795271417955,14.3081586251851,42,4.409704949733443,gcn_lstm,14.27536471996432,True,4.628795271417955
213627,lstm_baseline,12.897689769470611,23616558,13.071194792105482,5219788,-1.345241091513647,13.922618491976868,42,-7.946607034480759,13.596831028757531,23616558,-5.420670459463349,graph2vec_lstm,13.071194792105482,False,-1.345241091513647
213628,lstm_baseline,11.448196024676554,42,11.850946912578507,213626,-3.5180292775719906,14.713581334531696,213626,-28.52314288484067,12.212578268612132,26008,-6.676879416529513,graph2vec_lstm,11.850946912578507,False,-3.5180292775719906
213629,lstm_baseline,12.95200260636074,555555,12.074107325934117,5219788,6.778065964837652,12.19972612966899,907969,5.808186575891405,11.978380888895272,907969,7.517151957546098,gat_lstm,11.978380888895272,True,7.517151957546098
213630,lstm_baseline,11.690661056368958,13451285,11.681870653738384,26008,0.07519166442503863,13.021467240028132,23616558,-11.383498137893271,12.987142625197864,907969,-11.089891004261005,graph2vec_lstm,11.681870653738384,True,0.07519166442503863
213631,lstm_baseline,10.72742128060534,907969,10.562517633625106,555555,1.5372160994401467,10.85778475742714,26008,-1.215235921213345,10.871658350127976,1000,-1.3445642316985407,graph2vec_lstm,10.562517633625106,True,1.5372160994401467
213633,lstm_baseline,9.784090344422784,213626,9.344299160577114,1000,4.494962417189498,9.671221109776717,618626816,1.1535996773619996,9.828103882035398,26008,-0.44984802943589547,graph2vec_lstm,9.344299160577114,True,4.494962417189498
213636,lstm_baseline,7.1156897576026665,13451285,7.0860043097944825,23616558,0.4171829972838125,5.590176201334186,213626,21.438730583195607,5.811166528003668,618626816,18.333053773250825,gcn_lstm,5.590176201334186,True,21.438730583195607
213642,lstm_baseline,7.859112745796153,23616558,7.5700693192824815,907969,3.6778124435010993,7.389884612139533,5219788,5.970497546400652,7.383537267547807,42,6.05126168348625,gat_lstm,7.383537267547807,True,6.05126168348625
500056,lstm_baseline,13.58219719770687,42,13.174113332153924,13451285,3.0045497029143737,13.741223933649998,26008,-1.1708469081127515,13.981271466398551,907969,-2.938215834173415,graph2vec_lstm,13.174113332153924,True,3.0045497029143737
500057,lstm_baseline,10.844604872410594,26008,10.59495913242203,23616558,2.3020270717624713,10.801154079877474,13451285,0.40066736450363216,10.875689090466969,23616558,-0.28663301634396077,graph2vec_lstm,10.59495913242203,True,2.3020270717624713
