product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid
26220,6269,42,no_emb,15,1,,,,,baseline,40.35982594638316,24.461425163366687,-12.29001615847635,29.36777330365234,0.5327868852459017
26220,6269,42,spearman,30,1,0.7,,True,False,True,50.40502957071444,34.07629684704106,-12.860895668103442,36.936812914143346,0.5327868852459017
26220,6269,42,spearman,30,1,0.7,,True,False,False,49.52140159648677,32.502415834161326,-13.174577406509135,36.179949108411,0.5409836065573771
26220,6269,1000,no_emb,15,1,,,,,baseline,44.11553337034047,29.11176568608943,-9.464930422846379,31.701940712404188,0.5983606557377049
26220,6269,1000,spearman,30,1,0.7,,True,False,True,42.60537124237502,27.97144246604142,-9.745388086309763,30.731893259275306,0.5819672131147541
26220,6269,1000,spearman,30,1,0.7,,True,False,False,40.25757584971298,28.66541774098466,10.409293307158036,29.897465686892165,0.6065573770491803
26220,6269,26008,no_emb,15,1,,,,,baseline,39.70795734972065,25.620440722329587,-5.666848071434392,27.67580087330132,0.5901639344262295
26220,6269,26008,spearman,30,1,0.7,,True,False,True,47.27879547513599,33.3004754322952,-11.658295800629245,34.87909054579911,0.5901639344262295
26220,6269,26008,spearman,30,1,0.7,,True,False,False,46.63853587939057,28.781381490882637,-17.01492854947512,34.768345449784725,0.6229508196721312
26220,6269,555555,no_emb,15,1,,,,,baseline,49.17067022287785,31.388558735601542,-13.533019234282456,35.81572960390992,0.5819672131147541
26220,6269,555555,spearman,30,1,0.7,,True,False,True,45.15946947721145,27.635545219408304,-12.09628650152344,32.51269266883866,0.6065573770491803
26220,6269,555555,spearman,30,1,0.7,,True,False,False,48.18322178125654,29.461104888923284,-11.025534236637073,34.21327067201836,0.5655737704918032
26220,6269,213626,no_emb,15,1,,,,,baseline,47.577446558788104,31.96354584420115,-8.071458180381999,33.79747428553984,0.5655737704918032
26220,6269,213626,spearman,30,1,0.7,,True,False,True,41.092535586455455,24.96416951873438,-9.709790217682597,29.21475772733197,0.5819672131147541
26220,6269,213626,spearman,30,1,0.7,,True,False,False,56.33151371434728,39.74482927840899,-18.699331753743373,42.77679711521173,0.5983606557377049
26220,6269,907969,no_emb,15,1,,,,,baseline,40.48090724251774,28.032659359882032,-2.9137514219657192,27.977056316720805,0.5983606557377049
26220,6269,907969,spearman,30,1,0.7,,True,False,True,41.341054595134246,26.04362371703231,-9.489867167562489,29.553900018715822,0.5819672131147541
26220,6269,907969,spearman,30,1,0.7,,True,False,False,46.481223403034605,29.379527242960243,-12.964211002507103,33.82654626288414,0.5819672131147541
26220,6269,5219788,no_emb,15,1,,,,,baseline,45.86180968017102,30.703929727760755,-9.080900959731117,32.87711251195848,0.5655737704918032
26220,6269,5219788,spearman,30,1,0.7,,True,False,True,43.69160940243006,28.32371605829737,-7.358877985276343,30.76645321210846,0.5983606557377049
26220,6269,5219788,spearman,30,1,0.7,,True,False,False,39.05462038410789,24.411319642350442,-8.268745724081509,27.697326533661933,0.6147540983606558
26220,6269,13451285,no_emb,15,1,,,,,baseline,47.07882847615251,30.67441959377772,-11.654870369827481,34.12173672897755,0.6147540983606558
26220,6269,13451285,spearman,30,1,0.7,,True,False,True,46.621719970985964,27.921802882165686,-12.121658185239488,33.32172525234427,0.6229508196721312
26220,6269,13451285,spearman,30,1,0.7,,True,False,False,43.15565286294646,26.766530435986635,-6.823285699496425,29.975280465343996,0.6147540983606558
26220,6269,23616558,no_emb,15,1,,,,,baseline,51.343490873002246,35.159674558394805,-10.365972626560588,37.05315723273997,0.5409836065573771
26220,6269,23616558,spearman,30,1,0.7,,True,False,True,47.88660382586622,31.179608791460836,-9.211382437830533,34.04104972025595,0.6065573770491803
26220,6269,23616558,spearman,30,1,0.7,,True,False,False,49.011622539116594,29.697397510816412,-14.01036102984979,35.43275090472485,0.5901639344262295
26220,6269,618626816,no_emb,15,1,,,,,baseline,43.645966058715736,30.078311044450214,-2.4080114732307147,29.9445636587781,0.5983606557377049
26220,6269,618626816,spearman,30,1,0.7,,True,False,True,45.22869848747563,31.668018188660707,-6.140609277700021,32.066506110328,0.5491803278688525
26220,6269,618626816,spearman,30,1,0.7,,True,False,False,45.463802910776096,27.99432225240682,-14.080065579373178,33.25049841333305,0.5573770491803278
904144,6269,42,no_emb,15,1,,,,,baseline,10.442284321471037,8.074977268048418,3.0915556705094933,8.012775395374996,0.5573770491803278
904144,6269,42,spearman,30,1,0.7,,True,False,True,12.07662634795614,9.78425254012511,0.2544710362345223,8.547994068067977,0.5409836065573771
904144,6269,42,spearman,30,1,0.7,,True,False,False,13.409515182566096,10.619492187732604,1.7762979966838186,9.803705137387153,0.5491803278688525
904144,6269,1000,no_emb,15,1,,,,,baseline,9.895815082536782,7.866313304842972,-0.3432361694370828,7.000294909838405,0.5491803278688525
904144,6269,1000,spearman,30,1,0.7,,True,False,True,10.491245848986734,8.201732731325839,0.17357290360501143,7.33944933322608,0.5737704918032787
904144,6269,1000,spearman,30,1,0.7,,True,False,False,13.515338627222722,10.558717926827873,1.074919264975602,9.66607861156223,0.5327868852459017
904144,6269,26008,no_emb,15,1,,,,,baseline,10.68026441786598,8.385287947407583,-0.014790499961473108,7.440151820775254,0.5655737704918032
904144,6269,26008,spearman,30,1,0.7,,True,False,True,13.077309561089677,9.967329321838006,3.129822840050953,9.81294282101708,0.5327868852459017
904144,6269,26008,spearman,30,1,0.7,,True,False,False,11.07086078133315,8.506751167156347,-0.6318303213977232,7.820075762805093,0.6147540983606558
904144,6269,555555,no_emb,15,1,,,,,baseline,10.694133215554503,8.361977650503801,0.5124099064406341,7.56566349701336,0.5163934426229508
904144,6269,555555,spearman,30,1,0.7,,True,False,True,12.211290280891028,9.575098732743806,2.2797170944087872,9.069349097233662,0.5163934426229508
904144,6269,555555,spearman,30,1,0.7,,True,False,False,13.627178107867993,10.567279520558149,1.8569641413727427,9.919649969416719,0.5573770491803278
904144,6269,213626,no_emb,15,1,,,,,baseline,11.819397043695837,9.654183775549981,2.0051113026655787,8.824522291401808,0.5491803278688525
904144,6269,213626,spearman,30,1,0.7,,True,False,True,9.799476637068942,7.356466367598472,1.1664893325509094,7.030477243571816,0.5491803278688525
904144,6269,213626,spearman,30,1,0.7,,True,False,False,10.418050953976634,8.273786192381285,0.7121697716354355,7.455514467992496,0.5163934426229508
904144,6269,907969,no_emb,15,1,,,,,baseline,11.637608545840092,8.797123980231401,0.3515530483024876,8.105973530053516,0.5491803278688525
904144,6269,907969,spearman,30,1,0.7,,True,False,True,12.117875198133389,9.486202382944464,1.714904182567829,8.859214240444768,0.5245901639344263
