product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid
213626,6269,42,cid,15,1,,0.5,True,False,22.44378022662341,15.091072059025729,-3.2663273672117805,15.811239969871082,0.6323529411764706
213626,6269,42,cid,15,1,,1,True,False,22.141274476877076,14.943584139329674,-2.9293090566231386,15.538860537426741,0.6323529411764706
213626,6269,42,cid,15,1,,2,True,False,21.96598495160049,14.525905853205353,-0.2359856093016854,14.673465341427004,0.625
26008,6269,42,cid,15,1,,0.5,True,False,57.92644063837492,32.453268828944566,-26.57304089141153,43.71979774927648,0.6617647058823529
26008,6269,42,cid,15,1,,1,True,False,61.56279160109788,36.87408393545307,-32.367452629835064,48.091779941870975,0.7426470588235294
26008,6269,42,cid,15,1,,2,True,False,58.015991666077554,35.279647556208346,-30.046708250785397,45.33958478478721,0.6838235294117647
213626,6269,42,cid,15,1,,0.5,True,False,22.44909808252386,15.82950244158724,2.1276336703857366,15.713833069255173,0.6397058823529411
213626,6269,42,cid,15,1,,1,True,False,22.26286012984698,14.968596664658428,-0.25196974903997715,14.936571668348092,0.6544117647058824
213626,6269,42,cid,15,1,,2,True,False,22.020381525026867,14.630788354107933,0.0011117232106897953,14.66816578184309,0.625
907967,6269,42,cid,15,1,,0.5,True,False,20.725804356225513,14.430924808892021,-0.3062662208167306,14.047199935539945,0.6617647058823529
907967,6269,42,cid,15,1,,1,True,False,20.674328982682187,14.414386790164196,-0.5465045088399065,14.07738731609212,0.6470588235294118
907967,6269,42,cid,15,1,,2,True,False,20.66115980872664,14.405324924601256,0.59128455611041,14.079732274541236,0.6617647058823529
210036,6269,42,cid,15,1,,0.5,True,False,1.79128173734009,1.5636872248928042,0.1859360767977081,1.3330466940926733,0.36764705882352944
210036,6269,42,cid,15,1,,1,True,False,1.8968569702681184,1.5585952679878168,-0.18945619972409122,1.3854413520620361,0.3235294117647059
210036,6269,42,cid,15,1,,2,True,False,1.8969793864327253,1.5866114350076574,0.10488345664348045,1.371363416129147,0.3382352941176471
26008,6269,42,cid,15,1,2.0,,True,False,58.464629383834655,33.97927191793701,-28.474304560816638,44.84570881160574,0.6985294117647058
26008,6269,42,cid,15,1,2.01,,True,False,66.66566087751043,40.38624152426954,-36.81297900331934,52.63263557065244,0.7058823529411765
26008,6269,42,cid,15,1,2.02,,True,False,62.10040476191507,35.853684702425866,-31.090410214964383,47.786226110305094,0.7279411764705882
26008,6269,42,cid,15,1,2.03,,True,False,66.39234907235269,39.853636777585876,-35.4072038740681,52.01138469908984,0.7132352941176471
26008,6269,42,cid,15,1,2.04,,True,False,62.1009141701034,37.29693794821518,-33.12465803994097,48.655856082090736,0.7132352941176471
26008,6269,42,cid,15,1,2.05,,True,False,59.18493115466907,34.091177739094206,-26.57227573761322,44.75832894651139,0.625
26008,6269,42,cid,15,1,2.06,,True,False,68.68606990531752,41.37020331732657,-37.16515704426561,53.97687504305681,0.6617647058823529
26008,6269,42,cid,15,1,2.07,,True,False,58.75089533102699,33.939319888225,-28.234220307619466,44.91883271447461,0.6691176470588235
26008,6269,42,cid,15,1,2.08,,True,False,61.09394264170358,36.58986725155128,-32.73386086526252,47.87790335005524,0.7279411764705882
26008,6269,42,cid,15,1,2.09,,True,False,62.81554538577688,36.8971829047277,-29.698444785155953,48.05667961535935,0.7058823529411765
26008,6269,42,cid,15,1,2.1,,True,False,58.96150461249817,33.298341242773255,-27.38577500056394,44.65178136708338,0.6764705882352942
