seed,strategy,item_id,store_id,rmse,mae,train_time,inference_time,best_epoch
42,best_val,26008,6269,49.0477044843567,26.374980383993762,0.0,0.049010515213012695,33
42,best_train_early_val,26008,6269,46.34356910890567,25.60750635144742,0.0,0.0317227840423584,21
42,combined,26008,6269,49.90955020610932,28.3442517593503,0.45357584953308105,0.04579901695251465,12
42,expanding_window,26008,6269,51.00272961535904,27.681229095317814,0.0,0.0385894775390625,21
42,sliding_window,26008,6269,51.00272961535904,27.681229095317814,0.0,0.04413580894470215,21
42,best_val,213626,6269,21.98714535128459,15.02958079388267,0.0,0.04668378829956055,50
42,best_train_early_val,213626,6269,22.0492061146173,14.75366073846817,0.0,0.04441380500793457,19
42,combined,213626,6269,21.214298334926102,14.501676377889357,1.3910651206970215,0.057821035385131836,36
42,expanding_window,213626,6269,21.98994549580054,14.56454870732207,0.0,0.04179024696350098,19
42,sliding_window,213626,6269,21.98994549580054,14.56454870732207,0.0,0.049950361251831055,19
42,best_val,907967,6269,20.420354473051745,14.539045735409385,0.0,0.03574323654174805,7
42,best_train_early_val,907967,6269,19.8312801298901,14.232183178004465,0.0,0.03762626647949219,8
42,combined,907967,6269,19.652137637948524,13.980283462687543,0.34230661392211914,0.061496734619140625,6
42,expanding_window,907967,6269,19.41383093614827,13.416929299894132,0.0,0.054288387298583984,5
42,sliding_window,907967,6269,19.41383093614827,13.416929299894132,0.0,0.062242984771728516,5
42,best_val,907969,6269,53.47811487297294,35.630928883623135,0.0,0.05500507354736328,52
42,best_train_early_val,907969,6269,62.36602107437408,45.17488242921076,0.0,0.049799442291259766,7
42,combined,907969,6269,51.788011647656006,36.63737474705436,2.2104742527008057,0.0717780590057373,46
42,expanding_window,907969,6269,53.34105312880226,34.92755095013663,0.0,0.06529808044433594,7
42,sliding_window,907969,6269,53.34105312880226,34.92755095013663,0.0,0.05134868621826172,7
