seed,item_id,store_id,rmse,mae,train_time,inference_time,best_epoch
42,26008,6269,46.33520541558708,27.04255949284293,0.0,0.010999679565429688,259
42,213626,6269,22.886922851448613,16.165676996896142,0.0,0.009000062942504883,897
42,907967,6269,20.05956290256488,14.138052097276637,0.0,0.010999917984008789,8
42,907969,6269,47.548072610643274,34.55253937801248,0.0,0.011001110076904297,260
1000,26008,6269,43.13768803456067,23.59571599715242,0.0,0.010999441146850586,94
1000,213626,6269,22.45846448105683,15.147402965708784,0.0,0.010998964309692383,9
1000,907967,6269,19.731377156866007,14.203869225163208,0.0,0.010999679565429688,43
1000,907969,6269,47.164565450094194,34.380169212818146,0.0,0.011000871658325195,202
26008,26008,6269,49.669880081633586,26.979663157835603,0.0,0.009999752044677734,8
26008,213626,6269,22.493109673946794,15.546199974260832,0.0,0.010999202728271484,937
26008,907967,6269,20.655586758447484,15.24542426984561,0.0,0.009998559951782227,154
26008,907969,6269,49.444226507930004,35.319913995501246,0.0,0.012001514434814453,172
907969,26008,6269,48.935783307035976,26.963841109095437,0.0,0.008997678756713867,10
907969,213626,6269,22.9097614014301,15.860574019582648,0.0,0.00999903678894043,214
907969,907967,6269,19.821321049586455,14.193155076942945,0.0,0.008999824523925781,21
907969,907969,6269,49.22637782352483,36.16724921096312,0.0,0.00999903678894043,279
1268319,26008,6269,50.22285480001521,29.01221452820066,0.0,0.010999679565429688,40
1268319,213626,6269,22.51944458566259,15.488066593675237,0.0,0.011000394821166992,334
1268319,907967,6269,20.448320974337605,15.273607030510902,0.0,0.010999917984008789,356
1268319,907969,6269,45.508886574916474,33.349605032291855,0.0,0.009999990463256836,231
2185791,26008,6269,45.62659711283209,25.50194793312173,0.0,0.01100015640258789,177
2185791,213626,6269,22.721290971658647,15.252115444133157,0.0,0.011285543441772461,4
2185791,907967,6269,20.86691889133691,15.052734404802322,0.0,0.010999917984008789,4
2185791,907969,6269,45.166948179290685,33.38986711066804,0.0,0.010999441146850586,359
56918379,26008,6269,44.31522748134822,24.665982019548352,0.0,0.009999990463256836,263
56918379,213626,6269,24.05113121297579,16.404154372058418,0.0,0.009999752044677734,6
56918379,907967,6269,19.205642740232587,13.872275566584186,0.0,0.010999917984008789,51
56918379,907969,6269,46.539718145548775,33.96550957387999,0.0,0.009999990463256836,331
1369308036,26008,6269,47.33138928082668,27.004047979943845,0.0,0.009999275207519531,80
1369308036,213626,6269,23.460910040166507,16.17461203077906,0.0,0.010001182556152344,763
1369308036,907967,6269,20.175730212276942,14.526696519632088,0.0,0.009001016616821289,13
1369308036,907969,6269,50.4415826530324,35.05350963281173,0.0,0.011000394821166992,26
