window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23
0,0,-0.6298885941505432,-0.06045805662870407,0.6746705174446106,1.0,0.4592304527759552,0.37712886929512024,0.9655172228813171,5.0,0.03401360660791397,6.0,0.13902248442173004,4.0,0.25,0.6000000238418579,-0.20000000298023224,0.22935254871845245,3.0,2.1187028884887695,0.0,0.0,1.3744467496871948,1.1113890409469604,20.96666717529297,11.853948593139648
0,1,-0.03268945589661598,-0.4543834328651428,0.6936678886413574,2.0,0.2336142510175705,0.009399108588695526,0.9655172228813171,4.0,0.020408162847161293,6.0,0.1488608866930008,3.0,0.5,0.5333333611488342,0.06666667014360428,0.1283356100320816,4.0,2.1298024654388428,0.0,0.0,1.5707963705062866,1.174980878829956,13.233333587646484,10.196968078613281
0,2,-0.305679589509964,-0.10669948160648346,0.6797615885734558,2.0,0.32139819860458374,0.5558748841285706,0.931034505367279,4.0,0.2266666740179062,2.0,0.1273479163646698,1.0,0.20000000298023224,0.5666666626930237,-0.13333334028720856,0.2412601262331009,3.0,2.145458698272705,0.0,0.0,1.5707963705062866,1.084610104560852,8.666666984558105,5.779472351074219
0,3,-0.7134333848953247,0.4434856176376343,0.7685955166816711,2.0,0.2102794051170349,2.0577645301818848,0.931034505367279,6.0,0.1666666716337204,6.0,0.0813395157456398,1.0,0.10000000149011612,0.7333333492279053,-0.2666666805744171,0.24573077261447906,3.0,2.145458698272705,0.0,0.0,1.3744467496871948,1.0690642595291138,17.0,10.372377395629883
0,4,-0.7737520337104797,-0.7737520337104797,0.7094749212265015,4.0,0.25539177656173706,-0.15330475568771362,0.7931034564971924,6.0,0.02210884355008602,6.0,0.10156675428152084,4.0,0.5,-0.20000000298023224,0.0,0.008777509443461895,4.0,2.0966551303863525,0.0,0.0,1.1780972480773926,1.3164631128311157,7.166666507720947,5.901977062225342
0,5,0.29393649101257324,0.49969205260276794,0.7257484793663025,3.0,0.16140836477279663,-1.0569264888763428,0.931034505367279,5.0,0.015306122601032257,6.0,0.07587568461894989,4.0,0.5,0.13333334028720856,-0.2666666805744171,0.06062575802206993,4.0,2.1571757793426514,0.0,0.0,1.1780972480773926,1.341137170791626,138.0,51.031429290771484
1,0,-0.6900997161865234,-0.12432970851659775,0.6918056011199951,1.0,0.4168432652950287,0.3563995361328125,0.9655172228813171,4.0,0.07482992857694626,6.0,0.13776804506778717,3.0,0.25,0.6000000238418579,-0.2666666805744171,0.24088217318058014,3.0,2.165888547897339,0.0,0.0,1.3744467496871948,1.082512378692627,21.733333587646484,11.930642127990723
1,1,-0.4611257314682007,-0.6765697598457336,0.6771062016487122,1.0,0.1629597544670105,0.6732708811759949,0.9655172228813171,3.0,0.045267488807439804,3.0,0.05566803365945816,3.0,0.3333333432674408,0.4333333373069763,0.0,0.16575030982494354,2.0,2.125028610229492,0.0,0.0,1.3744467496871948,1.141257643699646,3.933333396911621,4.409498691558838
1,2,-0.006571098696440458,-0.3597676455974579,0.6940465569496155,2.0,0.32297182083129883,-0.5289628505706787,0.9655172228813171,5.0,0.010204081423580647,6.0,0.11070151627063751,3.0,0.5,0.5333333611488342,0.03333333507180214,0.12452473491430283,4.0,2.1298024654388428,0.0,0.0,1.5707963705062866,1.1875970363616943,12.966666221618652,10.14543628692627
1,3,-0.3356729745864868,-0.13938963413238525,0.7212219834327698,2.0,0.37585312128067017,0.46379512548446655,0.931034505367279,5.0,0.06666667014360428,2.0,0.10935026407241821,1.0,0.20000000298023224,0.5333333611488342,-0.1666666716337204,0.2761022746562958,3.0,2.091329574584961,0.0,0.0,1.5707963705062866,1.008570909500122,8.866666793823242,5.858876705169678
