item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid,train_time_s,inference_time_s
545598,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,8.715831821357948,6.776658363591611,1.0060826469870174,6.3036011633236315,0.631578947368421,9.62,0.1620
545598,6269,42,spearman,30,1,0.7,,True,False,True,catch24,8.716564249259578,6.912297491933785,2.4545157688115937,6.699985439816134,0.618421052631579,35.43,0.1501
545598,6269,42,spearman,30,1,0.7,,True,False,False,catch24,9.053734836770792,6.816396950117124,-2.39805993223502,6.830481638973431,0.5723684210526315,55.82,0.2920
545598,6269,42,spearman,30,1,0.7,,True,False,False,stats,8.763407421364827,6.751893118316052,1.5459653505312851,6.456168327894248,0.5921052631578947,58.26,0.2660
545598,6269,42,spearman,30,1,0.7,,True,False,False,raw,11.950956996663042,9.140701443541284,-7.745655193827511,10.197067657673719,0.4934210526315789,56.53,0.2765
545598,6269,1000,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,8.840558269386685,6.838716874714771,1.6307607476228203,6.53764854027774,0.5986842105263158,9.20,0.1400
545598,6269,1000,spearman,30,1,0.7,,True,False,True,catch24,9.012743698017825,7.216662226159588,2.776763866150301,7.004728372086385,0.6381578947368421,39.87,0.1500
545598,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,9.826129567734847,7.348181920893052,-3.9538892079022974,7.738582566066261,0.5263157894736842,56.47,0.3050
545598,6269,1000,spearman,30,1,0.7,,True,False,False,stats,8.904157673073762,6.9619324067059685,2.085497681611504,6.713936358616249,0.5921052631578947,58.78,0.3151
545598,6269,1000,spearman,30,1,0.7,,True,False,False,raw,9.006556568010776,6.742207626891292,-1.7823966094870973,6.634429343099986,0.5328947368421053,56.36,0.3140
545598,6269,26008,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,8.95532971534934,6.9922286388920805,2.2773944131689134,6.795070620689918,0.5986842105263158,9.21,0.1440
545598,6269,26008,spearman,30,1,0.7,,True,False,True,catch24,8.780165061314152,6.803383895774293,1.4333774466919744,6.449272866273643,0.5855263157894737,36.35,0.1240
545598,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,9.341990947278545,7.108169755125357,-1.3664156595865886,6.789641827317259,0.4473684210526316,55.14,0.3150
545598,6269,26008,spearman,30,1,0.7,,True,False,False,stats,9.962679791755312,7.4917482176637336,-3.763124933429793,7.7950581836510375,0.375,56.54,0.2620
545598,6269,26008,spearman,30,1,0.7,,True,False,False,raw,9.305318954266676,7.537684795903225,3.1546480016770704,7.325742676528412,0.5197368421052632,56.58,0.3110
545598,6269,555555,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,9.39051938473813,7.561683779448465,3.4330955704832387,7.443954529851991,0.5986842105263158,9.06,0.1520
545598,6269,555555,spearman,30,1,0.7,,True,False,True,catch24,9.225063248836516,7.337380297043744,2.6917588165382935,7.119816402813767,0.5986842105263158,36.52,0.1310
545598,6269,555555,spearman,30,1,0.7,,True,False,False,catch24,9.37767152733404,7.585552707996244,3.203034463271596,7.38598255648398,0.5723684210526315,55.66,0.3150
545598,6269,555555,spearman,30,1,0.7,,True,False,False,stats,8.69522923996942,6.502701609742408,-0.38853855382383257,6.070424660876269,0.618421052631579,56.41,0.2790
545598,6269,555555,spearman,30,1,0.7,,True,False,False,raw,9.265989526746111,7.558889756794849,3.4573989132650538,7.387066930888031,0.5263157894736842,55.61,0.2830
545598,6269,213626,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,8.927575324677573,6.90996019201341,1.8775609583636514,6.660667949933052,0.6052631578947368,9.17,0.1310
545598,6269,213626,spearman,30,1,0.7,,True,False,True,catch24,9.081067098511141,7.127461103052875,2.8355587105345883,7.031288502652436,0.618421052631579,36.98,0.1440
545598,6269,213626,spearman,30,1,0.7,,True,False,False,catch24,9.316924942591971,7.490527539471396,3.0263695748023736,7.287686749864427,0.6052631578947368,56.30,0.2990
