product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_pocid,lstm_baseline_seed,graph2vec_lstm_pocid,graph2vec_lstm_seed,gcn_lstm_pocid,gcn_lstm_seed,gat_lstm_pocid,gat_lstm_seed,mlp_baseline_pocid,mlp_baseline_seed,graph2vec_mlp_pocid,graph2vec_mlp_seed,gcn_mlp_pocid,gcn_mlp_seed,gat_mlp_pocid,gat_mlp_seed
278,graph2vec_mlp,True,618626816,14.223077392652264,9.920791538712246,-2.3759976181329465,0.4342105263157895,0.5526315789473685,555555,0.5526315789473685,5219788,0.5789473684210527,26008,0.4539473684210526,5219788,0.5526315789473685,5219788,0.4342105263157895,618626816,0.4407894736842105,23616558,0.5263157894736842,5219788
457,graph2vec_mlp,True,26008,5.941249975535991,4.678418994729036,0.2878671346926221,0.3355263157894737,0.4671052631578947,1000,0.4473684210526316,5219788,0.4473684210526316,5219788,0.4934210526315789,1000,0.4013157894736842,1000,0.3355263157894737,26008,0.3552631578947368,5219788,0.3618421052631579,618626816
1325,graph2vec_mlp,True,1000,9.064444938118466,7.078091714896408,-4.046174616595499,0.3618421052631579,0.5592105263157895,5219788,0.5526315789473685,907969,0.5394736842105263,618626816,0.5263157894736842,26008,0.5131578947368421,907969,0.3618421052631579,1000,0.4210526315789473,5219788,0.4144736842105263,618626816
6032,gat_lstm,True,5219788,19.085031372632244,11.040062281041363,-5.056286294475879,0.4671052631578947,0.5592105263157895,5219788,0.5526315789473685,23616558,0.5197368421052632,26008,0.4671052631578947,5219788,0.5328947368421053,26008,0.5460526315789473,42,0.5592105263157895,907969,0.5592105263157895,42
13544,graph2vec_mlp,True,618626816,36.53541230782967,29.324431974124284,3.540317311006434,0.4539473684210526,0.5789473684210527,907969,0.4868421052631579,907969,0.4736842105263157,26008,0.4868421052631579,213626,0.5460526315789473,213626,0.4539473684210526,618626816,0.4802631578947368,23616558,0.4736842105263157,13451285
16920,mlp_baseline,False,42,10.11816079000212,8.088975214490704,2.3714099896499534,0.4144736842105263,0.5394736842105263,13451285,0.5394736842105263,618626816,0.5131578947368421,907969,0.4736842105263157,618626816,0.4144736842105263,42,0.4671052631578947,23616558,0.4539473684210526,13451285,0.4342105263157895,26008
18568,gcn_mlp,True,23616558,22.928811405521248,17.67493554034264,-7.817122372147304,0.2960526315789473,0.4078947368421052,213626,0.3552631578947368,1000,0.3684210526315789,23616558,0.3355263157894737,42,0.4210526315789473,5219788,0.4276315789473684,213626,0.2960526315789473,23616558,0.3421052631578947,907969
25032,lstm_baseline,False,1000,13.639403367435731,10.560800056831509,1.7770763565512264,0.506578947368421,0.506578947368421,1000,0.5131578947368421,1000,0.5328947368421053,555555,0.5131578947368421,26008,0.5131578947368421,213626,0.5263157894736842,26008,0.5394736842105263,13451285,0.5197368421052632,618626816
26002,graph2vec_mlp,True,13451285,58.09457893594008,29.85998029023214,-26.623332902496937,0.4013157894736842,0.5131578947368421,555555,0.4605263157894737,213626,0.4671052631578947,26008,0.4802631578947368,23616558,0.4671052631578947,618626816,0.4013157894736842,13451285,0.4144736842105263,1000,0.4078947368421052,13451285
26008,gcn_lstm,True,1000,61.37271851245082,36.82783538219976,-26.56119911343444,0.3947368421052631,0.6710526315789473,1000,0.6578947368421053,907969,0.3947368421052631,1000,0.4605263157894737,555555,0.6513157894736842,213626,0.6447368421052632,213626,0.631578947368421,213626,0.6447368421052632,42
26076,gcn_lstm,True,555555,14.618340434965427,10.672693583700392,2.5044028891457453,0.4078947368421052,0.4407894736842105,5219788,0.4342105263157895,907969,0.4078947368421052,555555,0.4210526315789473,213626,0.4342105263157895,555555,0.4210526315789473,555555,0.4407894736842105,907969,0.4407894736842105,5219788
