product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_mae,lstm_baseline_seed,graph2vec_lstm_mae,graph2vec_lstm_seed,gcn_lstm_mae,gcn_lstm_seed,gat_lstm_mae,gat_lstm_seed,mlp_baseline_mae,mlp_baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,gcn_mlp_mae,gcn_mlp_seed,gat_mlp_mae,gat_mlp_seed
278,lstm_baseline,False,23616558,10.153440007048962,7.087675088371327,-2.7225803113451192,0.6381578947368421,7.087675088371327,23616558,7.695750822428784,26008,7.490138895371381,555555,8.129106920529034,26008,7.675456377415875,1000,7.8080541573318785,23616558,8.948392057730482,13451285,7.975765864054362,23616558
457,mlp_baseline,False,555555,5.550656463709157,4.177927596896303,-1.17423526913512,0.6052631578947368,4.824551272236444,5219788,6.055984653678595,213626,5.538689337524713,13451285,4.974646160026002,213626,4.177927596896303,555555,4.34895362106024,555555,4.3662482180626565,13451285,4.413471496183108,23616558
1325,lstm_baseline,False,13451285,7.258114537814853,5.636273764317332,0.4406111723457286,0.6118421052631579,5.636273764317332,13451285,5.644375595391965,618626816,5.924085716796077,5219788,5.770539402182585,5219788,5.9802292842491,42,6.373023749956118,555555,6.171093130423353,213626,5.752512264875025,1000
6032,mlp_baseline,False,13451285,10.23137670690276,6.832310221553628,-0.3787864984250536,0.5657894736842105,7.1522491531434405,213626,9.793579669559705,5219788,8.01093965885686,23616558,10.432879703496797,555555,6.832310221553628,13451285,7.348639351090575,555555,7.905131240296208,23616558,7.960016231910855,555555
13544,graph2vec_mlp,True,213626,34.23190108164106,26.90881215513142,-4.018197078330844,0.4934210526315789,29.3113580840865,13451285,27.49786379446391,1000,30.77343646529453,213626,32.66678868711384,5219788,34.37550670648712,13451285,26.90881215513142,213626,30.872738034117457,13451285,29.649594026453357,13451285
16920,graph2vec_lstm,True,1000,9.156681774275176,6.7720971730799455,-0.6433109052820143,0.5460526315789473,7.510061921637043,23616558,6.7720971730799455,1000,7.772055912641139,213626,7.919054346146926,42,7.219909141266268,555555,7.630044313817242,26008,7.965773127437417,555555,7.795126840180042,13451285
18568,gat_mlp,True,1000,20.77428598304828,16.417995683507982,-0.7910232232287039,0.3815789473684211,17.462434238857693,213626,17.332075948029562,618626816,17.052602923773474,5219788,17.205231853559905,618626816,17.509301497266183,618626816,17.47448506074793,618626816,16.954249899371778,1000,16.417995683507982,1000
25032,graph2vec_mlp,True,1000,11.949918003701224,9.236868210088192,-0.3869272057527031,0.5460526315789473,10.035761481017069,5219788,10.009219415826736,5219788,9.842497635924934,907969,9.615219850166172,5219788,9.326679622425752,555555,9.236868210088192,1000,9.572214307348712,618626816,9.679057894189372,213626
26002,lstm_baseline,False,213626,27.693572564208147,17.229882374308467,-11.2869650491702,0.5394736842105263,17.229882374308467,213626,26.583398411866103,907969,22.213011124554804,5219788,26.632759271883497,555555,17.7118013419357,1000,21.14669796688105,907969,24.432859950595432,5219788,25.877202900406584,213626
26008,lstm_baseline,False,618626816,40.834433771678384,21.66020556096158,-1.9873757896080515,0.7039473684210527,21.66020556096158,618626816,23.57246907084596,23616558,26.90769488515417,907969,26.30066234613556,13451285,23.84566535201727,26008,23.8816494661219,5219788,21.9277028601154,13451285,23.11018805410348,907969
