product_id,baseline,baseline_mae,baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,graph2vec_mlp_pct_improvement,gcn_mlp_mae,gcn_mlp_seed,gcn_mlp_pct_improvement,gat_mlp_mae,gat_mlp_seed,gat_mlp_pct_improvement,best_hybrid,best_hybrid_mae,best_hybrid_beats_baseline,best_hybrid_pct_improvement
278,mlp_baseline,7.675456377415875,1000,7.8080541573318785,23616558,-1.7275556448494285,8.948392057730482,13451285,-16.584495015307102,7.975765864054362,23616558,-3.9125945334288197,graph2vec_mlp,7.8080541573318785,False,-1.7275556448494285
457,mlp_baseline,4.177927596896303,555555,4.34895362106024,555555,-4.093561226168417,4.3662482180626565,13451285,-4.507512799078964,4.413471496183108,23616558,-5.637816688393202,graph2vec_mlp,4.34895362106024,False,-4.093561226168417
1325,mlp_baseline,5.9802292842491,42,6.373023749956118,555555,-6.568217488609868,6.171093130423353,213626,-3.1915807421791564,5.752512264875025,1000,3.807830913337095,gat_mlp,5.752512264875025,True,3.807830913337095
6032,mlp_baseline,6.832310221553628,13451285,7.348639351090575,555555,-7.557167528899705,7.905131240296208,23616558,-15.702170773191645,7.960016231910855,555555,-16.505486047745546,graph2vec_mlp,7.348639351090575,False,-7.557167528899705
13544,mlp_baseline,34.37550670648712,13451285,26.90881215513142,213626,21.720973061166934,30.872738034117457,13451285,10.189722299304014,29.649594026453357,13451285,13.747906962901354,graph2vec_mlp,26.90881215513142,True,21.720973061166934
16920,mlp_baseline,7.219909141266268,555555,7.630044313817242,26008,-5.680614042727996,7.965773127437417,555555,-10.330656128455578,7.795126840180042,13451285,-7.967104400608682,graph2vec_mlp,7.630044313817242,False,-5.680614042727996
18568,mlp_baseline,17.509301497266183,618626816,17.47448506074793,618626816,0.19884537669128616,16.954249899371778,1000,3.1700384962876327,16.417995683507982,1000,6.232720442495046,gat_mlp,16.417995683507982,True,6.232720442495046
25032,mlp_baseline,9.326679622425752,555555,9.236868210088192,1000,0.9629516180829402,9.572214307348712,618626816,-2.6326055451993726,9.679057894189372,213626,-3.778174935014765,graph2vec_mlp,9.236868210088192,True,0.9629516180829402
26002,mlp_baseline,17.7118013419357,1000,21.14669796688105,907969,-19.39326530731037,24.432859950595432,5219788,-37.94678180330807,25.877202900406584,213626,-46.10147438328538,graph2vec_mlp,21.14669796688105,False,-19.39326530731037
26008,mlp_baseline,23.84566535201727,26008,23.8816494661219,5219788,-0.15090421497332943,21.9277028601154,13451285,8.043233281975157,23.11018805410348,907969,3.0843228194996453,gcn_mlp,21.9277028601154,True,8.043233281975157
