product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid,train_time,infer_time
27,6269,42,spearman,15,1,0.75,,True,False,4.191232103633368,3.4844218447707056,0.8926339802009607,0.16172151931804246,0.5460526315789473,8.0008,0.552
27,6269,42,spearman,15,1,0.82,,True,False,4.250793427477475,3.553858470098645,1.1435817552158256,0.1377267876906595,0.5526315789473685,8.0174,0.281
27,6269,42,spearman,15,1,0.85,,True,False,4.175726928545068,3.4728060078387166,0.7215715627265132,0.1679123540558961,0.5394736842105263,8.5211,0.24
27,6269,42,spearman,15,1,0.88,,True,False,4.356247703742596,3.6289372613617017,1.3495171340852001,0.09441331875347969,0.5263157894736842,8.3765,0.229
27,6269,42,spearman,15,1,0.91,,True,False,4.337918232823339,3.6174050028028053,1.2744776361128862,0.10201803033688472,0.5394736842105263,8.2943,0.2185
27,6269,1000,spearman,15,1,0.75,,True,False,4.165777556246374,3.456794709454175,0.7259964234883489,0.1718728079642564,0.5592105263157895,7.8446,0.51
27,6269,1000,spearman,15,1,0.82,,True,False,4.072786044672959,3.3617390464333927,0.278649147234711,0.20843226183080654,0.5526315789473685,7.9023,0.283
27,6269,1000,spearman,15,1,0.85,,True,False,4.144120717260192,3.4265281143141726,0.5653978556978936,0.18046087980172842,0.5460526315789473,7.9241,0.24
27,6269,1000,spearman,15,1,0.88,,True,False,4.213745960118877,3.5075852345017826,1.1310449390629538,0.1526914440308459,0.5657894736842105,7.9852,0.218
27,6269,1000,spearman,15,1,0.91,,True,False,4.125784543200533,3.44644922923808,0.5725022471613355,0.18769713960292456,0.5723684210526315,7.8751,0.221
27,6269,26008,spearman,15,1,0.75,,True,False,4.779198460771368,3.9701590909093034,1.4533677130353218,-0.08997120369106382,0.5,9.5388,0.612
27,6269,26008,spearman,15,1,0.82,,True,False,4.3755944339401935,3.5858608995582544,0.8028576762652865,0.08635177260849669,0.5592105263157895,8.0644,0.354
27,6269,26008,spearman,15,1,0.85,,True,False,4.352915698323906,3.6147078920423596,1.2004241088246987,0.09579811867882537,0.5131578947368421,7.9734,0.254
27,6269,26008,spearman,15,1,0.88,,True,False,4.611176063879378,3.8397795561871497,1.8279019714960085,-0.01467813753145708,0.5460526315789473,7.956,0.24
27,6269,26008,spearman,15,1,0.91,,True,False,4.612657486530707,3.7949490977658167,1.571703922514822,-0.01533020920062289,0.5263157894736842,9.0692,0.218
27,6269,907969,spearman,15,1,0.75,,True,False,4.532581218341715,3.8023109860669555,1.8813484252667894,0.01961629710540358,0.5657894736842105,7.6494,0.509
27,6269,907969,spearman,15,1,0.82,,True,False,4.319078502359953,3.599376695218429,1.0459341796395045,0.10980102678779768,0.5592105263157895,7.6065,0.265
27,6269,907969,spearman,15,1,0.85,,True,False,4.56531625830713,3.8384811869438957,1.8528793309054343,0.005404179012383992,0.5460526315789473,7.6043,0.241
27,6269,907969,spearman,15,1,0.88,,True,False,4.375560233127116,3.606365122923664,1.2477949901538736,0.08636605518911344,0.5460526315789473,8.6529,0.228
27,6269,907969,spearman,15,1,0.91,,True,False,4.776083216444767,3.9908165553816004,2.0859979313183454,-0.08855070610077731,0.5460526315789473,8.5892,0.215
71,6269,42,spearman,15,1,0.75,,True,False,11.082445639561184,8.30800168710499,2.9310230618354933,0.25977397635284416,0.5263157894736842,11.0852,0.65
71,6269,42,spearman,15,1,0.82,,True,False,10.520977730109603,7.302497786171491,0.02452185353130297,0.33287789305506155,0.48026315789473684,9.3733,0.329
71,6269,42,spearman,15,1,0.85,,True,False,9.98202026114397,7.2888533274332685,0.18869025060553957,0.3994764768016834,0.5263157894736842,9.5484,0.2754
71,6269,42,spearman,15,1,0.88,,True,False,10.884769074485215,8.319592287776127,1.1893699735500454,0.28594515673045084,0.5460526315789473,12.854,0.23
71,6269,42,spearman,15,1,0.91,,True,False,10.458721943141265,8.055642179706517,3.0036408018832113,0.340749658121956,0.4934210526315789,8.8552,0.222
71,6269,1000,spearman,15,1,0.75,,True,False,9.970579370418402,6.962197321935807,-1.8268052533853287,0.400852267774348,0.5328947368421053,8.7335,0.933
71,6269,1000,spearman,15,1,0.82,,True,False,9.91042994255162,7.183667745575114,-0.10629557892436685,0.40805940944877983,0.5263157894736842,10.3477,0.341
71,6269,1000,spearman,15,1,0.85,,True,False,10.496624380105084,7.191499613639381,-2.0471053742651457,0.3359627498375224,0.5263157894736842,14.3743,0.272
71,6269,1000,spearman,15,1,0.88,,True,False,10.184883400620965,7.94565123604501,2.197643960978276,0.3748197458814645,0.5263157894736842,10.0846,0.251
71,6269,1000,spearman,15,1,0.91,,True,False,10.507973770031906,7.752950029118972,1.1774203361687707,0.33452600374655095,0.4934210526315789,11.5619,0.229
71,6269,26008,spearman,15,1,0.75,,True,False,9.764683420113915,7.1028757208556526,0.4042658556277066,0.425341989384199,0.4934210526315789,8.7906,1.1006
71,6269,26008,spearman,15,1,0.82,,True,False,10.788369128222577,7.638561006428467,-0.5122275211623096,0.2985370699496941,0.5657894736842105,11.4198,0.305
71,6269,26008,spearman,15,1,0.85,,True,False,9.917341304309675,7.305978045500572,0.08486737291407741,0.4072335033840023,0.506578947368421,13.9727,0.3
71,6269,26008,spearman,15,1,0.88,,True,False,10.329191824162193,7.774146791608407,0.6749193174216677,0.35697802438416837,0.5460526315789473,12.844,0.259
71,6269,26008,spearman,15,1,0.91,,True,False,10.945331966942558,8.364428892232526,1.5918906680825684,0.2779770437315251,0.5263157894736842,12.7628,0.22
71,6269,907969,spearman,15,1,0.75,,True,False,10.05851120949792,7.5398852097881,-0.08827029302521469,0.39023774393279487,0.5394736842105263,10.8721,0.692
71,6269,907969,spearman,15,1,0.82,,True,False,10.448512909819106,7.3716942006174255,-0.04907567842918284,0.3420360531382599,0.5328947368421053,12.8162,0.282
71,6269,907969,spearman,15,1,0.85,,True,False,11.244200238023408,7.721841424581856,-0.7288335862940822,0.2380082457371907,0.5592105263157895,11.053,0.23
71,6269,907969,spearman,15,1,0.88,,True,False,10.97046362179543,7.387658963819929,-1.544698364472662,0.274657553021709,0.5460526315789473,9.1194,0.236
71,6269,907969,spearman,15,1,0.91,,True,False,11.28403305009092,8.56556901812943,2.0980644623438516,0.23259994003630835,0.506578947368421,14.9922,0.2268
