product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid,train_time,infer_time
27,6269,42,no_emb,15,1,,,,,4.377149812193137,3.669005706127173,1.3848279655174491,0.08570211406427597,0.5460526315789473,9.0065,0.028
27,6269,1000,no_emb,15,1,,,,,5.440714010649226,4.461032840891991,2.962641101403564,-0.4125918279487697,0.5986842105263158,16.6915,0.027
27,6269,26008,no_emb,15,1,,,,,4.903597847033488,4.078548729030135,2.011895330123652,-0.1474521523649357,0.5197368421052632,10.79,0.024
27,6269,907969,no_emb,15,1,,,,,4.60937436438029,3.908117735697553,2.1720734184084374,-0.013885373205714924,0.5592105263157895,7.8149,0.0298
71,6269,42,no_emb,15,1,,,,,11.124127873988106,8.360946685830557,1.3205960922527546,0.2541953705603808,0.5263157894736842,12.1861,0.026
71,6269,1000,no_emb,15,1,,,,,10.110532798912518,7.383605536195188,0.2247840138578337,0.3839141778639167,0.5394736842105263,10.1591,0.031
71,6269,26008,no_emb,15,1,,,,,10.99218823509377,8.44787529492416,1.6093028598461983,0.271781943176469,0.5592105263157895,16.8362,0.027
71,6269,907969,no_emb,15,1,,,,,10.333697421713943,7.780408537197931,0.9409893003408036,0.3564169291566046,0.5263157894736842,12.3308,0.026
116,6269,42,no_emb,15,1,,,,,13.572747890458652,10.752149104292876,-3.2470784685970133,-0.03339733117879118,0.5263157894736842,7.268,0.026
116,6269,1000,no_emb,15,1,,,,,13.663210819002618,10.78243185375251,-3.0922886421477873,-0.04721850984549336,0.4605263157894737,7.2085,0.027
116,6269,26008,no_emb,15,1,,,,,13.596002963652525,10.74288745409523,-2.442031244047327,-0.03694153878271034,0.4605263157894737,7.3912,0.0285
116,6269,907969,no_emb,15,1,,,,,13.68260885958109,10.884665036707922,-3.533143186296513,-0.050194151162047396,0.4934210526315789,7.0724,0.025
128,6269,42,no_emb,15,1,,,,,4.321974605092338,3.3987428908254587,1.9631374100454493,-0.25075109031263776,0.45394736842105265,8.5871,0.026
128,6269,1000,no_emb,15,1,,,,,3.994203534490376,3.15940907967636,1.4395233470630022,-0.06823511982232211,0.47368421052631576,7.3925,0.027
128,6269,26008,no_emb,15,1,,,,,4.041063970540327,3.2078525166885528,1.5151111187498554,-0.09344745858086889,0.4342105263157895,8.0075,0.024
