product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid
26008,6269,42,no_emb,15,1,,,,,57.719011566607534,31.963050523786432,-26.211165874897347,43.40305988297471,0.6691176470588235
26008,6269,42,no_emb,15,1,,,,,57.719011566607534,31.963050523786432,-26.211165874897347,43.40305988297471,0.6691176470588235
26008,6269,42,no_emb,15,1,,,,,57.719011566607534,31.963050523786432,-26.211165874897347,43.40305988297471,0.6691176470588235
26008,6269,1000,no_emb,15,1,,,,,49.36612714692203,26.72967059301199,-16.72994592078846,35.547967701911126,0.6764705882352942
26008,6269,26008,no_emb,15,1,,,,,54.38447421924419,33.09285723806842,-24.34720696217931,41.55225315968403,0.7132352941176471
26008,6269,213626,no_emb,15,1,,,,,45.601532843762456,23.722189895971848,-7.395571405761434,30.58020674731455,0.6911764705882353
26008,6269,907969,no_emb,15,1,,,,,47.62612026874628,24.31259285272473,-10.070221734090444,32.408763781076935,0.6691176470588235
26008,6269,5219788,no_emb,15,1,,,,,52.09691521058283,28.086019525644335,-19.92854480314864,38.05209868748966,0.6911764705882353
26008,6269,13451285,no_emb,15,1,,,,,47.991160901861846,25.3191376950619,-11.906993178120494,33.30211316922652,0.6764705882352942
907969,6269,42,no_emb,15,1,,,,,50.978375947203226,35.116926273507794,-15.096185941548242,38.04246602736562,0.7352941176470589
907969,6269,1000,no_emb,15,1,,,,,51.5805275236593,35.08038251721946,-19.50925604205062,39.43767340164717,0.7279411764705882
907969,6269,26008,no_emb,15,1,,,,,56.26718130165825,39.63870661885199,-28.918415296251755,45.272871129605065,0.75
907969,6269,213626,no_emb,15,1,,,,,50.27739115540251,33.834758149446365,-11.594713684851236,36.496063536275656,0.7205882352941176
907969,6269,907969,no_emb,15,1,,,,,51.41212469620205,35.124068791631366,-13.445924441962347,37.84856065649945,0.7279411764705882
907969,6269,5219788,no_emb,15,1,,,,,52.146374679026344,36.848079269031324,-24.222895662089552,41.34093107229339,0.7352941176470589
907969,6269,13451285,no_emb,15,1,,,,,48.85864428206239,33.212218389241364,-10.991554623320155,35.480265394171575,0.7352941176470589
907967,6269,42,no_emb,15,1,,,,,20.659295045262414,14.454227285663578,1.3857737857929981,14.289647790495351,0.6470588235294118
907967,6269,1000,no_emb,15,1,,,,,20.621655056247032,14.604756062918336,1.7998255743597547,14.41197293744304,0.6691176470588235
907967,6269,26008,no_emb,15,1,,,,,20.904926372023574,14.676305118268424,1.3719341023995058,14.46452299117877,0.6838235294117647
26008,6269,42,no_emb,15,1,,,,,57.71017495953696,31.95505695757422,-26.199339946092916,43.39368670568526,0.6691176470588235
213626,6269,42,no_emb,15,1,,,,,22.733556067814167,15.666907926980596,7.408902552441089,17.135730653762504,0.6176470588235294
907967,6269,42,no_emb,15,1,,,,,20.659302966282127,14.454236117592693,1.3857657613545438,14.289651952877872,0.6470588235294118
210036,6269,42,no_emb,15,1,,,,,1.9978779284680106,1.6279808663538773,0.2199159138937936,1.460913159295923,0.34558823529411764
26008,6269,42,no_emb,15,1,,,,,57.71017495953696,31.95505695757422,-26.199339946092916,43.39368670568526,0.6691176470588235
907969,6269,42,no_emb,15,1,,,,,50.978378382621734,35.11691709591524,-15.09624081980573,38.04247867024111,0.7352941176470589
210036,6269,42,no_emb,15,1,,,,,1.9978779284680106,1.6279808663538773,0.2199159138937936,1.460913159295923,0.34558823529411764
907967,6269,42,no_emb,15,1,,,,,20.659302966282127,14.454236117592693,1.3857657613545438,14.289651952877872,0.6470588235294118
213626,6269,42,no_emb,15,1,,,,,22.733556067814167,15.666907926980596,7.408902552441089,17.135730653762504,0.6176470588235294
26008,6269,42,no_emb,15,1,,,,,57.71017495953696,31.95505695757422,-26.199339946092916,43.39368670568526,0.6691176470588235
907969,6269,42,no_emb,15,1,,,,,50.978378382621734,35.11691709591524,-15.09624081980573,38.04247867024111,0.7352941176470589
210036,6269,42,no_emb,15,1,,,,,1.9978779284680106,1.6279808663538773,0.2199159138937936,1.460913159295923,0.34558823529411764
907967,6269,42,no_emb,15,1,,,,,20.659302966282127,14.454236117592693,1.3857657613545438,14.289651952877872,0.6470588235294118
213626,6269,42,no_emb,15,1,,,,,22.733556067814167,15.666907926980596,7.408902552441089,17.135730653762504,0.6176470588235294
26008,6269,42,no_emb,15,1,,,,,57.71017495953696,31.95505695757422,-26.199339946092916,43.39368670568526,0.6691176470588235
