product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid
26008,6269,42,spearman,15,1,0.75,,True,False,True,54.057091944102254,33.456642150878906,0.0929624769422743,35.41594712900642,0.6907894736842105
26008,6269,42,spearman,15,1,0.75,,True,False,False,50.31440456410694,30.011781692504883,-5.272012448778339,33.97815081737427,0.5657894736842105
26008,6269,42,spearman,15,1,0.75,,True,False,True,61.851520560962165,35.86016082763672,-28.212494320339626,46.94392406747517,0.6907894736842105
26008,6269,42,spearman,15,1,0.75,,True,False,True,44.759905011960065,25.639766693115234,-5.380213968114915,30.13494767128757,0.6776315789473685
26008,6269,42,spearman,15,1,0.75,,True,False,False,52.209721129965345,30.72881507873535,-11.49330308702257,36.660390106422156,0.6052631578947368
26008,6269,42,spearman,15,1,0.82,,True,False,False,64.13371422879896,38.22737503051758,-29.28001246732824,48.94370398886094,0.625
26008,6269,42,spearman,15,1,0.85,,True,False,False,54.25812016201469,32.90559768676758,-4.397552963954951,36.45484774368798,0.5986842105263158
26008,6269,42,spearman,15,1,0.88,,True,False,False,53.91278040154301,32.2341423034668,-9.992201337627336,37.51297611104504,0.6118421052631579
26008,6269,42,spearman,15,1,0.91,,True,False,False,58.348729367056485,33.39268112182617,-19.92437464894812,42.50362862622181,0.618421052631579
911753,6269,42,spearman,15,1,0.75,,True,False,True,32.49276887704209,23.11211395263672,-8.900410072476257,24.24951544479929,0.6973684210526315
26008,6269,42,spearman,15,1,0.82,,True,False,True,48.28315960001846,27.02161980921926,2.9508125454771754,31.634687888683338,0.6973684210526315
26008,6269,42,spearman,15,1,0.82,,True,False,True,49.4439488495425,28.238865821190128,-0.6657073575686785,31.948117719460953,0.6447368421052632
26008,6269,42,spearman,15,1,0.82,,True,False,False,51.20028040472116,31.446505378274356,-1.338194504282833,33.796315172999876,0.5986842105263158
26008,6269,42,spearman,15,1,0.82,,True,False,True,42.565161043084885,21.401395143247118,-2.4431952869190887,27.243728129083994,0.7302631578947368
26008,6269,42,spearman,15,1,0.82,,True,False,True,42.565161043084885,21.401395143247118,-2.4431952869190887,27.243728129083994,0.7302631578947368
26008,6269,42,spearman,15,1,0.82,,True,False,False,47.639886205451276,27.983231737722758,-4.879687340430964,32.03567287226407,0.5789473684210527
26008,6269,42,spearman,15,1,0.85,,True,False,False,46.92215261245941,26.672807506486482,3.2273074131385955,30.936105036135974,0.5723684210526315
26008,6269,42,spearman,15,1,0.88,,True,False,False,48.853165004728844,28.17816989873749,-6.978722017574934,33.21580548144253,0.5921052631578947
