product_id,store_id,seed,metric,model_variant,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
278,6269,42,spearman,lstm_baseline,,,,,,,,,14.066752400035792,9.085234024945427,-5.280605478224412,10.624836075810355,0.5723684210526315
278,6269,42,spearman,mlp_baseline,,,,,,,,,10.90015267914475,8.012109868666705,-1.7270770852082695,7.884873078041118,0.6052631578947368
278,6269,42,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.628400036704738,8.118932362475427,-4.089313569411733,9.366261501324157,0.631578947368421
278,6269,42,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,11.934409995545465,8.342806778702082,-1.9555733936284883,8.541800040855376,0.5723684210526315
278,6269,42,spearman,gcn_lstm,30,1,0.634,,True,False,True,catch24_minmaxlast,14.066752400035792,9.085234024945427,-5.280605478224412,10.624836075810355,0.5723684210526315
278,6269,42,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.89963905582431,8.480512936909994,-3.789869152642543,9.51741505030029,0.6052631578947368
278,6269,42,spearman,gcn_mlp,30,1,0.634,,True,False,True,catch24_minmaxlast,11.629879924710611,8.346625720753389,-0.5975605085784313,8.05098651968826,0.5921052631578947
278,6269,42,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,11.209414135764783,8.459690393186083,-0.48101487502553103,7.839883384935295,0.5921052631578947
278,6269,42,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.52108571363816,8.08614363701515,-1.4107086144241632,8.13475591967891,0.5723684210526315
278,6269,42,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.231785026384859,8.681697022681142,0.151865391949423,8.32428311685007,0.5986842105263158
278,6269,1000,spearman,lstm_baseline,,,,,,,,,10.858158439330138,7.575651870054357,-3.027364322562623,8.079833267819314,0.5789473684210527
278,6269,1000,spearman,mlp_baseline,,,,,,,,,10.232303983514768,7.675456377415875,-1.215278301363677,7.338835661452273,0.5723684210526315
278,6269,1000,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.797252542550009,8.819912337010203,-5.307082064011517,10.430374871530434,0.5855263157894737
278,6269,1000,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.372140781007813,8.572626462948868,-2.8368087220036124,9.038429186742025,0.618421052631579
278,6269,1000,spearman,gcn_lstm,30,1,0.634,,True,False,True,catch24_minmaxlast,10.858158439330138,7.575651870054357,-3.027364322562623,8.079833267819314,0.5789473684210527
278,6269,1000,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.11991403893357,8.445913470648472,0.6598242404414159,7.836391447239258,0.6052631578947368
278,6269,1000,spearman,gcn_mlp,30,1,0.634,,True,False,True,catch24_minmaxlast,13.28587893960393,9.289731505649542,-1.804055594151316,9.416386244752179,0.5526315789473685
278,6269,1000,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.085127882892495,8.982438654681436,0.3351045994976767,8.371949754991025,0.5855263157894737
278,6269,1000,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.611290423326144,8.90129290375055,-2.8907463129828956,9.253655015846434,0.5592105263157895
278,6269,1000,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.512565045460244,8.912995444403755,-1.5570312200808059,8.873789188851264,0.5460526315789473
278,6269,26008,spearman,lstm_baseline,,,,,,,,,11.353502610126625,7.999012597246108,-3.625638418727451,8.582914059056701,0.618421052631579
278,6269,26008,spearman,mlp_baseline,,,,,,,,,10.398337916568199,7.913508116030226,-1.3262050790724411,7.509097257059766,0.5986842105263158
278,6269,26008,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.260993117383075,8.74367512596978,-4.725611699172874,9.997818264977202,0.5789473684210527
278,6269,26008,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.889213380376608,8.937450782925476,-2.211671417834712,9.231887240378352,0.5723684210526315
278,6269,26008,spearman,gcn_lstm,30,1,0.634,,True,False,True,catch24_minmaxlast,14.264938561224104,10.108879657352672,-5.136769956233454,10.943881684008584,0.6052631578947368
278,6269,26008,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.346371829797112,8.455479303995768,0.3723468905180887,7.8801424635270205,0.5657894736842105
278,6269,26008,spearman,gcn_mlp,30,1,0.634,,True,False,True,catch24_minmaxlast,12.08451146482435,8.680488885617724,-0.7872663261064516,8.40919453534322,0.5855263157894737
278,6269,26008,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,11.502213382816324,8.519886989219517,0.09932633942248774,7.905910023568663,0.5789473684210527
278,6269,26008,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.631234018381198,8.53739538379744,-2.7362253338682887,9.134022188607032,0.5921052631578947
278,6269,26008,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.039880077493056,8.855313712475347,-0.015595922283097809,8.237667447436138,0.5789473684210527
278,6269,555555,spearman,lstm_baseline,,,,,,,,,13.997280847172753,9.376196194318386,-5.466557197321475,10.709328771496342,0.5526315789473685
278,6269,555555,spearman,mlp_baseline,,,,,,,,,11.086850038942751,8.243544416489945,-1.564791342791389,7.995508959291708,0.5921052631578947
278,6269,555555,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.658471043142157,8.7418900221781,-5.761710291594461,10.455135600014218,0.5986842105263158
278,6269,555555,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.668537110042852,8.758923923268037,-2.004981882431928,9.025245006446417,0.5789473684210527
278,6269,555555,spearman,gcn_lstm,30,1,0.634,,True,False,True,catch24_minmaxlast,13.997280847172753,9.376196194318386,-5.466557197321475,10.709328771496342,0.5526315789473685
278,6269,555555,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.316833582797367,8.037032850427565,-1.9565403882194967,8.156810101060449,0.6513157894736842
278,6269,555555,spearman,gcn_mlp,30,1,0.634,,True,False,True,catch24_minmaxlast,12.64287409639762,8.86495913087932,-1.4336704304015715,8.896094438519032,0.5986842105263158
278,6269,555555,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.310922618061996,8.950302061691783,-0.9880438037947112,8.640047775402621,0.618421052631579
278,6269,555555,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.74065018379203,8.458699830996444,-3.4234908359502656,9.340872758632694,0.5789473684210527
278,6269,555555,spearman,gat_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.490760967533303,9.10209270552093,-0.7619930217468661,8.7114019155836,0.5460526315789473
278,6269,213626,spearman,lstm_baseline,,,,,,,,,12.112604944133553,7.923541656506607,-4.285890624414082,9.108660542296947,0.5986842105263158
278,6269,213626,spearman,mlp_baseline,,,,,,,,,10.60435657834829,7.733164936888452,-2.350874003242044,7.823188024206769,0.5986842105263158
278,6269,213626,spearman,graph2vec_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,13.125924908837254,8.593586965324052,-3.9027282864439723,9.687041267360634,0.618421052631579
278,6269,213626,spearman,graph2vec_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,15.155407761629151,9.94402835571688,-5.417482575559927,11.418081613633777,0.5
278,6269,213626,spearman,gcn_lstm,30,1,0.634,,True,False,True,catch24_minmaxlast,12.112604944133553,7.923541656506607,-4.285890624414082,9.108660542296947,0.5986842105263158
278,6269,213626,spearman,gcn_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,11.973564863110612,8.282554950589448,-2.2921692343319164,8.630463477785646,0.5986842105263158
278,6269,213626,spearman,gcn_mlp,30,1,0.634,,True,False,True,catch24_minmaxlast,12.345655131816029,8.67722413430806,-1.319363357194888,8.671974438783751,0.6052631578947368
278,6269,213626,spearman,gcn_mlp,30,1,0.634,,True,False,False,catch24_minmaxlast,12.399179241824019,9.260482750686945,0.06130788217183032,8.530037279126704,0.5855263157894737
278,6269,213626,spearman,gat_lstm,30,1,0.634,,True,False,False,catch24_minmaxlast,12.850234129253721,8.551485491733924,-3.6984107759263782,9.487591131541937,0.5921052631578947
