item_id,cat_label,cluster,trend_strength,trend_changes,lr_slope,lr_r2,forecastability,fluctuation,ac_relevance,seasonal_strength,window_fluctuation,st_variation,diff_series,complexity,rec_concentration,centroid
457,refrigerated drnks,0,0.31013298674130463,117,-0.015193326990845142,0.13321707521897108,0.15404803960065078,0.9302631578947368,0.8944361347601585,0.3037196343317867,0.6808510638297872,-0.6654994140773812,0.21614663113194282,32.76251590372219,-0.5181551689678976,305.44490280537127
1325,refrigerated drnks,0,0.19036989884675437,109,-0.005852007277705681,0.024481382016995346,0.15009009878349697,0.9592105263157895,0.7468237937528273,0.2848556889224343,0.1702127659574468,-0.27554979676492114,0.23432786378851506,35.884077910210216,-0.19010583660456049,354.638626595105
16920,yogurt,0,0.196622431033872,123,-0.0063005740369320145,0.014307341629230308,0.15375779677200746,0.9473684210526315,0.7274010583325322,0.26742273015992357,0.8723404255319149,-0.02533388947085965,0.2512975880540426,36.3335237883776,-0.42600276828247746,348.89113391115393
25032,yogurt,0,0.2665725154768217,123,-0.0009527346670711063,0.00021943319104111847,0.15542728178828946,0.95,0.804355991793422,0.30436538288993065,0.851063829787234,-0.31917488530330274,0.23219075637954345,34.562209448608,-0.6847229049890744,381.7550519810661
26076,yogurt,0,0.3212969196166129,127,-0.005279876359600565,0.009805288704047954,0.15404988189147403,0.9342105263157895,0.8520927427365614,0.30921900471890174,0.8085106382978723,-0.29993129258253676,0.2223967929716747,33.57064296689795,-0.5234787067007707,364.17999222170647
26372,dairy cream,0,0.4216029404140761,129,-0.03273935586532214,0.09466874919875812,0.15498829997144567,0.8644736842105263,1.2031314318827944,0.3530432744221086,0.1276595744680851,0.3239103704399219,0.19164861276801232,30.095149287887907,-0.24027219412110168,327.07896463021615
30534,yogurt,0,0.41561507292005406,128,-0.0006791944422812704,0.00011163640734501712,0.15643777387030025,0.9210526315789473,0.9275479032025151,0.31726455457301694,0.1276595744680851,-0.1405096276856612,0.30742688528775813,32.18495995338265,0.10354644090017129,391.4298855562629
110187,bottled water,0,0.1801793644878391,149,0.011459472970816745,0.0015132405075789501,0.1589506533807899,0.9710526315789474,0.9918975687389862,0.3126750023945988,0.14893617021276595,0.034711752277901,0.13838930073195962,31.12178971314825,-0.2204729014084087,385.70436948256014
151815,dairy chs,0,0.2633806028110436,130,0.0014358819643706085,0.0005469505386485052,0.16177788588125733,0.9618421052631579,1.0692457889916969,0.2510469616079857,0.14893617021276595,-0.14016842488511336,0.18658282523251302,30.648181015429063,-0.11588564145076252,379.5797250031861
151821,dairy chs,0,0.2926234976473876,125,-0.0017337647096623483,0.0013912331698889835,0.1576309591991924,0.9328947368421052,0.9788195997317956,0.31840855879818986,0.7659574468085106,-0.46945729422178417,0.20578883551786623,31.31665794807161,-0.1721973771941837,374.6699105429109
151828,dairy chs,0,0.3212635862720312,123,0.007119261468621838,0.021513686546622335,0.16111456978826907,0.9289473684210526,0.9926084377622569,0.2874237980832902,0.1276595744680851,0.21132085696092945,0.17943114652983114,31.123295708486197,0.028418446713262102,405.6569767105286
213624,milknplant based bevs,0,0.11997422292970406,116,-0.009161991033021415,0.030582663308404534,0.16361458973917997,0.975,0.6756406272875044,0.3062736349591576,0.723404255319149,-0.16072824584054896,0.2911438714894581,37.72681333110778,0.40764917661372024,358.5865941172486
213625,milknplant based bevs,0,0.05432921110563382,122,-0.0018785945380176254,0.001149308718088049,0.17135925551921444,0.9710526315789474,0.7654444668489123,0.21627988213248783,0.7872340425531915,-0.526383031194081,0.23485986601378653,35.44335475030172,-0.5330381276749452,375.5288400772029
