product_id,store_id,seed,metric,threshold,window_size,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
26008,6269,42,spearman,0.75,15,True,False,45.027176002634995,23.41504374613949,-3.348927468061447,0.36576685664757114,0.631578947368421,253,31.2
26008,6269,42,spearman,0.82,15,True,False,52.49843490151719,30.41134494036631,-23.25954449410532,0.13783135185858975,0.6710526315789473,28,11.25
26008,6269,42,spearman,0.85,15,True,False,46.35252958148076,25.156143914932517,-13.010813553251472,0.32788065877404315,0.6447368421052632,88,14.21
26008,6269,42,spearman,0.88,15,True,False,44.68669874156327,23.66246515765689,-2.003886827651192,0.37532222075479105,0.6447368421052632,167,18.44
26008,6269,42,spearman,0.91,15,True,False,45.7897310057042,25.57193305562524,-11.864508102921878,0.3441029190904278,0.6381578947368421,83,15.78
907969,6269,42,spearman,0.75,15,True,False,58.79260229835671,40.45702722434904,-29.7101169526577,-0.12397383102424153,0.6973684210526315,6,14.04
907969,6269,42,spearman,0.82,15,True,False,56.260840655367375,38.4606162188879,-27.17598147719514,-0.029255667691004295,0.75,17,11.21
907969,6269,42,spearman,0.85,15,True,False,57.03921293587131,38.88807195230247,-27.302524539769866,-0.05793231067548832,0.7105263157894737,21,11.11
907969,6269,42,spearman,0.88,15,True,False,46.97046371640201,32.941513147911216,-20.15913120194588,0.28260139405064655,0.7236842105263158,502,41.15
907969,6269,42,spearman,0.91,15,True,False,56.01742857704665,38.12115352196631,-25.828839371991315,-0.020368800974975843,0.7302631578947368,12,9.97
907967,6269,42,spearman,0.75,15,True,False,20.63748098991246,14.60041951354033,0.4424007375255909,0.1310231887896658,0.5855263157894737,3,11.0
907967,6269,42,spearman,0.82,15,True,False,20.483790757877124,14.367060996348561,0.35696927706400555,0.14391778119421772,0.6052631578947368,11,10.27
907967,6269,42,spearman,0.85,15,True,False,20.312408487755704,14.478582318312203,2.8970034309462007,0.1581830648025092,0.6118421052631579,6,9.81
907967,6269,42,spearman,0.88,15,True,False,20.943219810075462,15.056037009931078,0.4203210453581966,0.10508514584902662,0.6578947368421053,4,9.62
907967,6269,42,spearman,0.91,15,True,False,20.537336625311468,14.684569829429677,0.24172581255046371,0.13943622996461935,0.6118421052631579,12,10.11
213626,6269,42,spearman,0.75,15,True,False,21.86846115391013,14.24715075188992,-3.224883117317374,0.14168031420313965,0.618421052631579,24,13.11
213626,6269,42,spearman,0.82,15,True,False,20.911766813670333,13.69618343703108,-0.9046966809462877,0.2151365932802065,0.6052631578947368,61,14.17
213626,6269,42,spearman,0.85,15,True,False,21.344497768528946,14.076347776487761,-0.2869840969447217,0.18231786922083304,0.6052631578947368,54,12.95
213626,6269,42,spearman,0.88,15,True,False,22.569447038604018,14.489013592596926,-1.639599893022986,0.08577211466387435,0.6447368421052632,256,25.44
213626,6269,42,spearman,0.91,15,True,False,22.678991170313736,14.24432099683612,0.7523831066742442,0.07687589829081942,0.631578947368421,304,27.8
911753,6269,42,spearman,0.75,15,True,False,27.792787704247548,19.98492107681589,-5.179990702886987,0.43881100591254674,0.7105263157894737,81,18.99
911753,6269,42,spearman,0.82,15,True,False,30.94000546507471,21.76358389883649,-4.407445100495239,0.30451831577655875,0.6842105263157895,146,20.33
911753,6269,42,spearman,0.85,15,True,False,30.84914142940716,20.67840348067237,-5.630587012647024,0.30859727295368933,0.743421052631579,76,14.84
911753,6269,42,spearman,0.88,15,True,False,31.013787203335674,20.024434860722693,-7.137212999798114,0.30119737060255036,0.6973684210526315,53,12.88
911753,6269,42,spearman,0.91,15,True,False,29.17459827820943,20.36436158321262,-8.48503067933656,0.3816210543794861,0.6973684210526315,163,19.29
