item_id,store_id,best_m,rmse,mae,r2,bias,pocid,composite_score,order,seasonal_order,elapsed_s
278,6269,1,15.840403893754539,10.416594590912547,-0.2824934841118891,-8.26287889025077,0.474025974025974,12.590070317168099,"(2, 0, 1)","(0, 0, 0, 0)",192.31
457,6269,7,5.716945956433628,4.22150016511151,-0.06607887098975884,-0.3330038974561711,0.5,3.9970989938587347,"(2, 0, 0)","(1, 0, 1, 7)",562.39
1325,6269,7,7.9759170682770035,6.268330705508072,0.011476324139590766,1.064306183783256,0.5974025974025974,5.821117756461334,"(1, 0, 0)","(2, 0, 0, 7)",236.67
6032,6269,7,18.424017333651168,10.274965386105206,0.024674373677527894,-4.420737236735045,0.2792207792207792,12.885934322535647,"(1, 0, 0)","(0, 0, 1, 7)",85.53
13544,6269,7,36.60862741807116,29.847471508177332,-0.17246212267179772,14.833820118256599,0.6103896103896104,29.474636615644062,"(2, 0, 0)","(2, 0, 3, 7)",329.47
16920,6269,7,10.127835612433435,8.082902803380339,-0.12434841684143083,2.978969858952073,0.5584415584415584,7.82938597179982,"(2, 0, 1)","(1, 0, 1, 7)",446.62
18568,6269,7,22.486364018865466,17.482175263445303,-0.11045667399212067,-7.297215057075548,0.42207792207792205,17.438029589562944,"(1, 0, 0)","(2, 0, 1, 7)",177.81
25032,6269,14,12.615608986971313,10.048721896695206,-0.047156000051605806,4.440539597722166,0.5844155844155844,9.93011986709,"(2, 0, 0)","(3, 0, 0, 14)",382.62
26002,6269,1,54.90904727160741,27.295896068207952,-0.17222681424027186,-19.04669359928682,0.4935064935064935,39.040171052677394,"(1, 0, 0)","(0, 0, 0, 0)",69.32
26008,6269,1,66.03203132737269,40.55640373671525,-0.37508048105938063,-35.873512557149546,0.45454545454545453,52.12349473715255,"(1, 0, 2)","(0, 0, 0, 0)",231.6
26076,6269,7,11.490138519649049,8.858488081474775,-0.11742792020159887,3.717744829765983,0.44805194805194803,8.889127487634713,"(3, 0, 0)","(1, 0, 1, 7)",433.45
26220,6269,7,60.859330600098005,32.747302721008815,-0.27067509464229245,-21.060910657037166,0.3181818181818182,43.8817186445605,"(1, 0, 0)","(0, 0, 1, 7)",104.43
26372,6269,7,31.433257372263824,23.53571751172488,-0.2696651519084987,12.57584680449271,0.33766233766233766,24.74451976518631,"(1, 0, 1)","(2, 0, 0, 7)",356.6
26768,6269,7,31.893319260826754,23.747225051566712,-0.32431195908887567,4.384423554506172,0.4025974025974026,22.979571781931597,"(1, 0, 0)","(0, 0, 0, 7)",73.06
26924,6269,1,27.56500006020235,18.12510025951129,-0.4033905437900218,-15.391835324260123,0.4675324675324675,22.16173392604403,"(2, 0, 1)","(0, 0, 0, 0)",74.1
30534,6269,7,13.235893828759918,10.887294105441825,-0.05944198367813236,3.0763742232037914,0.512987012987013,10.108863996541364,"(2, 0, 1)","(2, 0, 0, 7)",360.39
48369,6269,14,11.844335279052897,9.590987231884382,-0.16950060092169839,4.199192738086979,0.538961038961039,9.369712632019288,"(2, 0, 0)","(3, 0, 2, 14)",491.74
