product_id,store_id,seed,seconds
278,6269,42,262.671
278,6269,26008,283.329
457,6269,42,145.031
457,6269,26008,146.104
1325,6269,42,168.555
1325,6269,26008,207.560
6032,6269,42,290.801
6032,6269,26008,209.214
13544,6269,42,180.987
13544,6269,26008,182.111
16920,6269,42,303.050
16920,6269,26008,176.806
18568,6269,42,237.601
18568,6269,26008,239.344
25032,6269,42,140.768
25032,6269,26008,142.797
26002,6269,42,216.637
26002,6269,26008,259.514
26008,6269,42,277.756
26008,6269,26008,299.117
26076,6269,42,160.469
26076,6269,26008,190.635
26220,6269,42,259.693
26220,6269,26008,262.435
26372,6269,42,212.118
26372,6269,26008,284.544
26768,6269,42,239.544
26768,6269,26008,272.204
26924,6269,42,216.140
26924,6269,26008,198.958
30534,6269,42,222.980
30534,6269,26008,236.346
48369,6269,42,180.850
48369,6269,26008,228.940
48375,6269,42,257.380
48375,6269,26008,264.340
110187,6269,42,334.660
110187,6269,26008,182.257
151815,6269,42,173.224
151815,6269,26008,172.278
151821,6269,42,178.264
151821,6269,26008,179.214
151828,6269,42,178.478
151828,6269,26008,178.499
213624,6269,42,183.346
213624,6269,26008,186.494
213625,6269,42,382.422
213625,6269,26008,353.204
213626,6269,42,187.842
213626,6269,26008,197.872
213627,6269,42,185.545
213627,6269,26008,187.075
213628,6269,42,280.662
213628,6269,26008,236.533
213629,6269,42,296.113
213629,6269,26008,255.670
213630,6269,42,191.829
213630,6269,26008,205.940
213631,6269,42,435.635
213631,6269,26008,495.251
213633,6269,42,255.252
213633,6269,26008,245.865
213636,6269,42,295.603
213636,6269,26008,163.025
213642,6269,42,312.479
213642,6269,26008,312.316
500056,6269,42,279.368
500056,6269,26008,331.764
500057,6269,42,256.229
500057,6269,26008,249.616
538923,6269,42,179.068
538923,6269,26008,183.856
545597,6269,42,301.240
545597,6269,26008,256.556
545598,6269,42,170.884
545598,6269,26008,174.980
545602,6269,42,165.446
545602,6269,26008,164.066
582893,6269,42,212.848
582893,6269,26008,213.772
587317,6269,42,302.263
587317,6269,26008,174.000
606214,6269,42,324.531
606214,6269,26008,251.723
606230,6269,42,169.717
606230,6269,26008,181.261
680152,6269,42,406.192
680152,6269,26008,427.584
904144,6269,42,222.798
904144,6269,26008,221.713
907967,6269,42,271.737
907967,6269,26008,241.503
907969,6269,42,297.602
907969,6269,26008,215.902
907970,6269,42,203.169
907970,6269,26008,185.177
908786,6269,42,391.421
908786,6269,26008,302.888
911753,6269,42,429.706
911753,6269,26008,403.012
912509,6269,42,190.048
912509,6269,26008,186.392
915640,6269,42,321.229
915640,6269,26008,172.372
916110,6269,42,324.467
916110,6269,26008,282.335
918537,6269,42,382.468
918537,6269,26008,449.536
919137,6269,42,215.352
919137,6269,26008,205.955
921558,6269,42,329.928
921558,6269,26008,312.838
932812,6269,42,438.061
932812,6269,26008,424.984
933442,6269,42,192.368
933442,6269,26008,189.464
933457,6269,42,340.258
933457,6269,26008,343.290
936693,6269,42,172.556
936693,6269,26008,171.513
900087600,6269,42,169.706
900087600,6269,26008,171.910
TOTAL_SEED,,42,15505.044
TOTAL_SEED,,26008,14725.754
TOTAL_ALL,,,30231.273
