item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,composite_score,pocid,train_time,inference_time,best_epoch
26220,6269,42,no_emb,30,1,,,,,baseline,42.286666389822535,28.96246563772263,-1.2742732904754044,28.702517926960777,0.5526315789473685,23.3339,0.0798,76
26220,6269,42,spearman,30,1,0.7,,True,False,True,45.15691646105383,30.875212093218675,0.147494659582579,30.33413491872723,0.5263157894736842,29.0724,0.5305,562
26220,6269,42,spearman,30,1,0.7,,True,False,False,44.94580053043422,30.05266681342733,10.746539491600071,32.67270184147396,0.5592105263157895,11.6048,0.8722,139
26220,6269,1000,no_emb,30,1,,,,,baseline,45.17108793795866,30.661744522503,0.0404940791963751,30.261103619404174,0.5263157894736842,19.6917,0.0763,327
26220,6269,1000,spearman,30,1,0.7,,True,False,True,43.825945617713046,28.693909642998783,-2.435570896122288,29.695342943636792,0.5526315789473685,14.6314,0.5441,210
26220,6269,1000,spearman,30,1,0.7,,True,False,False,42.81107784428568,27.90887347266711,-3.051557728265917,29.145646722376096,0.5328947368421053,8.5665,0.6359,73
26220,6269,26008,no_emb,30,1,,,,,baseline,43.73826536904247,29.86995024904852,3.749569438166576,30.274012606325012,0.5657894736842105,18.4332,0.1364,149
26220,6269,26008,spearman,30,1,0.7,,True,False,True,44.11100743307035,29.07688749603489,-2.503568627938531,29.95061774752853,0.5526315789473685,27.9984,1.5211,218
26220,6269,26008,spearman,30,1,0.7,,True,False,False,42.69426608179563,28.619840427721837,2.5403848258547144,29.137189354291955,0.5592105263157895,13.0137,1.0503,77
26220,6269,555555,no_emb,30,1,,,,,baseline,41.88007025994969,29.34539634035596,2.160342434189873,28.816469823611303,0.5855263157894737,34.8714,0.0897,428
26220,6269,555555,spearman,30,1,0.7,,True,False,True,45.73161155946757,30.836373114581008,0.4642516842318905,30.69096197943701,0.5526315789473685,23.1207,0.8061,380
26220,6269,555555,spearman,30,1,0.7,,True,False,False,44.67767105334418,29.294874463571247,-4.238906840312909,30.722280852643127,0.6052631578947368,20.1271,0.7161,255
26220,6269,213626,no_emb,30,1,,,,,baseline,41.97949940275375,28.77637447066167,5.426016239656343,29.54034737895638,0.5921052631578947,8.9564,0.0866,41
26220,6269,213626,spearman,30,1,0.7,,True,False,True,40.16744293405726,28.419378416527525,8.600111654454391,29.33859398477411,0.6052631578947368,9.5582,2.1074,44
26220,6269,213626,spearman,30,1,0.7,,True,False,False,43.40215924595411,29.21501101862664,9.007234050387066,31.256640890230482,0.5986842105263158,15.9188,1.2969,224
26220,6269,907969,no_emb,30,1,,,,,baseline,45.13755447802008,30.514084985053618,2.705372983577594,30.87364173116784,0.5855263157894737,11.7427,0.0813,121
26220,6269,907969,spearman,30,1,0.7,,True,False,True,41.46695689296329,27.87442255287973,1.8748995737215275,28.170808978131955,0.5855263157894737,12.4522,1.3074,120
26220,6269,907969,spearman,30,1,0.7,,True,False,False,46.921762137915,31.640633389694628,10.396582555780611,33.97018505532631,0.618421052631579,22.98,1.0523,318
26220,6269,5219788,no_emb,30,1,,,,,baseline,42.52388566474728,27.84766266060372,-1.9343265941597865,28.707440146064517,0.5526315789473685,15.2296,0.1229,131
26220,6269,5219788,spearman,30,1,0.7,,True,False,True,41.00699862110525,28.543104814888995,2.891596561504735,28.362174654651056,0.5789473684210527,24.9612,1.0228,373
26220,6269,5219788,spearman,30,1,0.7,,True,False,False,50.36898061773072,32.43373766524437,9.142472544453698,35.57854286128988,0.5855263157894737,11.8203,1.9757,104
26220,6269,13451285,no_emb,30,1,,,,,baseline,45.28215862144168,31.10631166544615,0.2073038659648957,30.469483193573602,0.5,30.0862,0.0845,457
26220,6269,13451285,spearman,30,1,0.7,,True,False,True,43.446040549271125,28.22945596469457,-2.976809764676575,29.524586706978347,0.5592105263157895,17.7841,0.723,228
