product_id,store_id,seed,metric,model_variant,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
457,6269,42,cid,lstm_baseline,,,,,,,,,8.739478125914653,7.1100334299156085,5.636944309169171,7.556483497728521,0.4934210526315789
457,6269,42,cid,mlp_baseline,,,,,,,,,6.294401161861893,5.2105135450176165,2.8903268926283894,5.172410690342448,0.5197368421052632
457,6269,42,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,10.155120735798743,8.045240415101931,5.955635528524522,8.577779353805985,0.5328947368421053
457,6269,42,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,6.002700605218029,4.9315178441066365,2.1018518809399573,4.759692733870663,0.3881578947368421
457,6269,42,cid,gcn_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,5.876850411149488,4.500297988941467,0.8283049327875275,4.270575936006993,0.4868421052631579
457,6269,42,cid,gcn_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,5.856013199214889,4.342238039752237,-1.9669346466563107,4.5052997712095815,0.5460526315789473
457,6269,42,cid,gat_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,6.448470504275091,5.113154822704839,1.9797394758735607,4.997458826782146,0.5394736842105263
457,6269,42,cid,gat_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,8.11614008925924,6.931259498097538,5.9321262571546765,7.273916483442674,0.5723684210526315
457,6269,1000,cid,lstm_baseline,,,,,,,,,6.2327036628696915,4.9664906676298655,0.9720664211347991,4.600991103626011,0.46710526315789475
457,6269,1000,cid,mlp_baseline,,,,,,,,,5.985183293580974,4.775838459239287,0.32727257099026946,4.268369404347877,0.40131578947368424
457,6269,1000,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,7.432600399240725,5.868751955382964,3.8941920230201648,6.157036194221145,0.5263157894736842
