product_id,store_id,seed,seconds
16920,6269,42,469.731
16920,6269,1000,498.410
16920,6269,26008,546.707
16920,6269,555555,536.407
16920,6269,213626,528.809
16920,6269,907969,440.444
16920,6269,5219788,589.453
16920,6269,13451285,514.035
16920,6269,23616558,537.661
16920,6269,618626816,629.517
26220,6269,42,1074.480
26220,6269,1000,1221.071
26220,6269,26008,881.857
26220,6269,555555,943.643
26220,6269,213626,946.498
26220,6269,907969,1344.323
26220,6269,5219788,876.377
26220,6269,13451285,1209.272
26220,6269,23616558,917.816
26220,6269,618626816,896.823
48375,6269,42,1669.895
48375,6269,1000,1410.493
48375,6269,26008,1500.274
48375,6269,555555,1551.940
48375,6269,213626,1643.164
48375,6269,907969,1646.502
48375,6269,5219788,1102.562
48375,6269,13451285,1339.671
48375,6269,23616558,1643.073
48375,6269,618626816,1305.277
213625,6269,42,2270.553
213625,6269,1000,2383.351
213625,6269,26008,2320.152
213625,6269,555555,2415.603
213625,6269,213626,2187.094
213625,6269,907969,2060.681
213625,6269,5219788,2108.221
213625,6269,13451285,2542.945
213625,6269,23616558,2109.514
213625,6269,618626816,2048.467
213631,6269,42,1255.534
213631,6269,1000,1511.522
213631,6269,26008,1402.016
213631,6269,555555,1426.857
213631,6269,213626,1389.917
213631,6269,907969,1393.176
213631,6269,5219788,1265.254
213631,6269,13451285,1298.308
213631,6269,23616558,1521.376
213631,6269,618626816,1237.966
538923,6269,42,1225.857
538923,6269,1000,1179.347
538923,6269,26008,1331.614
538923,6269,555555,1261.440
538923,6269,213626,1254.354
538923,6269,907969,1144.973
538923,6269,5219788,1116.471
538923,6269,13451285,1257.490
538923,6269,23616558,1084.196
538923,6269,618626816,1176.503
606214,6269,42,774.175
606214,6269,1000,902.599
606214,6269,26008,975.266
606214,6269,555555,803.951
606214,6269,213626,813.623
606214,6269,907969,912.672
606214,6269,5219788,918.434
606214,6269,13451285,968.466
606214,6269,23616558,807.340
606214,6269,618626816,803.467
907970,6269,42,1530.747
907970,6269,1000,1352.545
907970,6269,26008,1719.898
907970,6269,555555,1583.324
907970,6269,213626,1436.074
907970,6269,907969,1927.175
907970,6269,5219788,1504.091
907970,6269,13451285,1890.732
907970,6269,23616558,1302.640
907970,6269,618626816,1498.845
918537,6269,42,748.625
918537,6269,1000,710.612
918537,6269,26008,766.143
918537,6269,555555,749.181
918537,6269,213626,653.426
918537,6269,907969,791.983
918537,6269,5219788,776.987
918537,6269,13451285,771.986
918537,6269,23616558,830.881
918537,6269,618626816,854.640
936693,6269,42,518.448
936693,6269,1000,605.081
936693,6269,26008,873.497
936693,6269,555555,472.491
936693,6269,213626,518.680
936693,6269,907969,710.806
936693,6269,5219788,486.432
936693,6269,13451285,665.987
936693,6269,23616558,788.214
936693,6269,618626816,740.210
TOTAL_ALL,,,117062.324
