product_id,store_id,seed,seconds
278,6269,42,611.488
278,6269,1000,781.594
278,6269,26008,587.963
278,6269,555555,536.502
278,6269,213626,720.646
278,6269,907969,590.315
278,6269,5219788,593.187
278,6269,13451285,666.613
278,6269,23616558,719.565
278,6269,618626816,597.275
18568,6269,42,374.700
18568,6269,1000,408.821
18568,6269,26008,321.664
18568,6269,555555,378.394
18568,6269,213626,294.084
18568,6269,907969,321.971
18568,6269,5219788,303.037
18568,6269,13451285,424.004
18568,6269,23616558,271.590
18568,6269,618626816,336.882
26372,6269,42,370.090
26372,6269,1000,326.188
26372,6269,26008,291.718
26372,6269,555555,256.958
26372,6269,213626,300.667
26372,6269,907969,238.833
26372,6269,5219788,255.878
26372,6269,13451285,265.541
26372,6269,23616558,221.820
26372,6269,618626816,274.604
110187,6269,42,583.527
110187,6269,1000,552.492
110187,6269,26008,461.351
110187,6269,555555,597.402
110187,6269,213626,594.182
110187,6269,907969,646.628
110187,6269,5219788,423.650
110187,6269,13451285,630.506
110187,6269,23616558,550.012
110187,6269,618626816,558.274
213626,6269,42,488.825
213626,6269,1000,486.985
213626,6269,26008,483.805
213626,6269,555555,483.329
213626,6269,213626,485.944
213626,6269,907969,487.909
213626,6269,5219788,497.405
213626,6269,13451285,498.714
213626,6269,23616558,505.926
213626,6269,618626816,510.582
213633,6269,42,455.014
213633,6269,1000,446.184
213633,6269,26008,387.880
213633,6269,555555,469.228
213633,6269,213626,300.734
213633,6269,907969,345.359
213633,6269,5219788,363.489
213633,6269,13451285,399.252
213633,6269,23616558,458.276
213633,6269,618626816,493.129
545597,6269,42,264.520
545597,6269,1000,295.417
545597,6269,26008,255.947
545597,6269,555555,242.291
545597,6269,213626,233.411
545597,6269,907969,261.365
545597,6269,5219788,290.625
545597,6269,13451285,228.606
545597,6269,23616558,258.403
545597,6269,618626816,234.867
606230,6269,42,354.430
606230,6269,1000,321.631
606230,6269,26008,399.877
606230,6269,555555,303.251
606230,6269,213626,355.253
606230,6269,907969,370.399
606230,6269,5219788,297.433
606230,6269,13451285,227.950
606230,6269,23616558,358.117
606230,6269,618626816,268.192
908786,6269,42,484.349
908786,6269,1000,512.370
908786,6269,26008,469.694
908786,6269,555555,532.745
908786,6269,213626,507.186
908786,6269,907969,519.717
908786,6269,5219788,570.870
908786,6269,13451285,501.554
908786,6269,23616558,589.672
908786,6269,618626816,503.299
919137,6269,42,350.691
919137,6269,1000,319.117
919137,6269,26008,285.320
919137,6269,555555,378.438
919137,6269,213626,307.322
919137,6269,907969,291.995
919137,6269,5219788,245.197
919137,6269,13451285,278.894
919137,6269,23616558,234.826
919137,6269,618626816,254.874
TOTAL_ALL,,,41249.376
