product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
278,6269,42,spearman,30,1,0.7,,True,False,True,catch24,9.89930519369157,7.0111031454373025,-2.5894634100346785,7.34979423571378,0.6052631578947368
278,6269,42,spearman,30,1,0.7,,True,False,False,catch24,12.48283725950456,8.99365487441518,-0.3513336306303934,8.577665756013673,0.5855263157894737
278,6269,42,spearman,30,1,0.7,,True,False,False,stats,10.656047204210997,7.229770803763197,-2.7068150027904636,7.812170053743914,0.5855263157894737
278,6269,42,spearman,30,1,0.7,,True,False,False,raw,11.256897267479356,8.264788521660698,1.5791623109306385,8.089436341887513,0.6052631578947368
278,6269,1000,spearman,30,1,0.7,,True,False,True,catch24,13.954711373156211,10.085668990814607,-8.298391183217367,11.573370730086099,0.6447368421052632
278,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,14.369198449435704,9.292200247446695,-5.985838992922914,11.004109034810254,0.6052631578947368
278,6269,1000,spearman,30,1,0.7,,True,False,False,stats,10.148522675394705,7.754672791443619,-0.6301416376836939,7.17046494497918,0.5855263157894737
278,6269,1000,spearman,30,1,0.7,,True,False,False,raw,10.531905789889462,7.499532998776903,-3.001508263980641,7.891213210634117,0.5657894736842105
278,6269,26008,spearman,30,1,0.7,,True,False,True,catch24,13.438980200264272,8.835258172228446,-6.354794309030171,10.517003220446789,0.5986842105263158
278,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,12.36197510433068,8.590925699745128,-2.332215150197347,8.91177276465096,0.618421052631579
278,6269,26008,spearman,30,1,0.7,,True,False,False,stats,9.900736112831323,7.460251178616792,1.2142243478812424,7.11898693804017,0.5921052631578947
278,6269,26008,spearman,30,1,0.7,,True,False,False,raw,19.152538791736607,14.548987172787486,6.054848001673331,14.727228189483506,0.5263157894736842
278,6269,555555,spearman,30,1,0.7,,True,False,True,catch24,11.603071659243236,8.117528902938943,-5.363998749676873,9.171917742775571,0.6381578947368421
278,6269,555555,spearman,30,1,0.7,,True,False,False,catch24,13.805191348572864,8.952770776997983,-5.712290509853488,10.5688609959993,0.5986842105263158
278,6269,555555,spearman,30,1,0.7,,True,False,False,stats,10.566051224853169,7.191498357486101,-2.356100749346166,7.669925389134651,0.5986842105263158
278,6269,555555,spearman,30,1,0.7,,True,False,False,raw,12.930016534795087,9.442356094036226,0.4725308231278962,8.943729996688575,0.506578947368421
278,6269,213626,spearman,30,1,0.7,,True,False,True,catch24,9.664092356904069,7.015721240074806,-1.733048345528397,7.019238574852835,0.618421052631579
278,6269,213626,spearman,30,1,0.7,,True,False,False,catch24,12.101400924892065,8.463274377623415,-1.9149474863912546,8.6452559284497,0.618421052631579
278,6269,213626,spearman,30,1,0.7,,True,False,False,stats,9.275597892633867,6.979588974535075,-0.2710643204209072,6.4504622700559295,0.6118421052631579
278,6269,213626,spearman,30,1,0.7,,True,False,False,raw,12.598533150416142,9.100012991163466,0.03086563185149548,8.581986230961812,0.5328947368421053
278,6269,907969,spearman,30,1,0.7,,True,False,True,catch24,9.18109711938212,7.014303674884871,-1.3942840613570868,6.6926954937515495,0.5921052631578947
278,6269,907969,spearman,30,1,0.7,,True,False,False,catch24,16.55050806464891,11.443558724097956,-9.818275850582745,13.590712675994629,0.5460526315789473
278,6269,907969,spearman,30,1,0.7,,True,False,False,stats,9.882934665931723,7.3561580352533875,0.5467764567705541,6.917200955971847,0.5855263157894737
278,6269,907969,spearman,30,1,0.7,,True,False,False,raw,13.578867225256568,9.448331201777739,-1.3936443500269473,9.499927500579455,0.5131578947368421
278,6269,5219788,spearman,30,1,0.7,,True,False,True,catch24,10.14559933059778,7.2032390949772855,-3.2672861167807983,7.69043096823841,0.6447368421052632
278,6269,5219788,spearman,30,1,0.7,,True,False,False,catch24,12.610737567093144,8.89041610169255,-0.934100755679062,8.761497997889474,0.5855263157894737
278,6269,5219788,spearman,30,1,0.7,,True,False,False,stats,9.253719805696253,7.094725184970432,0.9167112151002572,6.629719002865799,0.618421052631579
278,6269,5219788,spearman,30,1,0.7,,True,False,False,raw,13.847752781338047,9.545533270617716,-3.869741629930883,10.277695115806173,0.5855263157894737
278,6269,13451285,spearman,30,1,0.7,,True,False,True,catch24,9.182780513744346,6.966864492378983,-0.11259067759794347,6.361254049366405,0.5986842105263158
