product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
1325,6269,42,spearman,30,1,0.6,,True,False,True,catch24,7.189354924825293,5.622012674418929,0.027549513025221482,5.007068009273684,0.618421052631579
1325,6269,42,spearman,30,1,0.6,,True,False,False,catch24,7.935948567943551,6.053768341837365,-1.328267150455051,5.813483157044879,0.6052631578947368
1325,6269,42,spearman,30,1,0.65,,True,False,False,catch24,9.08329102202685,6.849632425245896,-2.3066806045233035,6.830723768455726,0.5921052631578947
1325,6269,42,spearman,30,1,0.7,,True,False,False,catch24,8.68758711033644,6.702708352235407,-2.8939865106850666,6.742967270898339,0.5855263157894737
1325,6269,1000,spearman,30,1,0.6,,True,False,True,catch24,9.776569946108093,7.693516083012998,-5.176954699497597,8.105902668681695,0.5
1325,6269,1000,spearman,30,1,0.6,,True,False,False,catch24,7.398586348622968,5.779910935295953,0.7527898215000925,5.332468363510495,0.631578947368421
1325,6269,1000,spearman,30,1,0.65,,True,False,False,catch24,8.497947374678631,6.646368818345413,-1.191216107287438,6.208369918747528,0.5723684210526315
1325,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,8.401649733371311,6.495361098277024,-3.0370474866792265,6.583927012924718,0.6447368421052632
1325,6269,26008,spearman,30,1,0.6,,True,False,True,catch24,8.883271950122896,6.990678369609359,-3.9419536403581206,7.1747939775533185,0.5723684210526315
1325,6269,26008,spearman,30,1,0.6,,True,False,False,catch24,7.913626476000514,6.043833851035124,-0.42770135168935736,5.574697038681378,0.631578947368421
1325,6269,26008,spearman,30,1,0.65,,True,False,False,catch24,7.997679525673858,6.1470848656947314,-0.5313336740132251,5.668444397763919,0.5526315789473685
1325,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,9.787766263009058,7.768255794749541,-5.412687363967397,8.189118921183763,0.5460526315789473
1325,6269,555555,spearman,30,1,0.6,,True,False,True,catch24,7.290879702692472,5.696850826537687,0.3143804026584999,5.148247658645283,0.6052631578947368
1325,6269,555555,spearman,30,1,0.6,,True,False,False,catch24,7.351836802062981,5.701433830011904,-0.37463518529156453,5.194935654857358,0.625
1325,6269,555555,spearman,30,1,0.65,,True,False,False,catch24,11.437378705374906,8.75070206947576,-4.420362787309036,9.011455566883653,0.5394736842105263
1325,6269,555555,spearman,30,1,0.7,,True,False,False,catch24,10.992401985433565,8.679267080001582,-6.622155763744529,9.321556703653311,0.625
1325,6269,213626,spearman,30,1,0.6,,True,False,True,catch24,7.568547920455058,5.8065390805013815,-0.4434300466300615,5.34676624201039,0.618421052631579
1325,6269,213626,spearman,30,1,0.6,,True,False,False,catch24,8.608123792651837,6.47608552337472,-1.6642654682296554,6.339149644227012,0.631578947368421
1325,6269,213626,spearman,30,1,0.65,,True,False,False,catch24,7.427848632183227,5.795902161816366,-1.3017708366992427,5.488342565720515,0.5986842105263158
