product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid
26008,6269,42,spearman,15,1,0.75,,True,False,46.70622777303742,27.42623665664149,3.6053110403253843,0.3220443163024237,0.6158940397350994
26008,6269,42,spearman,15,1,0.82,,True,False,47.05155488755166,26.074888497492985,-3.6124037728693925,0.31198219084725654,0.6225165562913907
26008,6269,42,spearman,15,1,0.85,,True,False,45.622722095149754,24.80888333093179,-7.610698178018394,0.35313432243279985,0.6556291390728477
26008,6269,42,spearman,15,1,0.88,,True,False,46.726609317132926,26.870840839061298,-1.2290062253412448,0.32145249807151133,0.6225165562913907
26008,6269,42,spearman,15,1,0.91,,True,False,49.692893619452114,26.8509620851592,-4.236534440203717,0.23256731281590703,0.6225165562913907
213626,6269,42,spearman,15,1,0.75,,True,False,22.293724742349777,14.793886612120428,2.9448454583946027,0.11165435599757134,0.6158940397350994
213626,6269,42,spearman,15,1,0.82,,True,False,22.559785925507267,14.617254676787477,-2.918091892411834,0.09032416881350058,0.6158940397350994
213626,6269,42,spearman,15,1,0.85,,True,False,22.854811146193086,15.423418031319192,5.577733847263612,0.06637605479895425,0.6026490066225165
213626,6269,42,spearman,15,1,0.88,,True,False,22.189889556118374,14.64321754872799,1.8240094153504622,0.11991019700176542,0.5960264900662252
213626,6269,42,spearman,15,1,0.91,,True,False,22.59555123908751,15.265483547982416,3.8495504879637767,0.0874375606573039,0.5960264900662252
911753,6269,42,spearman,15,1,0.75,,True,False,31.725523246547866,21.172980505875067,3.0448926894092248,0.27072645206141166,0.7350993377483444
911753,6269,42,spearman,15,1,0.82,,True,False,30.10654586523357,19.54118940322415,-1.4220510220253153,0.3432580816491483,0.7350993377483444
911753,6269,42,spearman,15,1,0.85,,True,False,28.594249101734125,20.35325834831517,-4.5230651551759555,0.4075792433393881,0.7483443708609272
911753,6269,42,spearman,15,1,0.88,,True,False,30.218463724787014,20.14808525792078,0.18425504098597326,0.33836627064988645,0.7682119205298014
911753,6269,42,spearman,15,1,0.91,,True,False,31.434142082902962,21.461156041802543,-0.03566911208786463,0.2840608732056694,0.7748344370860927
