product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,num_edges_mean,epoch,train_loss,val_loss,z_norm_mean,z_var_mean,grad_norm_gcn,grad_norm_mlp,grad_ratio_gcn_mlp
26008,6269,42,spearman,15,1,0.5,,True,False,False,8907.0,1,0.02579963579773903,0.0049253604374825954,3.956817150115967,0.01145988516509533,0.08050495591487851,0.7167794781234486,0.11231481699996591
26008,6269,42,spearman,15,1,0.5,,True,False,False,8907.0,2,0.013672853504041476,0.020927952602505684,3.9621658325195312,0.0117335831746459,0.01837557334670557,0.4093625630356739,0.04488826044666752
26008,6269,42,spearman,15,1,0.5,,True,False,False,8907.0,3,0.016587384028493295,0.005706199910491705,3.9429755210876465,0.013079172000288963,0.027799937437927937,0.4503260985241843,0.061732903176104144
26008,6269,42,spearman,15,1,0.5,,True,False,False,8907.0,4,0.012423504360153206,0.002897907281294465,3.924838066101074,0.014585820026695728,0.017762381945073766,0.3106955189175379,0.05716973970818979
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,1,0.09935632306483708,0.001967908348888159,3.94573712348938,0.011249832808971405,0.16357152694661697,2.27285675629904,0.07196737167585228
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,2,0.02471983022821535,0.02661963365972042,3.94154691696167,0.01589043065905571,0.05780864542667004,1.3563701685785665,0.042620109735389614
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,3,0.014477097894996405,0.021586311981081963,3.914382219314575,0.014534237794578075,0.0344682358758938,0.732118806736706,0.047080112624729546
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,4,0.014864237704646907,0.05610664188861847,3.8864262104034424,0.01602117531001568,0.021852324513267025,0.4170694525409128,0.052394929381865976
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,5,0.026499238946208998,0.0020037845242768526,3.8654589653015137,0.017160311341285706,0.04947751738272145,0.7430174381838076,0.0665899813920856
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,6,0.011316168404716467,0.008388911373913288,3.8441529273986816,0.016628166660666466,0.01470389431053429,0.2993700310486654,0.04911611980323748
