seed,fp,product_id,n_test,rmse,mae,bias,r2,pocid,score
42,a6ce02c89c,27,153,4.746501758046788,3.989726955010221,2.4965564224844665,-0.07510822818413332,0.5592105263157895,3.994821723397066
42,a6ce02c89c,55,153,2.1873897132777014,1.8478057633817586,0.9188306082307903,-0.13394646359611273,0.3815789473684211,1.785353949541988
42,a6ce02c89c,71,153,11.35481464372421,7.549086960896947,-4.871428131570224,0.22294237183128163,0.5,8.782536094978898
42,a6ce02c89c,116,153,13.616149676961244,10.85973918476915,-3.5313840516252455,-0.040016919420790886,0.47368421052631576,10.405855647579221
42,a6ce02c89c,128,153,4.480763379199201,3.5725882770189274,2.3818634429009133,-0.34434423501122224,0.4407894736842105,3.7289946195795607
42,a6ce02c89c,156,153,2.591184562074689,1.992958222193266,-0.03193670915427551,-0.07575037376762639,0.3223684210526316,1.80181601387423
42,a6ce02c89c,176,153,2.964542688769989,2.1931383598084544,-0.8356698778719683,-0.13105749067033368,0.4605263157894737,2.2394734038051
42,a6ce02c89c,195,153,1.724566432893653,1.4227984330428192,0.1938037984316645,-0.019884488027070768,0.40789473684210525,1.2664337743154475
42,a6ce02c89c,215,153,3.9882611084467876,3.136933535727021,-0.9119571706438376,-0.2920704424252678,0.47368421052631576,3.0063532308161083
42,a6ce02c89c,219,153,3.6159965059582704,2.673769543957866,-0.6518362552122353,-0.11387880921567928,0.4605263157894737,2.6393997027716605
42,a6ce02c89c,221,153,3.869564937091723,2.8142354622775434,-0.251990968690199,0.001790065128062679,0.45394736842105265,2.701339076287797
42,a6ce02c89c,230,153,3.655858542063997,3.0675327351280286,-0.04117456039572074,-0.01723970470514291,0.4276315789473684,2.605106094912936
42,a6ce02c89c,242,153,3.312306629535301,2.5162997966498333,0.5072641099979674,-0.07147771446147888,0.3881578947368421,2.4120442914296008
42,a6ce02c89c,255,153,4.286771892892378,3.298946684482051,-0.8334532874861574,0.029834195508928074,0.5526315789473685,3.176485939438241
42,a6ce02c89c,260,153,2.612573075357077,2.203565076090931,0.6122342474709929,-0.09613367161173336,0.3355263157894737,2.010236368569019
42,a6ce02c89c,271,153,3.089029099827931,2.412504250804583,-1.0851174771201377,0.03171800375712586,0.46710526315789475,2.4189199818951455
42,a6ce02c89c,278,153,12.772018474682538,8.84849745113086,-1.5345098271089461,0.16955356509752928,0.6118421052631579,8.98176105690122
42,a6ce02c89c,304,153,3.8979424240039307,3.3088937884841867,0.6843327303337895,-0.027327883598436964,0.4144736842105263,2.9472778417064593
42,a6ce02c89c,314,153,3.482694575031269,2.7299922019048455,-1.567534497360778,-0.17882397086526902,0.47368421052631576,2.8157289623320403
42,a6ce02c89c,324,153,4.17925187135287,3.291655487484402,-0.9196272550844679,-0.01100608904308209,0.5263157894736842,3.142446621318652
42,a6ce02c89c,342,153,3.1684671826108333,2.6228060874284482,0.36564141044429704,-0.006860427671012914,0.4407894736842105,2.331345465773603
42,a6ce02c89c,345,153,1.747957280898991,1.527758691045973,0.23924867545857148,-0.0034062449318321697,0.4144736842105263,1.3157304820756317
42,a6ce02c89c,347,153,3.349768351005508,2.7212483411520916,0.9961172385153427,-0.07039712081030447,0.5263157894736842,2.6042255704196124
42,a6ce02c89c,348,153,6.315679559158423,4.7920684709268455,-0.3282209568553501,-0.02822557857330965,0.5394736842105263,4.43791213652476
42,a6ce02c89c,360,153,5.893155273787268,4.698554201842913,1.0747576827317282,0.019388778983285504,0.5526315789473685,4.389905608037294
42,a6ce02c89c,371,153,2.7819744164060025,2.1089537278109907,-0.6575716447596457,-0.03667379137146387,0.42105263157894735,2.0826185513456603
