seed,product_id,n_test,rmse,mae,bias,r2,pocid
42,27,153,4.57472250213317,3.7135982934166405,-0.47628680826012604,0.001301484663158936,0.5526315789473685
42,55,153,2.080423294905599,1.8407504038483489,0.4577240940012963,-0.025754984731237274,0.3815789473684211
42,71,153,15.814585785253943,9.638242994575135,-9.155505374147028,-0.5073314913069267,0.4407894736842105
42,116,153,15.294310179312825,12.10180307759179,-7.472214229745803,-0.31217439375237466,0.4605263157894737
42,128,153,3.824545281212154,2.8161545345206664,0.18903162744310167,0.020586506597010445,0.4407894736842105
42,156,153,2.4981486448310846,1.8676630770361502,-0.08046396159463459,0.00011198466198913959,0.34868421052631576
42,176,153,2.99248268561694,2.3773745906119252,1.0574024549496719,-0.15247776685393166,0.4407894736842105
42,195,153,1.7756424127370967,1.5683593353609633,0.4914230189097473,-0.08119032047513075,0.3684210526315789
42,215,153,3.6962816940191834,2.819269998790392,-1.1927358726270838,-0.10981131287848189,0.4407894736842105
42,219,153,3.4250393930062195,2.521374023330757,-0.44279980766617394,0.0006604410827465435,0.4605263157894737
42,221,153,3.8811210291357385,2.811290973346997,-0.15049405074587055,-0.004180957856312784,0.4473684210526316
42,230,153,3.7873926775793114,3.064426370403346,-1.0936549673088236,-0.09175504500982568,0.3881578947368421
42,242,153,3.190731033095596,2.403491384063671,0.03668374563354293,0.005734276838923469,0.4407894736842105
42,255,153,4.757590104877539,3.5926109470573127,-2.001593933775534,-0.19497620749009958,0.4276315789473684
42,260,153,2.553060680572717,2.201349118371415,0.5205855038430955,-0.04676429273500382,0.3355263157894737
42,271,153,3.4155625017360403,2.612349358259463,-1.2965342834884046,-0.18381089246618254,0.40789473684210525
42,278,153,17.02583300368014,11.265590165954789,-9.523079589301465,-0.47573809214349083,0.5328947368421053
42,304,153,3.8932917080598046,3.2739726630301256,0.4839263910951178,-0.024877893631169323,0.4144736842105263
42,314,153,3.171394197917054,2.526745921451282,-0.22776547230147068,0.02249579514554112,0.46710526315789475
42,324,153,4.231670184991155,3.4201802646412567,-0.7365618375391741,-0.03652624555356354,0.4473684210526316
42,342,153,3.2553335656642663,2.5887452233460992,-0.7789864686189913,-0.06282518772070844,0.4934210526315789
42,345,153,1.7462745416647643,1.5345638865738913,0.06599975684109856,-0.0014752385641061405,0.40789473684210525
42,347,153,3.2428779124075073,2.6488521819800335,0.10539465753081577,-0.0031747205995862338,0.506578947368421
42,348,153,6.306350045749703,4.819246014738394,-1.4384390037823347,-0.025190035378221953,0.5526315789473685
42,360,153,5.90889737538489,4.6148428975367075,0.4462929578388439,0.01414286278066057,0.46710526315789475
42,371,153,2.74172290338156,2.141948902723836,-0.31917979728941825,-0.00689219742966074,0.3881578947368421
42,453,153,4.162989073633169,3.3698093894065595,0.47869477834966445,-0.0027960394763442142,0.5394736842105263
42,457,153,7.162700590484713,6.014798248028444,4.6525569849349315,-0.6767026741684823,0.5131578947368421
42,471,153,2.1361675020281248,1.8783705182909187,0.16008812043012358,-2.06204497010809e-06,0.3355263157894737
42,485,153,3.3209927160188157,2.4304009214335798,0.32988403104489145,-0.013646097156949644,0.4473684210526316
42,487,153,2.3223508640893447,1.8495823750698488,0.1652312713121277,0.008263082363962448,0.42105263157894735
42,493,153,2.1202912761422588,1.7672282552797032,-0.17573721833478392,-0.01354420559065983,0.3223684210526316
42,498,153,3.543454022015686,2.836254189996158,1.3192586135240942,-0.1202689274738391,0.42105263157894735
42,513,153,7.7337754909214365,4.761006721484116,-3.0727309011945536,-0.19863225049153344,0.42105263157894735
42,514,153,4.538946780986205,3.323618159574621,0.20278769751000247,-0.0018677883465898493,0.32894736842105265
42,596,153,5.043882188081197,3.1616507406815204,-1.7923943690127797,-0.14745412218836118,0.4934210526315789
42,611,153,1.9584735338813415,1.5371221981796563,-0.18602192421364627,-0.009194058754929957,0.3618421052631579
42,612,153,2.0884869565179733,1.7683666314369713,-0.3241856194594327,-0.023361354265414525,0.3815789473684211
42,624,153,2.778246491968162,2.181894191339904,-0.2880886337336372,-0.015580344566772375,0.40131578947368424
42,625,153,2.2872016345053807,1.816379659316119,0.7381240744995915,-0.10770767093258882,0.42105263157894735
42,640,153,6.765836661101386,5.412393139857872,-1.98375886172251,-0.09122076780704136,0.48026315789473684
42,676,153,2.4109218841197926,1.8641538055114497,0.8783446149109235,-0.16508699888728806,0.4605263157894737
42,688,153,5.0531591584591355,4.403332675594131,1.7600030973066692,-0.1390378655990816,0.29605263157894735
42,691,153,4.505734601546577,3.7505971651061687,-1.0278680312867259,-0.025366984423906835,0.4144736842105263
42,692,153,4.938790079303756,3.7553198182699727,-1.8451865388482225,-0.15222758460708152,0.4473684210526316
42,703,153,4.548448023260158,3.0377992252314012,-1.5146999626962188,-0.13309064797216918,0.42105263157894735
42,706,153,3.982622314724478,3.246326207140692,0.012313182642257291,-0.009468685980586589,0.4276315789473684
42,742,153,5.098705700777111,3.4892286495640388,-2.515305582117411,-0.321770690294376,0.5263157894736842
42,779,153,3.3304782835834406,2.7222329504739227,0.970473103858287,-0.09289611989875524,0.3815789473684211
42,786,153,5.47221481296107,4.289796086308224,-1.7679433304499956,-0.1317611019149787,0.39473684210526316
42,808,153,5.357333641035594,4.535992392137939,0.11455266148436304,0.013435497815354358,0.4342105263157895
42,809,153,3.413918818659203,2.558546602920769,-0.8728390715870202,-0.0687576950616473,0.39473684210526316
42,903,153,6.760726426445825,5.0239708563860725,-2.8145045330321867,-0.17428628194130558,0.5263157894736842
42,904,153,18.704921405188212,10.23454879000296,-6.285243216682883,-0.11651864873785311,0.5328947368421053
42,905,153,2.9706451994805985,2.4408128604390265,1.3073696011032154,-0.23098019547673343,0.3815789473684211
42,920,153,4.390323236532829,3.254023689849704,-1.1034294522665684,-0.057171235831055656,0.48026315789473684
42,940,153,4.599751103421903,3.459628390330894,-2.3909210691265033,-0.3729655272973922,0.4276315789473684
42,942,153,4.05337422854965,3.377050910510269,0.6828401077027414,-0.03043066883632073,0.47368421052631576
42,980,153,3.723087590341191,3.0692065377640567,0.4118778697805467,-0.009555000267877256,0.4342105263157895
42,1042,153,2.526411834233852,2.0922762183776866,-0.36015322112959197,0.0002813342731247115,0.42105263157894735
42,1051,153,4.103534646914108,3.4809893241115644,2.2955876842043756,-0.48067039055111915,0.4407894736842105
42,1165,153,4.816750786712872,4.1085609306696975,1.6259582346560908,-0.13138907074728867,0.3881578947368421
42,1176,153,3.575164246559287,2.7491643456072588,0.6247395943192875,-0.015617844449585139,0.4144736842105263
42,1181,153,4.165561371127439,3.419688905571021,-0.1808359060022566,0.014066829768606404,0.40789473684210525
42,1182,153,4.518655125026043,3.591897588442354,-0.7444479982642567,-0.018909991575516427,0.3881578947368421
42,1241,153,2.073319082106122,1.8538747484387914,0.5310587715479284,-0.07095726955959702,0.39473684210526316
42,1260,153,24.694333546142097,12.717442614446377,-11.75881278408947,-0.2942561544135287,0.5394736842105263
42,1267,153,2.395407271204661,1.8728386544519,0.309626723718799,0.015247213595643294,0.42105263157894735
42,1274,153,2.2711451637068345,1.9855459306169958,0.7156873291808795,-0.16175622223246466,0.34868421052631576
42,1325,153,7.957325687362946,6.179006596406301,-0.38795968208437653,0.014147451153250112,0.5394736842105263
42,1327,153,3.96220170558287,3.1164913122950035,0.5034694289849475,-0.005276369792758029,0.46710526315789475
42,1419,153,2.4476723028968594,1.9422458511552,0.8795622158673854,-0.14934727289130012,0.39473684210526316
42,1425,153,1.8705589484887053,1.7162043797034843,0.6146848386798809,-0.11372613895985184,0.3618421052631579
42,1427,153,2.35547650098083,1.903241692025677,-0.31192172041126326,-0.014730704705421926,0.3355263157894737
42,1429,153,4.212404065176617,3.6468988824514,2.7372358340063907,-0.6234178926730427,0.5855263157894737
42,1433,153,3.391756701787152,2.554991499271268,0.18090054100635006,0.015337002230121799,0.45394736842105265
42,1438,153,2.2343791331915055,1.7288385783535203,-0.27257326011564215,-0.018388823826587908,0.4144736842105263
42,1444,153,2.354816803792246,2.0015584916071174,0.44585105406692604,-0.034052683444040666,0.3815789473684211
42,1445,153,3.7288744877881475,2.8374054303356244,-1.7146461083998088,-0.2662637183458356,0.45394736842105265
42,1451,153,2.856686451431617,2.275513022164114,0.14535450974321054,0.0018348921994969514,0.45394736842105265
42,1462,153,2.2278456565023066,1.729574227644727,0.27562999530555377,-0.004476625908753418,0.39473684210526316
42,1578,153,1.866185231772458,1.6492557371753493,0.18190533623975866,0.0038697600601504956,0.45394736842105265
42,1718,153,4.423391093799701,3.5987801229447323,1.3172093480825424,-0.07098836646631934,0.35526315789473684
42,1739,153,8.223893959950544,6.735733237921023,0.673928397932863,0.019436762573570743,0.5328947368421053
42,1756,153,2.0117464224988852,1.6779173879938967,-0.08995772046006582,-0.005979421024923992,0.40789473684210525
42,1765,153,6.78261319423355,5.40092311185949,-1.3463902348786398,0.010198592507064785,0.5394736842105263
42,1775,153,3.135283508457067,2.4492007260229074,-0.3839667529062508,-0.022050281589424126,0.42105263157894735
42,1776,153,3.1843578355222997,2.4915527052739086,0.33028946105950796,-0.010456661204887308,0.4473684210526316
42,1777,153,3.135507310483567,2.3820887846884387,-0.14537948058321584,0.018703853423055805,0.47368421052631576
42,1802,153,6.001757371746566,4.570991249255885,-2.5505394697968478,-0.22020492424223215,0.5
42,1803,153,4.127889317943893,3.1121671830906585,-1.342552774871876,-0.06748066008307196,0.506578947368421
42,1869,153,2.898131595675484,2.325589501779843,-1.0963040152016807,-0.15259220776418791,0.42105263157894735
42,2085,153,2.5365656879112044,2.0757041919270374,0.19886679811025756,0.00013688488912955155,0.3815789473684211
42,2188,153,1.1815435444401827,0.8451836428611107,-0.03988064893710068,-0.012329498038541553,0.28289473684210525
42,2285,153,3.0316136399177904,2.297914019597122,-1.2101459923912496,-0.18776517747064947,0.45394736842105265
42,2291,153,1.9959060377978344,1.7168609465843712,-0.5119217769577612,-0.06268860085699668,0.4605263157894737
42,2305,153,2.3549377088694454,1.8541098213663287,0.13396139822754205,0.028496787195443574,0.4342105263157895
42,2355,153,3.0147755536791765,2.2565169410378325,0.36055929033584844,-0.02237031223891983,0.3815789473684211
42,2403,153,2.3898662869769898,1.873260579954565,-0.824752455151159,-0.1356072799458914,0.3881578947368421
42,2564,153,12.014280399366331,9.564858888878542,-1.0573771323253907,-0.00860504613695423,0.3618421052631579
42,2707,153,2.538060887212056,1.9779547571746352,-0.45636416436020844,-0.012536242680912801,0.40789473684210525
42,2962,153,2.459230203543679,1.960545180669797,0.33359523380503936,-0.10886522752360661,0.4407894736842105
42,3386,153,3.961972517687723,3.0140371628446516,-0.7716365957182217,-0.03853454233890963,0.46710526315789475
42,3500,153,3.644330648785825,2.34368989952639,-0.9361377168519824,-0.06888608292112575,0.4868421052631579
42,3520,153,4.927271582181356,3.370664759399065,-1.653601079984428,-0.11815779228711043,0.506578947368421
42,3532,153,6.816827611275189,5.415874980633555,-1.3066354623807022,-0.04883802770230661,0.4342105263157895
42,3559,153,6.44969107584175,5.208900959857928,1.028735254909478,-0.029356661911435822,0.3881578947368421
42,3703,153,3.7899250772899844,2.6943036440540764,-1.3272043647719365,-0.14874690885915243,0.3881578947368421
42,3713,153,3.528582941804632,2.3790118756637075,-1.2639617592680688,-0.1449050625144328,0.42105263157894735
42,3714,153,3.7352081839256566,2.691224522060818,-0.3304099559394363,-0.0004877562342653352,0.4605263157894737
42,3715,153,3.183572080732848,2.22217102455937,-0.47434912943372537,-0.024533562356960692,0.42105263157894735
42,3720,153,3.8941058115848706,2.7521132734281566,-1.7167379220131955,-0.24625389602790526,0.375
42,3724,153,2.7463323033179967,2.1771567740471536,-0.45215479065390196,-0.02708905820690788,0.40789473684210525
42,3729,153,4.918838913174407,4.089965398405113,3.0544190021122204,-0.5898123796490147,0.4605263157894737
42,3730,153,3.288113109486831,2.2703931027767705,-1.3445135877023335,-0.19847143261428424,0.47368421052631576
42,3731,153,5.314902991983043,3.669272241639156,0.39737752021527756,0.055609870042301,0.40789473684210525
42,3734,153,2.754328997786632,2.151710952613868,-1.0169946806493149,-0.15784765409891222,0.4407894736842105
42,3737,153,3.231569501995432,2.258062415506715,-1.5686124836405118,-0.3065103800690925,0.4276315789473684
42,3743,153,2.6574083426878645,1.6332385738690693,-0.9777182812979018,-0.15190664975900892,0.3684210526315789
42,3745,153,2.7757081493289033,2.119331930879674,-1.269785208737149,-0.28412919252006397,0.47368421052631576
42,3750,153,2.7509465558467325,2.270565142915919,0.43767303588733175,0.0017555556862062227,0.3881578947368421
42,4852,153,6.476107428111525,4.208380864823566,-1.3621454491140017,-0.05295227085490084,0.4342105263157895
42,4853,153,4.6335288162415225,3.650448516011238,-0.43738150723229824,-0.021827189225139154,0.4144736842105263
42,4857,153,6.8131427201850645,5.038993517947353,-0.44171208610721663,-0.002363666337799053,0.35526315789473684
42,4858,153,6.2166459197588875,3.9776813298269036,-1.0052563873381397,-0.03194606442434478,0.4407894736842105
42,4862,153,7.323842309233528,4.657871381130094,-1.728056444062127,-0.06329816440762959,0.47368421052631576
42,4872,153,2.3675174752487314,2.041879309548272,0.8674495270828796,-0.14540477633422344,0.2894736842105263
42,4873,153,2.549503199164631,2.1432133205965456,1.212468463416193,-0.3594735468956527,0.42105263157894735
42,4978,153,2.551284512748046,1.9565089074225208,-0.25047338242624323,-0.015180115094108215,0.34210526315789475
42,4990,153,2.6087235231205037,2.0559123147741643,-0.6384633143548093,-0.06222667610621335,0.4407894736842105
42,5256,153,1.5589571905009831,1.2159759153922398,0.02400812399543189,-0.010120470476203458,0.4144736842105263
42,5862,153,3.5185157056636616,2.6553873942763198,-1.983026699595202,-0.49046130085879525,0.4276315789473684
42,5908,153,2.1368383330057226,1.694985772659576,0.477259247131597,-0.11912178137760687,0.4473684210526316
42,6032,153,18.030615499299884,10.235744321073582,-2.1095420334463806,0.07630090648434218,0.5921052631578947
42,6035,153,1.992655320912934,1.7499605746440638,0.032386074463526406,0.0008004771738781002,0.4342105263157895
42,6481,153,2.072013341869949,1.9012698698667139,0.6917492073345808,-0.13742319329950314,0.23684210526315788
42,6558,153,4.625845513120394,3.506346735299802,-0.8026864513073092,-0.0382630520996603,0.45394736842105265
42,6567,153,3.4730772752297074,2.8355062487078646,-0.08291888509700501,-0.052997826507214185,0.40131578947368424
42,7274,153,3.5751690147457555,2.926477082024992,1.1882637295068479,-0.24711339529894039,0.39473684210526316
42,7799,153,2.7608911332838817,2.2009795941168964,0.9858468215839535,-0.14549191873401268,0.42105263157894735
42,7832,153,3.1633923343392385,2.5011928735020894,0.6079773697393392,-0.024701927692491132,0.3618421052631579
42,7983,153,7.799614193931715,4.446408714685175,-2.1706849668248025,-0.09110031909449146,0.3355263157894737
42,8424,153,4.017984409716471,2.9299667539939382,-0.8812137555842307,-0.04481365668576065,0.4276315789473684
42,8426,153,2.2911461453210924,1.8899086699181913,-0.2525143702240551,-0.00868506683144532,0.34210526315789475
42,8432,153,2.5559893369217974,2.1344731461768056,0.3713377784280216,-0.027057060993187942,0.3223684210526316
42,8513,153,22.07483619324137,13.524126364733853,-12.467647597315459,-0.47208678109088775,0.4342105263157895
42,8514,153,9.430987148482963,5.907176860212501,-3.5984899995763318,-0.1700871557094732,0.4605263157894737
42,8562,153,4.79682986324362,3.1252716649688925,-1.1632668365742647,-0.05753302750728029,0.48026315789473684
42,8610,153,3.6146730788545995,2.793032359550981,-0.7177598921496884,-0.07196242571975153,0.375
42,8635,153,5.96255940362448,5.07470875072713,1.9220184823072035,-0.28026202692198265,0.40789473684210525
42,8938,153,1.4605529779541797,1.309690911882843,0.5224612196481305,-0.1025928453969076,0.17763157894736842
42,9145,153,4.71644662093283,3.5974815715761745,-0.5105746857870638,0.00644119308632829,0.4868421052631579
42,9284,153,2.336201569405015,1.846200926241532,-0.10093542524412566,-0.008449818659368225,0.40131578947368424
42,9464,153,4.97913984011776,3.953180508675918,-2.7340515135160457,-0.41505788833726265,0.4342105263157895
42,10009,153,2.597431173927527,2.2401714931223906,1.2278827901661786,-0.28592609672459646,0.3355263157894737
42,10640,153,3.9622276815914748,2.9434038664585627,0.13400991670056886,0.10179614245047308,0.3618421052631579
42,10657,153,3.302373417753045,2.645062782016455,0.01439603754118377,-0.001258318564182348,0.40789473684210525
42,10929,153,2.2490000720116363,1.7420092149108064,0.4504794723847333,-0.05364900236149306,0.4144736842105263
42,11012,153,1.6854183341177278,1.5585549644200631,0.7400276303486107,-0.26251041962378907,0.3223684210526316
42,11018,153,3.168386782283779,2.448733915495717,0.6429205044032702,-0.042672037392924134,0.4605263157894737
42,11052,153,1.9491818504938958,1.658029506944753,-0.3805435621757913,0.07124013023939879,0.375
42,11118,153,6.346614631839738,4.891225417455037,-2.0676263391582017,-0.16723968394204847,0.42105263157894735
42,11130,153,11.804445889305203,7.351524577616087,-3.3495837932123855,-0.08610012090463659,0.4934210526315789
42,11163,153,5.003970745426333,3.7496255831001633,0.37305284013935164,-0.006588978672000367,0.47368421052631576
42,11183,153,3.7353393391612055,3.0077622809441262,-0.5286619928148057,-0.026558626963709697,0.4605263157894737
42,11184,153,2.673062125345676,2.142213895137793,-0.06474769592674728,-0.023305747779436947,0.4342105263157895
42,11208,153,3.973758630389933,3.111367023458668,-1.1305170250094794,-0.04189571593169239,0.5131578947368421
42,11236,153,2.4849037423495157,1.88557812493611,-0.011536847726971495,0.03286155548083547,0.506578947368421
42,11342,153,9.485803010816081,7.5936965007407995,0.9996417114158082,0.06752100422023821,0.5789473684210527
42,11346,153,6.903473933144733,5.647569384158047,2.1385229713971317,-0.13313649789685456,0.5131578947368421
42,11355,153,5.31661717487359,4.398889241070529,1.390422400890612,-0.08023734494567036,0.4605263157894737
