product_id,store_id,seed,metric,threshold,n_nodes,n_edges,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
26008,6269,42,spearman,0.79,1427,0,46.65494440989749,23.671836853027344,-11.592314293510036,0.32353222370147705,0.6688741721854304,19,9.25
26008,6269,42,spearman,0.82,1427,0,46.65494440989749,23.671836853027344,-11.592314293510036,0.32353222370147705,0.6688741721854304,19,9.06
26008,6269,42,spearman,0.85,1427,0,46.65494440989749,23.671836853027344,-11.592314293510036,0.32353222370147705,0.6688741721854304,19,9.53
26008,6269,42,spearman,0.88,1427,0,46.65494440989749,23.671836853027344,-11.592314293510036,0.32353222370147705,0.6688741721854304,19,9.37
26008,6269,42,spearman,0.91,1427,0,46.65494440989749,23.671836853027344,-11.592314293510036,0.32353222370147705,0.6688741721854304,19,9.28
907969,6269,42,spearman,0.79,1427,0,43.8682442270317,30.162578582763672,-8.547105036283794,0.3777875304222107,0.7483443708609272,34,9.98
907969,6269,42,spearman,0.82,1427,0,43.8682442270317,30.162578582763672,-8.547105036283794,0.3777875304222107,0.7483443708609272,34,10.35
907969,6269,42,spearman,0.85,1427,0,43.8682442270317,30.162578582763672,-8.547105036283794,0.3777875304222107,0.7483443708609272,34,10.21
907969,6269,42,spearman,0.88,1427,0,43.8682442270317,30.162578582763672,-8.547105036283794,0.3777875304222107,0.7483443708609272,34,11.16
907969,6269,42,spearman,0.91,1427,0,43.8682442270317,30.162578582763672,-8.547105036283794,0.3777875304222107,0.7483443708609272,34,10.12
907967,6269,42,spearman,0.79,1427,0,20.2945232952452,14.320915222167969,0.7142976710670873,0.15202444791793823,0.6357615894039735,7,9.1
907967,6269,42,spearman,0.82,1427,0,20.2945232952452,14.320915222167969,0.7142976710670873,0.15202444791793823,0.6357615894039735,7,9.06
907967,6269,42,spearman,0.85,1427,0,20.2945232952452,14.320915222167969,0.7142976710670873,0.15202444791793823,0.6357615894039735,7,8.63
907967,6269,42,spearman,0.88,1427,0,20.2945232952452,14.320915222167969,0.7142976710670873,0.15202444791793823,0.6357615894039735,7,8.65
907967,6269,42,spearman,0.91,1427,0,20.2945232952452,14.320915222167969,0.7142976710670873,0.15202444791793823,0.6357615894039735,7,8.52
213626,6269,42,spearman,0.79,1427,0,21.76169876648248,14.878002166748047,3.1499219944602563,0.15354806184768677,0.6423841059602649,95,13.55
213626,6269,42,spearman,0.82,1427,0,21.76169876648248,14.878002166748047,3.1499219944602563,0.15354806184768677,0.6423841059602649,95,14.83
213626,6269,42,spearman,0.85,1427,0,21.76169876648248,14.878002166748047,3.1499219944602563,0.15354806184768677,0.6423841059602649,95,13.98
213626,6269,42,spearman,0.88,1427,0,21.76169876648248,14.878002166748047,3.1499219944602563,0.15354806184768677,0.6423841059602649,95,14.33
213626,6269,42,spearman,0.91,1427,0,21.76169876648248,14.878002166748047,3.1499219944602563,0.15354806184768677,0.6423841059602649,95,13.57
