product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,ablate_z,step,n_nodes,src_node,tgt_node,edge_weight
278,6269,42,spearman,15,1,0.75,,True,80,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,81,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,82,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,83,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,84,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,85,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,86,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,87,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,88,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,89,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,90,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,91,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,92,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,93,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,94,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,95,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,96,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,97,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,98,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,99,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,100,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,101,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,102,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,103,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,104,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,105,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,106,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,107,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,108,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,109,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,110,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,111,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,112,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,113,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,114,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,115,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,116,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,117,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,118,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,119,1,0,0,0.0
