product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid
26008,6269,42,spearman,15,1,0.75,,True,False,True,54.057091944102254,33.456642150878906,0.0929624769422743,35.41594712900642,0.6907894736842105
26008,6269,42,spearman,15,1,0.75,,True,False,False,50.31440456410694,30.011781692504883,-5.272012448778339,33.97815081737427,0.5657894736842105
26008,6269,42,spearman,15,1,0.75,,True,False,True,61.851520560962165,35.86016082763672,-28.212494320339626,46.94392406747517,0.6907894736842105
26008,6269,42,spearman,15,1,0.75,,True,False,True,44.759905011960065,25.639766693115234,-5.380213968114915,30.13494767128757,0.6776315789473685
26008,6269,42,spearman,15,1,0.75,,True,False,False,52.209721129965345,30.72881507873535,-11.49330308702257,36.660390106422156,0.6052631578947368
26008,6269,42,spearman,15,1,0.82,,True,False,False,64.13371422879896,38.22737503051758,-29.28001246732824,48.94370398886094,0.625
26008,6269,42,spearman,15,1,0.85,,True,False,False,54.25812016201469,32.90559768676758,-4.397552963954951,36.45484774368798,0.5986842105263158
26008,6269,42,spearman,15,1,0.88,,True,False,False,53.91278040154301,32.2341423034668,-9.992201337627336,37.51297611104504,0.6118421052631579
26008,6269,42,spearman,15,1,0.91,,True,False,False,58.348729367056485,33.39268112182617,-19.92437464894812,42.50362862622181,0.618421052631579
911753,6269,42,spearman,15,1,0.75,,True,False,True,32.49276887704209,23.11211395263672,-8.900410072476257,24.24951544479929,0.6973684210526315
26008,6269,42,spearman,15,1,0.75,,True,False,True,44.759905011960065,25.639766693115234,-5.380213968114915,30.13494767128757,0.6776315789473685
26008,6269,42,spearman,15,1,0.75,,True,False,False,46.82907646263964,25.219730377197266,-6.219483818104065,31.274341780145154,0.6644736842105263
26008,6269,42,spearman,15,1,0.82,,True,False,False,51.31905836970438,27.95676040649414,-14.42459233601888,36.25486737048045,0.6776315789473685
26008,6269,42,spearman,15,1,0.85,,True,False,False,49.398194710181464,27.07074737548828,-12.878893933265038,34.686507682279064,0.6644736842105263
26008,6269,42,spearman,15,1,0.88,,True,False,False,50.93662767657965,27.470077514648438,-13.534381118475222,35.719428496570735,0.6842105263157895
26008,6269,42,spearman,15,1,0.91,,True,False,False,50.99454962833651,27.548572540283203,-11.85882007374483,35.34912296767526,0.6644736842105263
911753,6269,42,spearman,15,1,0.75,,True,False,True,32.49276887704209,23.11211395263672,-8.900410072476257,24.24951544479929,0.6973684210526315
911753,6269,42,spearman,15,1,0.75,,True,False,False,31.325716865051547,21.759449005126953,-2.371332455304713,21.69555379763369,0.6842105263157895
911753,6269,42,spearman,15,1,0.82,,True,False,False,31.055785161418598,21.527524948120117,0.23761547313017004,20.969177686021872,0.6842105263157895
911753,6269,42,spearman,15,1,0.85,,True,False,False,33.46656155310103,23.67630958557129,-8.632072124605864,24.810376204094805,0.6973684210526315
911753,6269,42,spearman,15,1,0.88,,True,False,False,33.46656155310103,23.67630958557129,-8.632072124605864,24.810376204094805,0.6973684210526315
911753,6269,42,spearman,15,1,0.91,,True,False,False,31.3607013841941,21.706262588500977,-4.409559187546275,22.209306136108864,0.6907894736842105
