product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid
26008,6269,42,spearman,30,1,0.75,,True,False,43.28694206307106,22.42299272345477,-3.5659330847035897,0.4176748678801915,0.6754966887417219
26008,6269,42,spearman,30,1,0.82,,True,False,49.65894540141078,27.70542752321221,-0.503447483538797,0.23361551392153446,0.6688741721854304
26008,6269,42,spearman,30,1,0.85,,True,False,46.264707409898314,25.943708511265484,-9.581716187200264,0.33480134868445455,0.6158940397350994
26008,6269,42,spearman,30,1,0.75,,True,False,43.66160407320069,25.879969449506866,3.7039545526107154,0.40365320739722865,0.6513157894736842
26008,6269,42,spearman,30,1,0.82,,True,False,44.403685390318664,24.386216109679417,-3.3269887782779395,0.3832096825572302,0.6644736842105263
26008,6269,42,spearman,30,1,0.85,,True,False,46.16205215005101,25.78736247190463,-4.4875323445189235,0.33339321750210427,0.6907894736842105
26008,6269,42,spearman,30,1,0.88,,True,False,41.74873816967807,22.71811434412314,-7.090982266500885,0.4547618682441792,0.6776315789473685
26008,6269,42,spearman,30,1,0.91,,True,False,46.608752243267375,26.264709433017213,-8.005971054528274,0.32042957998664934,0.6513157894736842
213626,6269,42,spearman,30,1,0.75,,True,False,22.125049234886365,15.249503777697196,4.525007385054445,0.12142039439495178,0.631578947368421
213626,6269,42,spearman,30,1,0.82,,True,False,28.607815984655037,20.571965316931408,15.758248911573997,-0.46886550989327214,0.5394736842105263
213626,6269,42,spearman,30,1,0.85,,True,False,24.441626044876205,17.36244966079986,9.819120008961049,-0.07219262705951945,0.5986842105263158
213626,6269,42,spearman,30,1,0.88,,True,False,23.329371575079325,16.37004429803175,8.004641068137548,0.02317063464951119,0.6381578947368421
213626,6269,42,spearman,30,1,0.91,,True,False,24.373474712425093,17.33787847889794,8.115349411964417,-0.0662217082264418,0.5723684210526315
911753,6269,42,spearman,30,1,0.75,,True,False,28.768245516527973,20.527450329045845,1.7858805523004406,0.39872703386889896,0.743421052631579
911753,6269,42,spearman,30,1,0.82,,True,False,29.444576127490183,20.41433888634825,-3.0001803656029544,0.37012330717326003,0.756578947368421
911753,6269,42,spearman,30,1,0.85,,True,False,30.80690590384658,20.89467095072363,3.319371534426228,0.31048917439091694,0.7236842105263158
911753,6269,42,spearman,30,1,0.88,,True,False,28.400879330718286,18.53189461283824,1.8323034843782973,0.4139853162585513,0.7697368421052632
911753,6269,42,spearman,30,1,0.91,,True,False,27.26219226830123,18.812430356939633,-3.111936721049882,0.46003392136683463,0.756578947368421
26008,6269,42,spearman,30,1,0.75,,True,False,48.90956957583812,29.227628707885742,-6.23039784150965,0.25168031454086304,0.6381578947368421
26008,6269,42,spearman,30,1,0.82,,True,False,42.42028801129169,24.103790283203125,-3.490250282038271,0.4370799660682678,0.6776315789473685
26008,6269,42,spearman,30,1,0.85,,True,False,44.129594860797496,24.70829200744629,-7.535565345115911,0.39080071449279785,0.6381578947368421
26008,6269,42,spearman,30,1,0.88,,True,False,45.04315964126795,25.87346839904785,-4.226237752079185,0.36531656980514526,0.6776315789473685
26008,6269,42,spearman,30,1,0.91,,True,False,47.72536739889359,28.509912490844727,-2.9402429418626173,0.28747832775115967,0.6381578947368421
213626,6269,42,spearman,30,1,0.75,,True,False,23.41139822596103,16.605934143066406,6.9958546956380205,0.01628953218460083,0.5921052631578947
213626,6269,42,spearman,30,1,0.82,,True,False,21.809607896109256,14.866408348083496,1.8175410601048687,0.1462939977645874,0.618421052631579
213626,6269,42,spearman,30,1,0.85,,True,False,21.91402072188531,14.95428466796875,2.3151163338056575,0.138100266456604,0.6118421052631579
213626,6269,42,spearman,30,1,0.88,,True,False,22.012196021334187,14.725054740905762,1.8560873542735778,0.13036030530929565,0.618421052631579
213626,6269,42,spearman,30,1,0.91,,True,False,21.61524205196055,14.656371116638184,2.396111257715163,0.1614425778388977,0.6052631578947368
911753,6269,42,spearman,30,1,0.75,,True,False,33.31657639517171,24.50103759765625,6.521299374648948,0.19357186555862427,0.6710526315789473
911753,6269,42,spearman,30,1,0.82,,True,False,32.613048951517285,22.81846809387207,10.836314382116779,0.22727012634277344,0.7697368421052632
911753,6269,42,spearman,30,1,0.85,,True,False,34.5978694899294,25.565153121948242,12.41811739853005,0.130351722240448,0.7302631578947368
911753,6269,42,spearman,30,1,0.88,,True,False,33.19129200911551,24.561153411865234,7.772484473932803,0.19962549209594727,0.6973684210526315
911753,6269,42,spearman,30,1,0.91,,True,False,32.22789485882145,23.726308822631836,5.51856176837597,0.2454138994216919,0.7105263157894737
