Step,Predicted_Y_Scaled,Predicted_Y_Unscaled
0,0.2709716558456421,4.877489805221558
1,0.2709716558456421,4.877489805221558
2,0.2709716558456421,4.877489805221558
3,0.2709716558456421,4.877489805221558
4,0.2709716558456421,4.877489805221558
5,0.2709716558456421,4.877489805221558
6,0.2709716558456421,4.877489805221558
7,0.2709716558456421,4.877489805221558
8,0.2709716558456421,4.877489805221558
9,0.2709716558456421,4.877489805221558
10,0.2709716558456421,4.877489805221558
11,0.2709716558456421,4.877489805221558
12,0.2709716558456421,4.877489805221558
13,0.2709716558456421,4.877489805221558
14,0.2709716558456421,4.877489805221558
15,0.27493733167648315,4.948871970176697
16,0.2891688346862793,5.205039024353027
17,0.30738526582717896,5.532934784889221
18,0.3206061124801636,5.770910024642944
19,0.320253849029541,5.764569282531738
20,0.29644015431404114,5.3359227776527405
21,0.248373344540596,4.470720201730728
22,0.25937628746032715,4.668773174285889
23,0.2709716558456421,4.877489805221558
24,0.2709716558456421,4.877489805221558
25,0.2710567116737366,4.879020810127258
26,0.2723047733306885,4.901485919952393
27,0.2717225253582001,4.891005456447601
28,0.2709716558456421,4.877489805221558
29,0.2709716558456421,4.877489805221558
30,0.27139002084732056,4.88502037525177
31,0.27230748534202576,4.901534736156464
32,0.27384689450263977,4.929244101047516
33,0.27570441365242004,4.962679445743561
34,0.27394455671310425,4.9310020208358765
35,0.2709716558456421,4.877489805221558
36,0.2709716558456421,4.877489805221558
37,0.2709716558456421,4.877489805221558
38,0.2718857228755951,4.893943011760712
39,0.2734708786010742,4.922475814819336
40,0.2755025625228882,4.959046125411987
41,0.27415621280670166,4.93481183052063
42,0.2709716558456421,4.877489805221558
43,0.2709716558456421,4.877489805221558
44,0.2709716558456421,4.877489805221558
45,0.2718437612056732,4.893187701702118
46,0.27336132526397705,4.920503854751587
47,0.27536797523498535,4.956623554229736
48,0.2741661071777344,4.934989929199219
49,0.2709716558456421,4.877489805221558
50,0.2709716558456421,4.877489805221558
51,0.2709716558456421,4.877489805221558
52,0.27186107635498047,4.893499374389648
53,0.2735108435153961,4.92319518327713
54,0.27568504214286804,4.962330758571625
55,0.2745232880115509,4.941419184207916
56,0.2709716558456421,4.877489805221558
57,0.2709716558456421,4.877489805221558
58,0.2709716558456421,4.877489805221558
59,0.2717338502407074,4.891209304332733
60,0.27337077260017395,4.920673906803131
61,0.27564892172813416,4.961680591106415
62,0.2746597230434418,4.943875014781952
63,0.2709716558456421,4.877489805221558
64,0.2709716558456421,4.877489805221558
65,0.2709716558456421,4.877489805221558
66,0.2716372013092041,4.889469623565674
67,0.2732655704021454,4.918780267238617
68,0.27563974261283875,4.961515367031097
69,0.2748195230960846,4.946751415729523
70,0.2709716558456421,4.877489805221558
71,0.2709716558456421,4.877489805221558
72,0.2709716558456421,4.877489805221558
73,0.27154383063316345,4.887788951396942
74,0.2731526792049408,4.916748225688934
75,0.27562201023101807,4.961196184158325
76,0.2749822735786438,4.949680924415588
77,0.2709716558456421,4.877489805221558
78,0.2709716558456421,4.877489805221558
79,0.2709716558456421,4.877489805221558
80,0.2714594006538391,4.886269211769104
81,0.27303794026374817,4.914682924747467
82,0.2756015956401825,4.960828721523285
83,0.27515244483947754,4.952744007110596
84,0.2709716558456421,4.877489805221558
85,0.2709716558456421,4.877489805221558
86,0.2709716558456421,4.877489805221558
87,0.27138760685920715,4.884976923465729
88,0.27218931913375854,4.899407744407654
89,0.27212050557136536,4.898169100284576
90,0.2709716558456421,4.877489805221558
91,0.2691960036754608,4.845528066158295
92,0.2709716558456421,4.877489805221558
93,0.2717285752296448,4.891114354133606
94,0.27353066205978394,4.923551917076111
95,0.275595098733902,4.960711777210236
96,0.27764853835105896,4.997673690319061
97,0.27526208758354187,4.954717576503754
98,0.2613152265548706,4.703674077987671
99,0.2709716558456421,4.877489805221558
100,0.2709716558456421,4.877489805221558
101,0.2709716558456421,4.877489805221558
102,0.2709716558456421,4.877489805221558
103,0.2714269161224365,4.885684490203857
104,0.2709716558456421,4.877489805221558
105,0.2709716558456421,4.877489805221558
106,0.2709716558456421,4.877489805221558
107,0.2709716558456421,4.877489805221558
108,0.27175572514533997,4.891603052616119
109,0.27466699481010437,4.944005906581879
110,0.27812302112579346,5.006214380264282
111,0.27906334400177,5.02314019203186
112,0.27129825949668884,4.883368670940399
113,0.2709716558456421,4.877489805221558
114,0.2709716558456421,4.877489805221558
115,0.2709716558456421,4.877489805221558
116,0.27234596014022827,4.902227282524109
117,0.2761479318141937,4.970662772655487
118,0.27698585391044617,4.985745370388031
119,0.2709716558456421,4.877489805221558
120,0.2709716558456421,4.877489805221558
121,0.2709716558456421,4.877489805221558
122,0.2709716558456421,4.877489805221558
123,0.2709716558456421,4.877489805221558
124,0.2742365896701813,4.936258614063263
125,0.2781408429145813,5.006535172462463
126,0.27192920446395874,4.894725680351257
127,0.2709716558456421,4.877489805221558
128,0.27294549345970154,4.913018882274628
129,0.2802296578884125,5.044133841991425
130,0.29268205165863037,5.268276929855347
131,0.3128082752227783,5.63054895401001
132,0.3175683915615082,5.716231048107147
133,0.2875728905200958,5.176312029361725
134,0.26765918731689453,4.817865371704102
135,0.2707710266113281,4.873878479003906
136,0.27168479561805725,4.8903263211250305
137,0.2709716558456421,4.877489805221558
138,0.2709716558456421,4.877489805221558
139,0.26574093103408813,4.783336758613586
140,0.2606498897075653,4.6916980147361755
141,0.2709716558456421,4.877489805221558
142,0.2709716558456421,4.877489805221558
143,0.2709716558456421,4.877489805221558
144,0.2709716558456421,4.877489805221558
145,0.2709716558456421,4.877489805221558
146,0.2709716558456421,4.877489805221558
147,0.2709716558456421,4.877489805221558
148,0.2709716558456421,4.877489805221558
149,0.2709716558456421,4.877489805221558
150,0.2709716558456421,4.877489805221558
151,0.2709716558456421,4.877489805221558
