Step,X,Predicted_Y_Scaled,Predicted_Y_Unscaled,day_of_week_Unscaled,doy_Unscaled,is_thanksgiving_Unscaled,is_christmas_Unscaled,is_weekend_Unscaled,rolling_mean_3_Unscaled,rolling_mean_5_Unscaled,day_of_week_Scaled,doy_Scaled,is_thanksgiving_Scaled,is_christmas_Scaled,is_weekend_Scaled,rolling_mean_3_Scaled,rolling_mean_5_Scaled
10,"[[0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107], [0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455], [0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095], [0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276], [0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484], [0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576], [0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786]]",0.3347349762916565,24.77038824558258,1.0,276.0,0.0,0.0,0.0,30.06719779968262,29.259618759155273,0.16666666666666666,0.7582417582417583,0.0,0.0,0.0,0.5011199633280436,0.48766031265258786
11,"[[0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455], [0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095], [0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276], [0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484], [0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576], [0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786], [0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166]]",0.3103100657463074,22.962944865226746,2.0,277.0,0.0,0.0,0.0,26.377639770507812,29.0499267578125,0.3333333333333333,0.7609890109890111,0.0,0.0,0.0,0.43962732950846356,0.48416544596354166
12,"[[0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095], [0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276], [0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484], [0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576], [0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786], [0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166], [0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023]]",0.35405343770980835,26.199954390525818,3.0,278.0,0.0,0.0,0.0,23.48404884338379,27.586984634399414,0.5,0.7637362637362638,0.0,0.0,0.0,0.3914008140563965,0.45978307723999023
13,"[[0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276], [0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484], [0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576], [0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786], [0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166], [0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023], [0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156]]",0.41567322611808777,30.759818732738495,4.0,279.0,0.0,0.0,0.0,24.64443016052246,25.659164428710938,0.6666666666666666,0.7664835164835165,0.0,0.0,0.0,0.4107405026753743,0.4276527404785156
14,"[[0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484], [0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576], [0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786], [0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166], [0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023], [0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156], [0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224]]",0.4918237626552582,36.394958436489105,5.0,280.0,0.0,0.0,1.0,26.640905380249023,25.482383728027344,0.8333333333333333,0.7692307692307693,0.0,0.0,1.0,0.44401508967081704,0.4247063954671224
15,"[[0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576], [0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786], [0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166], [0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023], [0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156], [0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224], [0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126]]",0.4355011582374573,32.22708570957184,6.0,281.0,0.0,0.0,1.0,31.118246078491207,28.217615127563477,1.0,0.771978021978022,0.0,0.0,1.0,0.5186374346415201,0.47029358545939126
16,"[[0.30701106786727905, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0, 0.5011199633280436, 0.48766031265258786], [0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166], [0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023], [0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156], [0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224], [0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126], [0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435]]",0.31440454721450806,23.265936493873596,0.0,282.0,0.0,0.0,0.0,33.127288818359375,29.70895004272461,0.0,0.7747252747252747,0.0,0.0,0.0,0.5521214803059896,0.4951491673787435
17,"[[0.3347349762916565, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0, 0.43962732950846356, 0.48416544596354166], [0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023], [0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156], [0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224], [0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126], [0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435], [0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545]]",0.34187591075897217,25.29881739616394,1.0,283.0,0.0,0.0,0.0,30.629325866699215,29.769550323486328,0.16666666666666666,0.7774725274725275,0.0,0.0,0.0,0.5104887644449869,0.49615917205810545
18,"[[0.3103100657463074, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0, 0.3914008140563965, 0.45978307723999023], [0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156], [0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224], [0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126], [0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435], [0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545], [0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646]]",0.31609803438186646,23.391254544258118,2.0,284.0,0.0,0.0,0.0,26.930612564086914,29.589324951171875,0.3333333333333333,0.7802197802197803,0.0,0.0,0.0,0.4488435427347819,0.4931554158528646
19,"[[0.35405343770980835, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0, 0.4107405026753743, 0.4276527404785156], [0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224], [0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126], [0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435], [0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545], [0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646], [0.31609803438186646, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0, 0.39975560506184893, 0.4685935020446777]]",0.35864245891571045,26.539541959762573,3.0,285.0,0.0,0.0,0.0,23.985336303710938,28.115610122680664,0.5,0.7829670329670331,0.0,0.0,0.0,0.39975560506184893,0.4685935020446777
20,"[[0.41567322611808777, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0, 0.44401508967081704, 0.4247063954671224], [0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126], [0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435], [0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545], [0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646], [0.31609803438186646, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0, 0.39975560506184893, 0.4685935020446777], [0.35864245891571045, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0, 0.41794230143229166, 0.43574209213256837]]",0.4188482165336609,30.994768023490906,4.0,286.0,0.0,0.0,0.0,25.0765380859375,26.1445255279541,0.6666666666666666,0.7857142857142858,0.0,0.0,0.0,0.41794230143229166,0.43574209213256837
21,"[[0.4918237626552582, 1.0, 0.771978021978022, 0.0, 0.0, 1.0, 0.5186374346415201, 0.47029358545939126], [0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435], [0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545], [0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646], [0.31609803438186646, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0, 0.39975560506184893, 0.4685935020446777], [0.35864245891571045, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0, 0.41794230143229166, 0.43574209213256837], [0.4188482165336609, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0, 0.44958645502726235, 0.43163442611694336]]",0.49519720673561096,36.64459329843521,5.0,287.0,0.0,0.0,1.0,26.975187301635742,25.8980655670166,0.8333333333333333,0.7884615384615385,0.0,0.0,1.0,0.44958645502726235,0.43163442611694336
22,"[[0.4355011582374573, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0, 0.5521214803059896, 0.4951491673787435], [0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545], [0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646], [0.31609803438186646, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0, 0.39975560506184893, 0.4685935020446777], [0.35864245891571045, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0, 0.41794230143229166, 0.43574209213256837], [0.4188482165336609, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0, 0.44958645502726235, 0.43163442611694336], [0.49519720673561096, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0, 0.5232161204020183, 0.47622992197672526]]",0.4404933452606201,32.59650754928589,6.0,288.0,0.0,0.0,1.0,31.392967224121097,28.573795318603516,1.0,0.7912087912087913,0.0,0.0,1.0,0.5232161204020183,0.47622992197672526
23,"[[0.31440454721450806, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0, 0.5104887644449869, 0.49615917205810545], [0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646], [0.31609803438186646, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0, 0.39975560506184893, 0.4685935020446777], [0.35864245891571045, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0, 0.41794230143229166, 0.43574209213256837], [0.4188482165336609, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0, 0.44958645502726235, 0.43163442611694336], [0.49519720673561096, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0, 0.5232161204020183, 0.47622992197672526], [0.4404933452606201, 0.0, 0.793956043956044, 0.0, 0.0, 0.0, 0.5568659464518229, 0.5005555152893066]]",0.320698618888855,23.73169779777527,0.0,289.0,0.0,0.0,0.0,33.411956787109375,30.0333309173584,0.0,0.793956043956044,0.0,0.0,0.0,0.5568659464518229,0.5005555152893066
24,"[[0.34187591075897217, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0, 0.4488435427347819, 0.4931554158528646], [0.31609803438186646, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0, 0.39975560506184893, 0.4685935020446777], [0.35864245891571045, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0, 0.41794230143229166, 0.43574209213256837], [0.4188482165336609, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0, 0.44958645502726235, 0.43163442611694336], [0.49519720673561096, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0, 0.5232161204020183, 0.47622992197672526], [0.4404933452606201, 0.0, 0.793956043956044, 0.0, 0.0, 0.0, 0.5568659464518229, 0.5005555152893066], [0.320698618888855, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0, 0.5165155728658041, 0.5016903559366862]]",0.34851133823394775,25.789839029312134,1.0,290.0,0.0,0.0,0.0,30.990934371948246,30.101421356201172,0.16666666666666666,0.7967032967032968,0.0,0.0,0.0,0.5165155728658041,0.5016903559366862
