Step,X,Predicted_Y_Scaled,Predicted_Y_Unscaled,day_of_week_Unscaled,doy_Unscaled,is_thanksgiving_Unscaled,is_christmas_Unscaled,is_weekend_Unscaled,day_of_week_Scaled,doy_Scaled,is_thanksgiving_Scaled,is_christmas_Scaled,is_weekend_Scaled
10,"[[0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0], [0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0], [0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0], [0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0], [0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0], [0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0], [0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0]]",0.23017273843288422,7.135354891419411,1.0,276.0,0.0,0.0,0.0,0.16666666666666666,0.7582417582417583,0.0,0.0,0.0
11,"[[0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0], [0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0], [0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0], [0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0], [0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0], [0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0], [0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0]]",0.2235570102930069,6.930267319083214,2.0,277.0,0.0,0.0,0.0,0.3333333333333333,0.7609890109890111,0.0,0.0,0.0
12,"[[0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0], [0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0], [0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0], [0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0], [0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0], [0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0], [0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0]]",0.2215665727853775,6.868563756346703,3.0,278.0,0.0,0.0,0.0,0.5,0.7637362637362638,0.0,0.0,0.0
13,"[[0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0], [0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0], [0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0], [0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0], [0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0], [0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0], [0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0]]",0.2226233035326004,6.9013224095106125,4.0,279.0,0.0,0.0,0.0,0.6666666666666666,0.7664835164835165,0.0,0.0,0.0
14,"[[0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0], [0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0], [0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0], [0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0], [0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0], [0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0], [0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0]]",0.2429778128862381,7.532312199473381,5.0,280.0,0.0,0.0,1.0,0.8333333333333333,0.7692307692307693,0.0,0.0,1.0
15,"[[0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0], [0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0], [0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0], [0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0], [0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0], [0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0], [0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0]]",0.26543837785720825,8.228589713573456,6.0,281.0,0.0,0.0,1.0,1.0,0.771978021978022,0.0,0.0,1.0
16,"[[0.24393676221370697, 0.16666666666666666, 0.7582417582417583, 0.0, 0.0, 0.0], [0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0], [0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0], [0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0], [0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0], [0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0], [0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0]]",0.2448910027742386,7.591621086001396,0.0,282.0,0.0,0.0,0.0,0.0,0.7747252747252747,0.0,0.0,0.0
17,"[[0.23017273843288422, 0.3333333333333333, 0.7609890109890111, 0.0, 0.0, 0.0], [0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0], [0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0], [0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0], [0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0], [0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0], [0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0]]",0.23116706311702728,7.166178956627846,1.0,283.0,0.0,0.0,0.0,0.16666666666666666,0.7774725274725275,0.0,0.0,0.0
18,"[[0.2235570102930069, 0.5, 0.7637362637362638, 0.0, 0.0, 0.0], [0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0], [0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0], [0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0], [0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0], [0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0], [0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0]]",0.2245870679616928,6.962199106812477,2.0,284.0,0.0,0.0,0.0,0.3333333333333333,0.7802197802197803,0.0,0.0,0.0
19,"[[0.2215665727853775, 0.6666666666666666, 0.7664835164835165, 0.0, 0.0, 0.0], [0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0], [0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0], [0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0], [0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0], [0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0], [0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0]]",0.22262142598628998,6.901264205574989,3.0,285.0,0.0,0.0,0.0,0.5,0.7829670329670331,0.0,0.0,0.0
