item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time_s,inference_time_s
26002,6269,42,spearman,15,1,0.85,,True,False,False,36.77584477503858,20.481301775165633,-15.707976310081731,27.43524190883113,0.45394736842105265,73.00,3.7983
26002,6269,42,spearman,15,1,0.85,,True,False,True,48.05282063485,23.773865519006268,-16.75505335190717,34.15864003515336,0.5394736842105263,39.94,0.2000
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,59.98010266466663,33.116393419652205,-32.56296268787259,46.409890359214515,0.47368421052631576,7.70,0.0740
TOTAL_EXPERIMENT_TIME_SECONDS,7.80,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,59.98010266466663,33.116393419652205,-32.56296268787259,46.409890359214515,0.47368421052631576,7.60,0.0860
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,59.98010266466663,33.116393419652205,-32.56296268787259,46.409890359214515,0.47368421052631576,7.71,0.0702
26002,6269,42,spearman,15,1,0.85,,True,False,True,53.71205380064508,27.35684409562279,-25.700917871169796,40.120467392020686,0.5526315789473685,36.96,0.1240
26002,6269,42,spearman,15,1,0.85,,True,False,False,36.77584477503858,20.481301775165633,-15.707976310081731,27.43524190883113,0.45394736842105265,63.64,3.7910
TOTAL_EXPERIMENT_TIME_SECONDS,114.16,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,44.45619123604283,22.934128867255318,-18.77488115098741,32.6553481225821,0.5328947368421053,7.27,0.0700
26002,6269,42,spearman,15,1,0.85,,True,False,True,53.71205380064508,27.35684409562279,-25.700917871169796,40.120467392020686,0.5526315789473685,36.61,0.1270
26002,6269,42,spearman,15,1,0.85,,True,False,False,36.77584477503858,20.481301775165633,-15.707976310081731,27.43524190883113,0.45394736842105265,63.90,3.9171
TOTAL_EXPERIMENT_TIME_SECONDS,113.72,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,8.18,0.1170
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,8.34,0.1270
26002,6269,42,spearman,15,1,0.85,,True,False,True,44.81149459000117,23.68845304165011,-19.89656049753326,33.30200067979643,0.5460526315789473,33.52,0.1200
26002,6269,42,spearman,15,1,0.85,,True,False,False,32.2280731477363,18.642199410332573,-10.75690339281668,23.463812274655464,0.4473684210526316,60.90,3.8108
TOTAL_EXPERIMENT_TIME_SECONDS,108.74,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,9.05,0.1333
26002,6269,42,spearman,15,1,0.85,,True,False,True,44.81149459000117,23.68845304165011,-19.89656049753326,33.30200067979643,0.5460526315789473,34.55,0.1400
26002,6269,42,spearman,15,1,0.85,,True,False,False,32.2280731477363,18.642199410332573,-10.75690339281668,23.463812274655464,0.4473684210526316,59.03,3.7912
TOTAL_EXPERIMENT_TIME_SECONDS,108.59,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,7.72,0.1310
26002,6269,42,spearman,15,1,0.85,,True,False,True,44.81149459000117,23.68845304165011,-19.89656049753326,33.30200067979643,0.5460526315789473,33.39,0.1190
26002,6269,42,spearman,15,1,0.85,,True,False,False,32.2280731477363,18.642199410332573,-10.75690339281668,23.463812274655464,0.4473684210526316,61.12,3.8262
TOTAL_EXPERIMENT_TIME_SECONDS,108.12,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,8.11,0.1230
26002,6269,42,spearman,15,1,0.85,,True,False,True,44.81149459000117,23.68845304165011,-19.89656049753326,33.30200067979643,0.5460526315789473,34.07,0.1260
26002,6269,42,spearman,15,1,0.85,,True,False,False,32.2280731477363,18.642199410332573,-10.75690339281668,23.463812274655464,0.4473684210526316,57.96,3.3017
TOTAL_EXPERIMENT_TIME_SECONDS,105.50,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,7.94,0.1230
26002,6269,42,spearman,15,1,0.85,,True,False,True,44.81149459000117,23.68845304165011,-19.89656049753326,33.30200067979643,0.5460526315789473,34.53,0.1250
26002,6269,42,spearman,15,1,0.85,,True,False,False,32.2280731477363,18.642199410332573,-10.75690339281668,23.463812274655464,0.4473684210526316,61.53,3.2900
TOTAL_EXPERIMENT_TIME_SECONDS,109.34,,,,,,,,,,,,,,,,
26002,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,37.94230781707174,22.139824946721394,-17.9699385384329,28.998594779824444,0.5131578947368421,7.86,0.1380
26002,6269,42,spearman,15,1,0.85,,True,False,True,44.81149459000117,23.68845304165011,-19.89656049753326,33.30200067979643,0.5460526315789473,34.46,0.1300
26002,6269,42,spearman,15,1,0.85,,True,False,False,32.2280731477363,18.642199410332573,-10.75690339281668,23.463812274655464,0.4473684210526316,62.45,3.8052
TOTAL_EXPERIMENT_TIME_SECONDS,110.76,,,,,,,,,,,,,,,,
