product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time,inference_time
911753,6269,42,spearman,15,1,0.82,,True,False,True,30.95605658366249,22.808281392053843,-18.26484694979549,25.746310377293582,0.7302631578947368,56.27,0.1320
911753,6269,42,spearman,15,1,0.82,,True,False,False,34.43900089669323,25.47251069312002,-2.42581650478388,24.194082247822593,0.5921052631578947,149.72,0.2980
911753,6269,42,spearman,15,1,0.85,,True,False,False,34.05245166304729,25.590140934863122,-5.427793328278984,24.78070939730917,0.6907894736842105,95.96,0.2600
911753,6269,42,spearman,15,1,0.88,,True,False,False,34.59301689243387,25.833369809817643,-4.802686379625906,24.955522493577824,0.631578947368421,73.69,0.2770
911753,6269,1000,spearman,15,1,0.82,,True,False,True,28.294584990911602,22.219133913127425,11.939549365074805,22.68696331500636,0.7105263157894737,75.76,0.1430
911753,6269,1000,spearman,15,1,0.82,,True,False,False,37.65817776555819,28.52550561443653,-2.5435610503153083,26.596355548967054,0.5460526315789473,94.25,0.2870
911753,6269,1000,spearman,15,1,0.85,,True,False,False,34.75254226794449,26.172095080606297,-0.8515384399812985,24.132179514119144,0.618421052631579,85.80,0.2680
911753,6269,1000,spearman,15,1,0.88,,True,False,False,34.67853384986197,26.488942563923356,0.38246045081444036,24.057117678615434,0.6118421052631579,74.31,0.2698
911753,6269,26008,spearman,15,1,0.82,,True,False,True,38.94160144028706,28.9201889567905,-26.125712522494247,33.232276089964714,0.7105263157894737,75.22,0.1300
911753,6269,26008,spearman,15,1,0.82,,True,False,False,36.71257882000348,27.817626354741115,-8.367827970218036,27.402652991241524,0.6381578947368421,108.40,0.3135
911753,6269,26008,spearman,15,1,0.85,,True,False,False,35.7102080272895,26.196581248364417,3.6547522700689976,25.317937393253104,0.631578947368421,69.20,0.2540
911753,6269,26008,spearman,15,1,0.88,,True,False,False,36.156884637495466,26.555184557546976,-2.0894705579171773,25.239606097613773,0.6381578947368421,56.74,0.2350
26008,6269,42,spearman,15,1,0.82,,True,False,True,42.997743381407176,22.21689799096849,-7.964864280488756,29.0443122585679,0.6907894736842105,49.12,0.1200
26008,6269,42,spearman,15,1,0.82,,True,False,False,47.639886205451276,27.983231737722758,-4.879687340430964,32.03567287226407,0.5789473684210527,114.88,0.2920
26008,6269,42,spearman,15,1,0.85,,True,False,False,46.92215261245941,26.672807506486482,3.2273074131385955,30.936105036135974,0.5723684210526315,107.19,0.2710
26008,6269,42,spearman,15,1,0.88,,True,False,False,48.853165004728844,28.17816989873749,-6.978722017574934,33.21580548144253,0.5921052631578947,91.34,0.2443
26008,6269,1000,spearman,15,1,0.82,,True,False,True,43.518306659042565,24.06571135178111,1.3589551090415006,28.115319944726938,0.7039473684210527,39.05,0.1300
26008,6269,1000,spearman,15,1,0.82,,True,False,False,49.663779374495775,30.167566262039482,-3.834060993069917,33.33229650102524,0.506578947368421,90.53,0.3580
26008,6269,1000,spearman,15,1,0.85,,True,False,False,53.37858482116427,31.887444190729678,-10.182859383377375,37.206868304108895,0.5263157894736842,69.29,0.2740
26008,6269,1000,spearman,15,1,0.88,,True,False,False,53.29939081403096,30.826025844399446,-7.220120573355482,36.16123201145421,0.5986842105263158,66.35,0.2370
26008,6269,26008,spearman,15,1,0.82,,True,False,True,42.96348911599721,22.412111550374746,-9.245934810513765,29.396256148220733,0.7039473684210527,50.65,0.1180
26008,6269,26008,spearman,15,1,0.82,,True,False,False,50.102379401514916,30.034130196166196,-0.6097441280589384,32.71215828181374,0.5855263157894737,103.40,0.3860
26008,6269,26008,spearman,15,1,0.85,,True,False,False,51.14763674051467,28.84609030430613,-9.342126659318513,35.1208726111635,0.5657894736842105,118.90,0.2877
26008,6269,26008,spearman,15,1,0.88,,True,False,False,51.56237946649449,29.442576190225438,-7.791785545598447,35.08978016720322,0.618421052631579,78.27,0.2340
907969,6269,42,spearman,15,1,0.82,,True,False,True,50.36457701692748,33.8914084839665,-5.816141265669679,35.10917594587278,0.7302631578947368,33.29,0.1350
907969,6269,42,spearman,15,1,0.82,,True,False,False,56.03541035802438,39.72195469476039,-15.854619294210197,41.91184867625484,0.5657894736842105,85.43,0.3230
907969,6269,42,spearman,15,1,0.85,,True,False,False,56.76152044529397,40.36132927190245,-18.20670218872868,43.022768087804764,0.5855263157894737,63.81,0.2660
907969,6269,42,spearman,15,1,0.88,,True,False,False,54.66603499735013,39.52890996995315,-15.151483024647034,41.00311574732511,0.5657894736842105,53.53,0.2427
907969,6269,1000,spearman,15,1,0.82,,True,False,True,54.5912044479756,36.36796784245111,-20.823227178037556,41.59340097910996,0.7368421052631579,33.29,0.1280
907969,6269,1000,spearman,15,1,0.82,,True,False,False,54.065035609661855,39.417630862566384,-8.040628370895885,38.897082613196496,0.6381578947368421,91.89,0.3370
907969,6269,1000,spearman,15,1,0.85,,True,False,False,49.15840920904651,35.45806211583755,-13.145110834657757,36.729997842147085,0.6447368421052632,129.35,0.2880
907969,6269,1000,spearman,15,1,0.88,,True,False,False,49.051853085289636,35.915833068049814,-9.908227010490068,35.981941562279786,0.625,88.20,0.2874
907969,6269,26008,spearman,15,1,0.82,,True,False,True,52.96727113974488,35.28877387950623,-18.35216766556883,39.89387095614121,0.7368421052631579,34.69,0.1230
907969,6269,26008,spearman,15,1,0.82,,True,False,False,55.83696242792846,39.600881638869744,-14.972453597324346,41.561815023012755,0.5986842105263158,95.17,0.3020
907969,6269,26008,spearman,15,1,0.85,,True,False,False,56.42403050609306,40.00405923681321,-19.561596041411356,43.10342907260267,0.6052631578947368,69.15,0.2782
907969,6269,26008,spearman,15,1,0.88,,True,False,False,55.61187727442172,39.744284237132355,-13.929962856317657,41.22450041057336,0.5789473684210527,53.77,0.2290
