item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time_s,inference_time_s
26220,6269,42,spearman,15,1,0.75,,True,False,True,45.26132160446607,31.602967918113947,8.694467792518777,32.70501972989121,0.5394736842105263,48.04,0.1270
26220,6269,42,spearman,15,1,0.75,,True,False,False,45.11057809613176,33.7353434219859,16.56410899193458,35.130152151546,0.5394736842105263,233.69,0.7070
26220,6269,42,spearman,15,1,0.82,,True,False,False,48.46685169962071,30.581594439113843,3.9485514927533716,32.86596233277716,0.4407894736842105,120.54,0.3590
26220,6269,42,spearman,15,1,0.85,,True,False,False,46.793565308947485,34.579748963998036,12.91987018959195,35.27168744287124,0.4934210526315789,73.05,0.2696
26220,6269,42,spearman,15,1,0.88,,True,False,False,45.92698793495152,31.130760604260015,0.019587635214811838,30.751081027344465,0.5526315789473685,71.77,0.2170
26220,6269,42,spearman,15,1,0.91,,True,False,False,43.43604738550457,28.723630718156404,-3.4176322587954453,29.75333943699025,0.5921052631578947,93.74,0.2200
26220,6269,1000,spearman,15,1,0.75,,True,False,True,47.18532256839575,33.69967994814605,13.876292914346932,35.486654499821114,0.5986842105263158,47.08,0.1200
26220,6269,1000,spearman,15,1,0.75,,True,False,False,48.92776232769851,35.646832185633045,12.967494790070976,36.61746290777526,0.5263157894736842,221.72,0.7018
26220,6269,1000,spearman,15,1,0.82,,True,False,False,47.42160671230592,31.55519635069604,7.667151357613358,33.51639028323031,0.4934210526315789,91.98,0.3160
26220,6269,1000,spearman,15,1,0.85,,True,False,False,43.54239289142616,29.556793449750913,3.452263414470199,30.023460661768357,0.5592105263157895,68.01,0.2723
26220,6269,1000,spearman,15,1,0.88,,True,False,False,44.02710804642619,28.321531220978382,3.5999248853695938,29.99391804980009,0.5197368421052632,52.45,0.2180
26220,6269,1000,spearman,15,1,0.91,,True,False,False,48.080370461230586,35.46558641296586,14.542791659535926,36.54227974874075,0.5921052631578947,60.01,0.2060
26220,6269,26008,spearman,15,1,0.75,,True,False,True,54.01185490886464,37.42048921772078,18.449733684265535,40.9734831799289,0.5855263157894737,47.48,0.1270
26220,6269,26008,spearman,15,1,0.75,,True,False,False,47.05640626285334,33.83565182156033,14.350056716819214,35.57463026602156,0.506578947368421,244.70,0.6620
26220,6269,26008,spearman,15,1,0.82,,True,False,False,45.84496176948591,30.252173006145004,3.4503500445995456,31.348111647429093,0.46710526315789475,141.00,0.3330
26220,6269,26008,spearman,15,1,0.85,,True,False,False,43.41949289021014,29.06105833739237,4.562638382506527,30.11567062507979,0.5460526315789473,133.25,0.2470
26220,6269,26008,spearman,15,1,0.88,,True,False,False,43.5613347066542,28.73954376519895,0.9351201026268254,29.199333320283543,0.5723684210526315,92.98,0.2180
26220,6269,26008,spearman,15,1,0.91,,True,False,False,45.14830793578781,30.12728310254664,0.7350880803625568,30.289746763621206,0.5526315789473685,76.76,0.2260
904144,6269,42,spearman,15,1,0.75,,True,False,True,11.356260039256304,8.706065639171724,-0.02449279984617545,7.860769629382626,0.5657894736842105,32.77,0.1180
904144,6269,42,spearman,15,1,0.75,,True,False,False,13.53591901288736,9.606210434358884,-0.9071593004114488,9.396301940136263,0.5394736842105263,253.41,0.2954
904144,6269,42,spearman,15,1,0.82,,True,False,False,12.189662465187903,9.421196806664561,1.3636419882182202,8.791040931314647,0.4868421052631579,63.10,0.2350
