window_idx,worst_similarity
0,0.6107143759727478
1,0.6107143759727478
2,0.6107143759727478
3,0.6107143759727478
4,0.6107143759727478
5,0.6107143759727478
6,0.6107143759727478
7,0.6107143759727478
8,0.6107143759727478
9,0.6107143759727478
10,0.6107143759727478
11,0.6107143759727478
12,0.6107143759727478
13,0.6107143759727478
14,0.6107143759727478
15,0.6107143759727478
16,0.6107143759727478
17,0.6107143759727478
18,0.6107143759727478
19,0.6107143759727478
20,0.6107143759727478
21,0.6107143759727478
22,0.6107143759727478
23,0.6107143759727478
24,0.6107143759727478
25,0.6107143759727478
26,0.6107143759727478
27,0.6107143759727478
28,0.6107143759727478
29,0.6107143759727478
30,0.6107143759727478
31,0.6107143759727478
32,0.6107143759727478
33,0.6107143759727478
34,0.6107143759727478
35,0.6107143759727478
36,0.6107143759727478
37,0.6107143759727478
38,0.6107143759727478
39,0.6107143759727478
40,0.6107143759727478
41,0.6107143759727478
42,0.6107143759727478
43,0.6107143759727478
44,0.6107143759727478
45,0.6107143759727478
46,0.6107143759727478
47,0.6107143759727478
48,0.6107143759727478
49,0.6107143759727478
50,0.6107143759727478
51,0.6107143759727478
52,0.6107143759727478
53,0.6107143759727478
54,0.6107143759727478
55,0.6107143759727478
56,0.6107143759727478
57,0.6107143759727478
58,0.6107143759727478
59,0.6107143759727478
60,0.6107143759727478
61,0.6107143759727478
62,0.6107143759727478
63,0.6107143759727478
64,0.6107143759727478
65,0.6107143759727478
66,0.6107143759727478
67,0.6107143759727478
68,0.6107143759727478
69,0.6107143759727478
70,0.6107143759727478
71,0.6107143759727478
72,0.6107143759727478
73,0.6107143759727478
74,0.6107143759727478
75,0.6107143759727478
76,0.6107143759727478
77,0.6107143759727478
78,0.6107143759727478
79,0.6107143759727478
80,0.6107143759727478
81,0.6107143759727478
82,0.6107143759727478
83,0.6107143759727478
84,0.6107143759727478
85,0.6107143759727478
86,0.6107143759727478
87,0.6107143759727478
88,0.6107143759727478
89,0.6107143759727478
90,0.6107143759727478
91,0.6107143759727478
92,0.6107143759727478
93,0.6107143759727478
94,0.6107143759727478
95,0.6107143759727478
96,0.6107143759727478
97,0.6107143759727478
98,0.6107143759727478
99,0.6107143759727478
100,0.6107143759727478
101,0.6107143759727478
102,0.6107143759727478
103,0.6107143759727478
104,0.6107143759727478
105,0.6107143759727478
106,0.6107143759727478
107,0.6107143759727478
108,0.6107143759727478
109,0.6107143759727478
110,0.6107143759727478
111,0.6107143759727478
112,0.6107143759727478
113,0.6107143759727478
114,0.6107143759727478
115,0.6107143759727478
116,0.6107143759727478
117,0.6107143759727478
118,0.6107143759727478
119,0.6107143759727478
120,0.6107143759727478
121,0.6107143759727478
122,0.6107143759727478
123,0.6107143759727478
124,0.6107143759727478
125,0.6107143759727478
126,0.6107143759727478
127,0.6107143759727478
128,0.6107143759727478
129,0.6107143759727478
130,0.6107143759727478
131,0.6107143759727478
132,0.6107143759727478
133,0.6107143759727478
134,0.6107143759727478
135,0.6107143759727478
136,0.6107143759727478
137,0.6107143759727478
138,0.6107143759727478
139,0.6107143759727478
140,0.6107143759727478
141,0.6107143759727478
142,0.6107143759727478
143,0.6107143759727478
144,0.6107143759727478
145,0.6107143759727478
146,0.6107143759727478
147,0.6107143759727478
148,0.6107143759727478
149,0.6107143759727478
150,0.6107143759727478
151,0.6107143759727478
152,0.6107143759727478
153,0.6107143759727478
154,0.6107143759727478
155,0.6107143759727478
156,0.6107143759727478
157,0.6107143759727478
158,0.6107143759727478
159,0.6107143759727478
160,0.6107143759727478
161,0.6107143759727478
162,0.6107143759727478
163,0.6107143759727478
164,0.6107143759727478
165,0.6107143759727478
166,0.6107143759727478
167,0.6107143759727478
168,0.6107143759727478
169,0.6107143759727478
170,0.6107143759727478
171,0.6107143759727478
172,0.6107143759727478
173,0.6107143759727478
174,0.6107143759727478
175,0.6107143759727478
176,0.6107143759727478
177,0.6107143759727478
178,0.6107143759727478
179,0.6107143759727478
180,0.6107143759727478
181,0.6107143759727478
182,0.6107143759727478
183,0.6107143759727478
184,0.6107143759727478
185,0.6107143759727478
186,0.6107143759727478
187,0.6107143759727478
188,0.6107143759727478
189,0.6107143759727478
190,0.6107143759727478
191,0.6107143759727478
192,0.6107143759727478
193,0.6107143759727478
194,0.6107143759727478
195,0.6107143759727478
196,0.6107143759727478
197,0.6107143759727478
198,0.6107143759727478
199,0.6107143759727478
200,0.6107143759727478
201,0.6107143759727478
202,0.6142857670783997
203,0.6107143759727478
204,0.6107143759727478
205,0.6107143759727478
206,0.6107143759727478
207,0.6107143759727478
208,0.6107143759727478
209,0.6107143759727478
210,0.6107143759727478
211,0.6107143759727478
212,0.6107143759727478
213,0.6107143759727478
214,0.6107143759727478
215,0.6107143759727478
216,0.6107143759727478
217,0.6107143759727478
218,0.6107143759727478
219,0.6107143759727478
220,0.6107143759727478
221,0.6107143759727478
222,0.6107143759727478
223,0.6107143759727478
