seed,strategy,item_id,store_id,rmse,mae,train_time,inference_time,best_epoch
42,best_val,26008,6269,43.46286040694474,24.430908092437615,0.0,0.018000125885009766,374
42,best_train_early_val,26008,6269,48.86957816348285,27.67499763630574,0.0,0.01600193977355957,8
42,combined,26008,6269,43.71353275250185,23.46186878921744,18.256873846054077,0.020999670028686523,374
42,expanding_window,26008,6269,48.85382222085256,26.881006664797372,0.0,0.023999929428100586,8
42,sliding_window,26008,6269,48.85382222085256,26.881006664797372,0.0,0.023000478744506836,8
42,best_val,907967,6269,19.980547819134728,14.263490782843697,0.0,0.015999555587768555,21
42,best_train_early_val,907967,6269,19.958898069858897,14.284507029196796,0.0,0.019534587860107422,15
42,combined,907967,6269,19.685240983832866,14.288783795303768,1.0962505340576172,0.018000364303588867,21
42,expanding_window,907967,6269,19.81514476683352,14.052654130786072,0.0,0.021998882293701172,15
42,sliding_window,907967,6269,19.81514476683352,14.052654130786072,0.0,0.01900005340576172,15
42,best_val,907969,6269,51.04504856447469,33.614698567226824,0.0,0.019001483917236328,6
42,best_train_early_val,907969,6269,47.377465336116465,31.866032630205154,0.0,0.017000436782836914,6
42,combined,907969,6269,50.15175773094664,33.3101573011844,0.3229990005493164,0.017999887466430664,6
42,expanding_window,907969,6269,50.80780157392318,33.73007217672915,0.0,0.018000364303588867,6
42,sliding_window,907969,6269,50.80780157392318,33.73007217672915,0.0,0.020236730575561523,6
42,best_val,911753,6269,25.302462825785785,18.244370985654445,0.0,0.01800060272216797,248
42,best_train_early_val,911753,6269,27.99397358870041,19.153770247900407,0.0,0.017000913619995117,16
42,combined,911753,6269,26.652844994519118,19.610020161162016,13.484493732452393,0.015998125076293945,248
42,expanding_window,911753,6269,29.014110822596944,19.536979877286488,0.0,0.017001867294311523,16
42,sliding_window,911753,6269,29.014110822596944,19.536979877286488,0.0,0.01899862289428711,16
