product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,num_edges_mean,epoch,train_loss,val_loss,z_norm_mean,z_var_mean,grad_norm_gcn,grad_norm_tcn,grad_ratio_gcn_tcn
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,1,0.037471378554723093,0.009300140663981438,nan,nan,0.0,0.606292973240987,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,2,0.014596532464825682,0.008247793652117252,nan,nan,0.0,0.3180923704690081,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,3,0.013113597191737167,0.00571235129609704,nan,nan,0.0,0.325058131759382,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,4,0.011455998755991459,0.004249244928359985,nan,nan,0.0,0.3041796480546468,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,5,0.009937781025655568,0.004085404798388481,nan,nan,0.0,0.25387460140619067,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,6,0.00917199463583529,0.0037776820827275515,nan,nan,0.0,0.23089734970739575,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,7,0.008701024310929435,0.0032625840976834297,nan,nan,0.0,0.2249026892686552,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,8,0.008186244488959866,0.002692283596843481,nan,nan,0.0,0.20797328049660943,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,9,0.007496923624005701,0.0025475025177001953,nan,nan,0.0,0.17903115118421398,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,10,0.0070038652629591525,0.0024772414471954107,nan,nan,0.0,0.15939061897131226,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,11,0.006658384185616991,0.0024695182219147682,nan,nan,0.0,0.1547109665646533,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,12,0.0064216383865901405,0.0023264046758413315,nan,nan,0.0,0.15540140738244027,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,13,0.006104009213491476,0.0021994258277118206,nan,nan,0.0,0.15011601428224888,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,14,0.005798467459888863,0.00222014170140028,nan,nan,0.0,0.13794233311843904,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,15,0.005527217240471925,0.002318437909707427,nan,nan,0.0,0.1302041551406665,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,16,0.005177921249664256,0.0021281586959958076,nan,nan,0.0,0.11736001906947412,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,17,0.004798196913075766,0.0027168765664100647,nan,nan,0.0,0.10003696835903367,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,18,0.004967938484956643,0.00447713490575552,nan,nan,0.0,0.12357631298937151,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,19,0.005537858074863574,0.005920269526541233,nan,nan,0.0,0.2008787773731724,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,20,0.007805191254841962,0.002487822435796261,nan,nan,0.0,0.3255591303496007,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,21,0.006497979322115758,0.008516654372215271,nan,nan,0.0,0.2426163821694831,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,22,0.011029029485403694,0.002243724185973406,nan,nan,0.0,0.32859935130191487,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,23,0.007858148027610565,0.01855011098086834,nan,nan,0.0,0.23137575380329953,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,24,0.016209700227981166,0.005908714607357979,nan,nan,0.0,0.47434089762955195,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,25,0.007981275998255504,0.011324280872941017,nan,nan,0.0,0.18408861475436683,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,26,0.008342036062718503,0.0018651771824806929,nan,nan,0.0,0.2616264137968026,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,27,0.00474479903433738,0.002978207543492317,nan,nan,0.0,0.09371382445683626,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,28,0.004605203197570518,0.002148084109649062,nan,nan,0.0,0.1154984843763166,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,29,0.003928373850482915,0.0027887767646461725,nan,nan,0.0,0.07180482158711297,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,30,0.0038052469234181835,0.0022465193178504705,nan,nan,0.0,0.081974915886677,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,31,0.0036000652429980357,0.0022692251950502396,nan,nan,0.0,0.07054046155346035,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,32,0.0034928730955081327,0.003229585476219654,nan,nan,0.0,0.0741500328868898,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,33,0.00354369350575975,0.0022683392744511366,nan,nan,0.0,0.09172423719506577,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,34,0.003363169247417578,0.002578920451924205,nan,nan,0.0,0.09012277846353177,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,35,0.003577104994162385,0.004445451777428389,nan,nan,0.0,0.10109221442920635,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,36,0.0037156010179647376,0.0023632911033928394,nan,nan,0.0,0.11657678690672772,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,37,0.0037803446092376752,0.0037133111618459225,nan,nan,0.0,0.13748941230818015,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,38,0.004826748169892069,0.008195094764232635,nan,nan,0.0,0.17359308154499642,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,39,0.005157321782982243,0.002301011001691222,nan,nan,0.0,0.1712884108221155,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,40,0.00494689925939643,0.004173642490059137,nan,nan,0.0,0.19174985381694593,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,41,0.008080246849983399,0.013247213326394558,nan,nan,0.0,0.26159983925809954,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,42,0.007223782728293112,0.0022545831743627787,nan,nan,0.0,0.23155951436845237,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,43,0.006631831413999732,0.002400947967544198,nan,nan,0.0,0.2338208218886213,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,44,0.004909275548665651,0.007034467067569494,nan,nan,0.0,0.1387450636597636,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,45,0.0047786018112674356,0.002157731680199504,nan,nan,0.0,0.18252694187855095,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,46,0.0029937526477234705,0.0023616477847099304,nan,nan,0.0,0.07006193890917732,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,47,0.0026264571310353597,0.002593336161226034,nan,nan,0.0,0.049226616273839015,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,48,0.002489260264805385,0.002384217455983162,nan,nan,0.0,0.0466828223718795,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,49,0.002377120848645323,0.002346002496778965,nan,nan,0.0,0.046577705191681675,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,50,0.0022864585106227814,0.0026029718574136496,nan,nan,0.0,0.04592343682187614,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,51,0.00219573439764125,0.0024136460851877928,nan,nan,0.0,0.043750476491451015,0.0
26008,6269,42,spearman,15,1,0.7,,True,False,True,0.0,52,0.0021525059128180146,0.0023561331909149885,nan,nan,0.0,0.04587241263932256,0.0
