item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time,inference_time,best_epoch
26220,6269,42,no_emb,30,1,,,,,baseline,42.286666389822535,28.96246563772263,-1.2742732904754044,0.3900036310364534,0.5526315789473685,23.3339,0.0798,76
26220,6269,42,spearman,30,1,0.7,,True,False,True,45.156916461053825,30.875212093218675,0.14749465958257907,0.3043850490002671,0.5263157894736842,29.0724,0.5305,562
26220,6269,42,spearman,30,1,0.7,,True,False,False,44.94580053043422,30.052666813427326,10.746539491600071,0.31087407096092756,0.5592105263157895,11.6048,0.8722,139
26220,6269,1000,no_emb,30,1,,,,,baseline,45.17108793795866,30.661744522503,0.04049407919637518,0.3039483744518908,0.5263157894736842,19.6917,0.0763,327
26220,6269,1000,spearman,30,1,0.7,,True,False,True,43.825945617713046,28.693909642998786,-2.435570896122288,0.34478634187358526,0.5526315789473685,14.6314,0.5441,210
26220,6269,1000,spearman,30,1,0.7,,True,False,False,42.81107784428568,27.90887347266711,-3.051557728265917,0.3747802692694312,0.5328947368421053,8.5665,0.6359,73
26220,6269,26008,no_emb,30,1,,,,,baseline,43.738265369042466,29.86995024904852,3.7495694381665756,0.3474054218630891,0.5657894736842105,18.4332,0.1364,149
26220,6269,26008,spearman,30,1,0.7,,True,False,True,44.11100743307035,29.07688749603489,-2.503568627938531,0.33623506809748116,0.5526315789473685,27.9984,1.5211,218
26220,6269,26008,spearman,30,1,0.7,,True,False,False,42.69426608179563,28.619840427721833,2.5403848258547144,0.3781874893435653,0.5592105263157895,13.0137,1.0503,77
26220,6269,555555,no_emb,30,1,,,,,baseline,41.88007025994969,29.345396340355958,2.160342434189873,0.401677749076336,0.5855263157894737,34.8714,0.0897,428
26220,6269,555555,spearman,30,1,0.7,,True,False,True,45.73161155946757,30.836373114581008,0.46425168423189056,0.2865667224517324,0.5526315789473685,23.1207,0.8061,380
26220,6269,555555,spearman,30,1,0.7,,True,False,False,44.677671053344184,29.294874463571247,-4.238906840312909,0.31907167004110903,0.6052631578947368,20.1271,0.7161,255
26220,6269,213626,no_emb,30,1,,,,,baseline,41.97949940275375,28.77637447066167,5.4260162396563425,0.39883337523727524,0.5921052631578947,8.9564,0.0866,41
26220,6269,213626,spearman,30,1,0.7,,True,False,True,40.16744293405726,28.419378416527525,8.600111654454391,0.4496122977249901,0.6052631578947368,9.5582,2.1074,44
26220,6269,213626,spearman,30,1,0.7,,True,False,False,43.40215924595411,29.215011018626637,9.007234050387066,0.3573965941294449,0.5986842105263158,15.9188,1.2969,224
26220,6269,907969,no_emb,30,1,,,,,baseline,45.13755447802008,30.514084985053618,2.705372983577594,0.3049814403611347,0.5855263157894737,11.7427,0.0813,121
26220,6269,907969,spearman,30,1,0.7,,True,False,True,41.46695689296329,27.87442255287973,1.8748995737215273,0.41342347093111675,0.5855263157894737,12.4522,1.3074,120
26220,6269,907969,spearman,30,1,0.7,,True,False,False,46.921762137915,31.640633389694628,10.396582555780613,0.2489497793351595,0.618421052631579,22.98,1.0523,318
26220,6269,5219788,no_emb,30,1,,,,,baseline,42.523885664747276,27.84766266060372,-1.9343265941597863,0.3831405328025609,0.5526315789473685,15.2296,0.1229,131
26220,6269,5219788,spearman,30,1,0.7,,True,False,True,41.00699862110525,28.543104814888995,2.891596561504735,0.4263641065514008,0.5789473684210527,24.9612,1.0228,373
26220,6269,5219788,spearman,30,1,0.7,,True,False,False,50.36898061773072,32.43373766524437,9.142472544453698,0.134540650395935,0.5855263157894737,11.8203,1.9757,104
26220,6269,13451285,no_emb,30,1,,,,,baseline,45.28215862144168,31.10631166544615,0.20730386596489575,0.3005211388986455,0.5,30.0862,0.0845,457
26220,6269,13451285,spearman,30,1,0.7,,True,False,True,43.446040549271125,28.229455964694566,-2.976809764676575,0.35609654223144993,0.5592105263157895,17.7841,0.723,228
26220,6269,13451285,spearman,30,1,0.7,,True,False,False,42.957830599702454,29.11627056573828,1.661294463681045,0.3704865218033946,0.5460526315789473,13.7693,0.9667,172
26220,6269,23616558,no_emb,30,1,,,,,baseline,44.45532603159561,30.246922942487146,0.8908336449511884,0.3258322860716959,0.5460526315789473,19.46,0.0894,264
26220,6269,23616558,spearman,30,1,0.7,,True,False,True,40.74682167770497,27.13524928240994,4.620680177133847,0.4336201055508606,0.5986842105263158,9.7799,1.591,54
26220,6269,23616558,spearman,30,1,0.7,,True,False,False,45.644104470463894,31.52478798593279,3.2983126744287077,0.2892944084910789,0.5723684210526315,12.1669,1.0377,98
26220,6269,618626816,no_emb,30,1,,,,,baseline,42.5368435088909,27.856120541764824,-2.2933282099566816,0.38276453768614715,0.5394736842105263,13.7402,0.0885,125
26220,6269,618626816,spearman,30,1,0.7,,True,False,True,43.21247219905089,30.15566587961869,3.537098582493129,0.3630012543387099,0.5460526315789473,29.249,1.3067,463
26220,6269,618626816,spearman,30,1,0.7,,True,False,False,45.84479817890471,30.16489000197232,-0.7095289139527511,0.2830308299525355,0.5526315789473685,25.7844,0.838,365
904144,6269,42,no_emb,30,1,,,,,baseline,11.229286000320773,8.629776094474044,0.35630227226057865,0.23750175882912095,0.5789473684210527,7.8072,0.0854,17
904144,6269,42,spearman,30,1,0.7,,True,False,True,11.274553918901006,8.964561820419785,2.269176529513465,0.23134174459099932,0.5328947368421053,7.8495,1.4358,18
904144,6269,42,spearman,30,1,0.7,,True,False,False,12.049093213704218,9.596537140459796,3.6091396220369276,0.12210355897702485,0.5263157894736842,7.6218,1.3124,16
904144,6269,1000,no_emb,30,1,,,,,baseline,11.849030757915388,9.271662490138041,3.5170109343100218,0.15101461566768004,0.5986842105263158,8.5998,0.1127,36
