product_id,store_id,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid
26008,6269,spearman,30,1,0.7,,True,False,True,50.41510331158219,27.77340081782123,-20.370393958746217,37.24350034993296,0.7039473684210527
26008,6269,spearman,30,1,0.7,,True,False,False,84.6261924644251,63.179393109153295,-62.755771102468955,73.79688728511812,0.743421052631579
26008,6269,spearman,30,1,0.72,,True,False,False,59.197469130337744,33.7514092688467,-28.585958767560573,45.18307657427069,0.6907894736842105
26008,6269,spearman,30,1,0.75,,True,False,False,55.528145416698756,34.85965989734612,7.348941561832927,38.316223073144144,0.6447368421052632
911753,6269,spearman,30,1,0.7,,True,False,True,28.059062000214293,20.43764078227523,-6.106346940682604,20.665527930846604,0.743421052631579
911753,6269,spearman,30,1,0.7,,True,False,False,33.225931414951596,25.574520634669884,3.0581436157226562,23.771131770073932,0.7697368421052632
911753,6269,spearman,30,1,0.72,,True,False,False,30.840503524524976,21.48807465796377,-1.1172336254244537,21.071578833109545,0.7631578947368421
911753,6269,spearman,30,1,0.75,,True,False,False,31.95704095556738,25.568062227535872,19.193528767504723,27.168918226543838,0.7368421052631579
