window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26
0,0,0.1251179277896881,-0.10045526176691055,0.6174318790435791,2.0,0.17015548050403595,-3.9001739025115967,1.0,4.0,0.010701545514166355,6.0,0.12073195725679398,3.0,1.0,-0.10000000149011612,-0.2666666805744171,0.032931823283433914,3.0,2.0865557193756104,0.0,0.0,1.7671458721160889,1.3281550407409668,83.03333282470703,27.707191467285156,149.0,93.0,0.0
0,1,-0.37464651465415955,-0.15326447784900665,0.8317375779151917,4.0,0.3376513123512268,0.21252673864364624,0.8965517282485962,5.0,0.020576132461428642,6.0,0.13277648389339447,1.0,0.3333333432674408,0.0,0.2666666805744171,0.13729864358901978,5.0,1.8279443979263306,0.0,0.0,0.9817476868629456,1.2653549909591675,6.0,2.936101198196411,14.0,8.0,0.0
0,2,-0.93095862865448,-0.667657196521759,1.124726414680481,4.0,0.07506921142339706,-0.0031541346106678247,0.9655172228813171,5.0,0.020408162847161293,6.0,0.1418781727552414,1.0,0.5,0.0,-0.2666666805744171,0.21099747717380524,5.0,1.941593885421753,0.0,0.0,0.7853981852531433,1.2183572053909302,20.5,10.634200096130371,61.0,30.0,0.0
0,3,0.3485196828842163,0.13069488108158112,0.7002176642417908,3.0,0.34122729301452637,-1.3125797510147095,0.931034505367279,3.0,0.02210884355008602,4.0,0.09800464659929276,3.0,0.5,-0.46666666865348816,0.13333334028720856,0.05663399025797844,5.0,2.091329574584961,0.0,0.0,1.1780972480773926,1.3056092262268066,8.399999618530273,4.590845584869385,20.0,14.0,0.03333333507180214
0,4,0.3178147077560425,-0.22247029840946198,0.6817193627357483,2.0,0.46370643377304077,-0.9973937273025513,0.931034505367279,3.0,0.04421768710017204,2.0,0.09110754728317261,2.0,0.5,0.0,0.03333333507180214,0.03248504921793938,4.0,2.0284221172332764,0.0,0.0,1.7671458721160889,1.268225908279419,8.0,4.719731330871582,18.0,8.0,0.0
0,5,-0.13083146512508392,-1.041979193687439,0.8185441493988037,4.0,0.2430710643529892,-1.8980635404586792,0.931034505367279,4.0,0.02469135820865631,5.0,0.11499858647584915,1.0,0.3333333432674408,-0.4333333373069763,0.06666667014360428,0.1262124478816986,3.0,1.9752930402755737,0.0,0.0,0.9817476868629456,1.1625362634658813,4.366666793823242,3.566929817199707,13.0,3.0,0.13333334028720856
0,6,-0.3289174437522888,-0.3289174437522888,0.6299956440925598,1.0,0.3199997544288635,-0.8769385814666748,0.931034505367279,4.0,0.004359888844192028,4.0,0.12277331203222275,4.0,1.0,0.0,0.1666666716337204,0.11941925436258316,5.0,2.1367459297180176,0.0,0.0,1.3744467496871948,1.2595183849334717,13.366666793823242,7.4993486404418945,34.0,16.0,0.0
0,7,-0.6911737322807312,-0.4564354717731476,0.6967807412147522,3.0,0.15073910355567932,1.4051668643951416,0.931034505367279,3.0,0.015306122601032257,5.0,0.06974673271179199,1.0,0.5,0.03333333507180214,0.20000000298023224,0.14916153252124786,4.0,2.0796122550964355,0.0,0.0,1.1780972480773926,1.2929539680480957,5.933333396911621,5.112077236175537,24.0,14.0,0.03333333507180214
0,8,-0.9402508735656738,-0.4424709975719452,0.7160357236862183,2.0,0.35032063722610474,1.133306860923767,0.8275862336158752,4.0,0.017006803303956985,6.0,0.15301808714866638,2.0,0.5,-0.3333333432674408,0.1666666716337204,0.1093536838889122,4.0,1.9683496952056885,0.0,0.0,1.5707963705062866,1.2275488376617432,7.599999904632568,3.616056203842163,15.0,10.0,0.0
0,9,-0.1711777150630951,-0.5905631184577942,0.5211416482925415,2.0,0.49925264716148376,-1.1254454851150513,0.9655172228813171,3.0,0.013476020656526089,3.0,0.17598886787891388,2.0,1.0,0.0,-0.10000000149011612,0.022687090560793877,3.0,2.0044357776641846,0.0,0.0,1.7671458721160889,1.2289237976074219,6.266666889190674,3.894587993621826,14.0,9.0,0.10000000149011612
