product_id,store_id,seed,metric,model_variant,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
278,6269,42,cid,lstm_baseline,,,,,,,,,14.066752400035792,9.085234024945427,-5.280605478224412,10.624836075810355,0.5723684210526315
278,6269,42,cid,mlp_baseline,,,,,,,,,10.90015267914475,8.012109868666705,-1.7270770852082695,7.884873078041118,0.6052631578947368
278,6269,42,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,13.468139594269713,9.020999895980935,-4.227694106257819,10.046243297694547,0.5526315789473685
278,6269,42,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,11.884268665662436,8.363726366579144,-1.993832189273211,8.531523971794307,0.6052631578947368
278,6269,42,cid,gcn_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,15.159128306573383,9.848295816409042,-6.933992005641164,11.775136108799243,0.5460526315789473
278,6269,42,cid,gcn_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,14.598207315931713,9.502149220385583,-4.764325808855443,10.865722415276114,0.5131578947368421
278,6269,42,cid,gat_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.915048113016717,9.600690068762287,-7.4123240950839975,11.71077759746993,0.5855263157894737
278,6269,42,cid,gat_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.775461136982486,8.824147629582026,-1.7571988448598026,9.0330671871017,0.5921052631578947
278,6269,1000,cid,lstm_baseline,,,,,,,,,10.858158439330138,7.575651870054357,-3.027364322562623,8.079833267819314,0.5789473684210527
278,6269,1000,cid,mlp_baseline,,,,,,,,,10.232303983514768,7.675456377415875,-1.215278301363677,7.338835661452273,0.5723684210526315
278,6269,1000,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,12.988806401777413,8.403512515273748,-5.027404445448732,9.852132441069326,0.631578947368421
278,6269,1000,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,11.796502166093571,8.230837198643902,-3.5231915455238494,8.836758269088724,0.5986842105263158
278,6269,1000,cid,gcn_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.775123439090377,9.574523966296825,-7.522094393088148,11.661716309391432,0.6052631578947368
278,6269,1000,cid,gcn_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.687690741447366,8.549334407631868,-2.1082369486490884,9.008238209793921,0.5921052631578947
278,6269,1000,cid,gat_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.770767788699704,9.587949229221717,-7.1924387613932295,11.580480892003587,0.5460526315789473
278,6269,1000,cid,gat_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.749600831013021,9.26603127772512,-0.21427882574742135,8.744877941374645,0.5986842105263158
278,6269,26008,cid,lstm_baseline,,,,,,,,,11.353502610126625,7.999012597246108,-3.625638418727451,8.582914059056701,0.618421052631579
278,6269,26008,cid,mlp_baseline,,,,,,,,,10.398337916568199,7.913508116030226,-1.3262050790724411,7.509097257059766,0.5986842105263158
278,6269,26008,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,12.326962853296372,8.161084588446649,-4.9235481269219346,9.434639605490332,0.631578947368421
278,6269,26008,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.153488363927163,8.530932152193357,-4.285833340065152,9.28093555502821,0.5723684210526315
278,6269,26008,cid,gcn_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.718457996669994,9.723518178353903,-7.635612282098508,11.6990116134481,0.5592105263157895
278,6269,26008,cid,gcn_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,14.191864410789067,9.148376552108067,-5.365925832511553,10.724507801549438,0.5723684210526315
278,6269,26008,cid,gat_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.790629657775085,9.623117210039126,-6.927355884726531,11.532933102578957,0.5657894736842105
278,6269,26008,cid,gat_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.678730316728082,8.793583389980341,-1.4123700709124796,8.890853523587246,0.5986842105263158
278,6269,555555,cid,lstm_baseline,,,,,,,,,13.997280847172753,9.376196194318386,-5.466557197321475,10.709328771496342,0.5526315789473685
278,6269,555555,cid,mlp_baseline,,,,,,,,,11.086850038942751,8.243544416489945,-1.564791342791389,7.995508959291708,0.5921052631578947
278,6269,555555,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.680546713852108,9.515162016052047,-6.491670499440112,11.341981485799094,0.6052631578947368
278,6269,555555,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.657477849630427,8.957404055626563,-1.1870075175964754,8.864841818120974,0.5789473684210527
278,6269,555555,cid,gcn_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,15.710923396176149,10.675607413248299,-8.252535383685741,12.587497397321584,0.618421052631579
278,6269,555555,cid,gcn_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,14.556385576485734,9.458338799819447,-5.231350113363827,10.950615016538686,0.5855263157894737
278,6269,555555,cid,gat_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,13.59548905504156,9.000994208591436,-4.258473757824866,10.112611519124856,0.5789473684210527
278,6269,555555,cid,gat_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.308478872826186,8.287796749788171,-2.388291558409049,8.823261513462398,0.5921052631578947
278,6269,213626,cid,lstm_baseline,,,,,,,,,12.112604944133553,7.923541656506607,-4.285890624414082,9.108660542296947,0.5986842105263158
278,6269,213626,cid,mlp_baseline,,,,,,,,,10.60435657834829,7.733164936888452,-2.350874003242044,7.823188024206769,0.5986842105263158
278,6269,213626,cid,graph2vec_lstm,30,1,4.17,,True,False,False,catch24_minmaxlast,14.470032846843024,9.48979710597618,-6.483852049883674,11.228428712386476,0.5986842105263158
278,6269,213626,cid,graph2vec_mlp,30,1,4.17,,True,False,False,catch24_minmaxlast,12.059728502062434,8.646807427499809,-0.5611790177089716,8.331860862333412,0.5789473684210527
