strategy,rmse,mae,avg_rank_over_metrics
best_val,2.2459016393442623,2.2459016393442623,2.2459016393442623
expanding_window,2.360655737704918,2.3442622950819674,2.3524590163934427
sliding_window,2.3442622950819674,2.377049180327869,2.360655737704918
combined,3.0491803278688523,3.0327868852459017,3.040983606557377
