seed,strategy,item_id,store_id,rmse,mae,bias,pocid,score,train_time,inference_time,best_epoch,n_rows,status
1268319,best_val,55,6269,2.2391632632404903,1.886984944343567,0.9102597220947868,0.423841059602649,1.8188927982298335,8.108795881271362,0.06699943542480469,13,761,ok
1268319,best_val,116,6269,14.617488660212647,11.589906692504883,-6.394927652258622,0.5298013245033113,11.8049529162972,8.02623701095581,0.06899833679199219,11,761,ok
1268319,best_val,128,6269,4.110640066385172,3.272141933441162,1.5876239365652989,0.423841059602649,3.2702615006942013,8.976531982421875,0.06799864768981934,30,761,ok
1268319,best_val,176,6269,3.225760578099281,2.3423270004752434,-1.1899426883380664,0.3841059602649007,2.4959477112529678,8.360474586486816,0.06599855422973633,18,761,ok
1268319,best_val,215,6269,4.000020503945251,3.250275135040283,0.7287798959173655,0.48344370860927155,2.994774009712038,11.093077182769775,0.06801366806030273,73,761,ok
1268319,best_val,219,6269,3.729354356414854,2.7781636714935303,-0.3985836403934579,0.423841059602649,2.658864006179174,7.721663475036621,0.06799936294555664,5,761,ok
1268319,best_val,221,6269,3.842081095310761,2.8968710899353027,-0.09092800868184943,0.4105960264900662,2.6679903223096684,7.626471757888794,0.06799888610839844,3,761,ok
1268319,best_val,230,6269,4.496364184348939,3.8014631271362305,1.505772297711749,0.41721854304635764,3.574990948386464,9.73348617553711,0.06799983978271484,46,761,ok
1268319,best_val,242,6269,3.564984308665708,2.7797024250030518,1.3940443537737195,0.45695364238410596,2.8259288490270467,10.259628772735596,0.06799817085266113,56,761,ok
1268319,best_val,255,6269,4.252348531439646,3.2423689365386963,-0.8697765846001474,0.5629139072847682,3.154210646004534,7.5421717166900635,0.06800007820129395,2,761,ok
1268319,best_val,271,6269,3.0470125607468574,2.434666633605957,-0.3791554789794119,0.4966887417218543,2.226961808519771,10.588039875030518,0.06799936294555664,62,761,ok
1268319,best_val,304,6269,3.924791930691199,3.2544801235198975,0.1537255064437264,0.46357615894039733,2.8144473728365056,7.492189645767212,0.06883668899536133,1,761,ok
1268319,best_val,471,6269,2.15077850925431,1.8632818601633374,-0.38703837598624985,0.41721854304635764,1.637969313664552,8.442012310028076,0.0670008659362793,20,761,ok
1268319,best_val,485,6269,3.5806151141874025,2.6953017711639404,0.6911661734706477,0.4503311258278146,2.6369245432523485,7.638075590133667,0.06799840927124023,4,761,ok
1268319,best_val,487,6269,2.4551418299212973,1.9642181396484375,0.7602522781020716,0.45695364238410596,1.9086885193982759,9.680877447128296,0.06799888610839844,44,761,ok
1268319,best_val,498,6269,3.264580372458265,2.4694983959198,-0.5424870331036417,0.4304635761589404,2.3852865434849932,8.961121320724487,0.06800222396850586,30,761,ok
1268319,best_val,612,6269,2.4306606419068353,2.005238810652181,0.7643666345822183,0.39072847682119205,1.9077316822620176,11.321040391921997,0.06799888610839844,77,761,ok
1268319,best_val,624,6269,2.80657326040742,2.2123234272003174,-0.4394793212413788,0.5033112582781457,2.066237317314134,8.367411136627197,0.06852602958679199,18,761,ok
1268319,best_val,625,6269,2.482755793121343,2.0047860145568848,1.2248603732962358,0.4370860927152318,2.0487894935239517,7.672572374343872,0.06799983978271484,3,761,ok
1268319,best_val,640,6269,6.459284985066888,5.257928371429443,-1.3858163576377065,0.5099337748344371,4.890578674800231,7.487574100494385,0.06789302825927734,1,761,ok
1268319,best_val,676,6269,2.7913026029503882,2.1993306977184197,1.4253162906358117,0.4900662251655629,2.301813048563752,10.964272260665894,0.06579089164733887,70,761,ok
1268319,best_val,688,6269,4.877889314929273,4.132508754730225,0.9736438487705431,0.32450331125827814,3.715482808339828,10.31091570854187,0.06699919700622559,57,761,ok
1268319,best_val,691,6269,4.404742693276161,3.6301591396331787,-0.6924462698792156,0.41721854304635764,3.283022699016179,9.425071954727173,0.06834125518798828,38,761,ok
1268319,best_val,692,6269,5.667058407575578,4.119748115539551,-3.1980609344808677,0.4768211920529801,4.6629814662928935,9.604838132858276,0.06699943542480469,43,761,ok
1268319,best_val,703,6269,4.382708271167627,2.9851462841033936,-1.8146379903743142,0.5827814569536424,3.3913002042032403,8.641258716583252,0.06800055503845215,20,761,ok
1268319,best_val,706,6269,3.780342308369022,3.1452441215515137,0.9132909182655183,0.48344370860927155,2.904804914138769,9.617122888565063,0.06899905204772949,43,761,ok
1268319,best_val,742,6269,4.862803730635307,3.352466344833374,-2.2511920058413555,0.5231788079470199,3.832316452986336,7.671972751617432,0.0670013427734375,4,761,ok
1268319,best_val,786,6269,5.773864317359167,4.589552402496338,-2.758131315833644,0.4966887417218543,4.723853088262079,7.656173229217529,0.06799864768981934,4,761,ok
1268319,best_val,809,6269,3.4555865183836962,2.5971360206604004,-0.9604305734759883,0.5033112582781457,2.6171849077259455,7.864236116409302,0.06799888610839844,8,761,ok
1268319,best_val,905,6269,4.283609450132522,3.7533445358276367,3.273227748117949,0.40397350993377484,3.898447796052657,7.566416263580322,0.06699848175048828,2,761,ok
1268319,best_val,920,6269,4.520061702475913,3.609792947769165,1.3447268950311762,0.5562913907284768,3.498660811938042,9.15196418762207,0.06699895858764648,33,761,ok
1268319,best_val,940,6269,4.251594244443461,3.4026482105255127,-0.556734583879772,0.48344370860927155,3.1156428208230516,7.487701416015625,0.06800127029418945,1,761,ok
1268319,best_val,942,6269,3.9149323675128422,3.2663180828094482,0.8575676930578131,0.5099337748344371,2.9884376277232363,7.643107652664185,0.06799864768981934,4,761,ok
1268319,best_val,1042,6269,2.8769073793460813,2.299276351928711,0.546083149941344,0.4370860927152318,2.149793565140554,7.501511573791504,0.06699872016906738,1,761,ok
1268319,best_val,1051,6269,4.0457368524259145,3.3835396766662598,1.3385325183993892,0.4304635761589404,3.2033864749793697,7.6536383628845215,0.06699895858764648,4,761,ok
1268319,best_val,1165,6269,4.480390419977894,3.5976614952087402,0.4953774652983013,0.4503311258278146,3.2634549501157073,7.88401198387146,0.06599831581115723,9,761,ok
1268319,best_val,1176,6269,3.6792642467399466,2.8488752841949463,0.5500878660302413,0.5165562913907285,2.68937291092627,7.6598060131073,0.06699991226196289,4,761,ok
1268319,best_val,1181,6269,4.019266459026118,3.239818572998047,-0.3969096776686217,0.4966887417218543,2.918815292179726,8.194334506988525,0.06893157958984375,15,761,ok
1268319,best_val,1182,6269,5.026848994691375,3.987567186355591,-1.6482608702621961,0.5298013245033113,3.9223815115001344,7.59363317489624,0.06699872016906738,2,761,ok
1268319,best_val,1241,6269,2.1185839302191702,1.8499820271604939,1.0408780990462554,0.45695364238410596,1.7820069966612726,8.769580841064453,0.06699848175048828,26,761,ok
1268319,best_val,1267,6269,2.5140318949883182,2.0475881099700928,0.3075952984784779,0.5165562913907285,1.8458117996063017,7.563462495803833,0.0687718391418457,2,761,ok
1268319,best_val,1274,6269,2.2771756268011916,1.789392408865847,-0.46598950920528487,0.3973509933774834,1.7024332929183787,10.94568157196045,0.06902146339416504,70,761,ok
1268319,best_val,1419,6269,3.1171838287102442,2.6915063858032227,2.021143665439204,0.4105960264900662,2.736754427165729,11.858653783798218,0.06799840927124023,88,761,ok
1268319,best_val,1427,6269,2.39097532809558,1.8677849769592285,-0.2516094877531654,0.48344370860927155,1.7253362802258885,8.30810546875,0.06800007820129395,17,761,ok
1268319,best_val,1433,6269,3.1169563532818616,2.296499490737915,-0.17745732476836756,0.5827814569536424,2.1769673805175014,8.583227396011353,0.069000244140625,22,761,ok
1268319,best_val,1438,6269,2.217837938708662,1.7048169374465942,-0.12236923449917843,0.4503311258278146,1.5657155123407742,7.544971704483032,0.06699895858764648,2,761,ok
1268319,best_val,1444,6269,2.5776303023523437,2.1682290207398567,0.429048962498966,0.3708609271523179,1.9381346469858776,7.992502450942993,0.06699872016906738,11,761,ok
1268319,best_val,1445,6269,3.576589479223389,2.7630552429901925,-1.6629177959341752,0.5562913907284768,2.8947879993427867,8.06705117225647,0.05899930000305176,13,761,ok
1268319,best_val,1462,6269,2.273125695938285,1.7659019231796265,0.22868538373395017,0.3509933774834437,1.6352096746975366,7.631139755249023,0.06700015068054199,3,761,ok
1268319,best_val,1578,6269,1.922715257978976,1.6954338291757984,0.33610443927739797,0.41721854304635764,1.469242196102787,7.62523627281189,0.0670008659362793,3,761,ok
1268319,best_val,1718,6269,4.495213612200373,3.5681569576263428,0.7748676522781974,0.423841059602649,3.3333629585763216,7.57999849319458,0.06699848175048828,3,761,ok
1268319,best_val,1739,6269,8.148560622721535,6.5510735511779785,-2.3945344498282983,0.5629139072847682,6.310682311612337,8.147549390792847,0.06799864768981934,14,761,ok
1268319,best_val,1756,6269,1.9546518417173744,1.632123904792886,0.05173949818862112,0.48344370860927155,1.398291771604064,8.903197050094604,0.06699872016906738,29,761,ok
1268319,best_val,1776,6269,3.2557146741615397,2.471139669418335,-0.9893173520502291,0.5496688741721855,2.492971592447911,14.103148937225342,0.06799936294555664,133,761,ok
1268319,best_val,1777,6269,3.1558855757472597,2.450258080896578,0.04519396236068324,0.543046357615894,2.201805798687945,7.520052671432495,0.06799936294555664,2,761,ok
1268319,best_val,1869,6269,3.8547537279147552,3.04620522226354,-2.4336340086730686,0.4370860927152318,3.29733667169153,11.151082038879395,0.06799888610839844,74,761,ok
