seed,strategy,item_id,store_id,rmse,mae,bias,pocid,score,train_time,inference_time,best_epoch,n_rows,status
42,best_val,55,6269,2.191835956296448,1.868338704109192,0.9210491219633504,0.41721854304635764,1.7932649346663596,7.962658405303955,0.06400108337402344,10,761,ok
42,best_val,116,6269,14.610186516565356,11.563095092773438,-6.32391263309278,0.5298013245033113,11.776845189749233,7.588090181350708,0.061004638671875,10,761,ok
42,best_val,128,6269,3.861362578682594,2.999749183654785,1.0437031890216626,0.44370860927152317,2.941544382510409,7.731014013290405,0.0690011978149414,13,761,ok
42,best_val,176,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,215,6269,3.9783640080262748,3.23905348777771,1.5792048620550256,0.5165562913907285,3.1937465914713212,8.40373182296753,0.06799983978271484,22,761,ok
42,best_val,219,6269,3.599773765448955,2.6749935150146484,-0.31871990153664037,0.4370860927152318,2.5483152368622997,7.482372999191284,0.06099820137023926,5,761,ok
42,best_val,221,6269,3.8669750424988627,2.830399751663208,-0.14886480412985148,0.4304635761589404,2.6783036601976966,7.116264820098877,0.06100153923034668,2,761,ok
42,best_val,230,6269,3.6497309023803437,3.0449254512786865,0.16342520870660482,0.44370860927152317,2.6269531161864945,7.041640520095825,0.06200122833251953,3,761,ok
42,best_val,242,6269,3.29369645771902,2.5278782844543457,0.5822566198675256,0.423841059602649,2.424381954939978,7.0060975551605225,0.06100058555603027,3,761,ok
42,best_val,255,6269,11.170461285115563,9.386889457702637,8.287164198724847,0.5496688741721855,10.003744056664653,9.740823745727539,0.06400108337402344,61,761,ok
42,best_val,271,6269,2.9709267115173876,2.29351544380188,-0.4990421984540789,0.5033112582781457,2.1836027663226836,9.654794454574585,0.05900001525878906,61,761,ok
42,best_val,304,6269,3.8517030144801367,3.1101648807525635,-0.254312874455201,0.45695364238410596,2.7669709460420093,7.2400195598602295,0.07900285720825195,9,761,ok
42,best_val,471,6269,,,,,,,,,739,skipped_insufficient_data
42,best_val,485,6269,3.510300465517921,2.6273274421691895,0.6893080472946167,0.5033112582781457,2.584309105124912,7.033876657485962,0.06200098991394043,3,761,ok
42,best_val,487,6269,2.3827492627366955,1.911320686340332,0.6004309371898049,0.5099337748344371,1.819312537250882,8.10780119895935,0.06300163269042969,23,761,ok
42,best_val,498,6269,3.2108552277134765,2.4134862422943115,-0.46078103545464966,0.423841059602649,2.323994433293979,7.92858099937439,0.07400250434875488,22,761,ok
42,best_val,612,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,624,6269,2.785208895534832,2.1881725788116455,-0.38671251504044785,0.48344370860927155,2.0363257212304395,8.199209928512573,0.06400132179260254,21,761,ok
42,best_val,625,6269,2.526316037303511,2.0486085414886475,1.2670603833700482,0.4370860927152318,2.0920752498664292,7.3123321533203125,0.06300091743469238,4,761,ok
42,best_val,640,6269,6.408712667375447,5.2399492263793945,-0.5663396402409202,0.48344370860927155,4.655928550342802,7.000337600708008,0.05800127983093262,3,761,ok
42,best_val,676,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,688,6269,4.857291115173051,4.024474620819092,-0.3639171709747691,0.36423841059602646,3.5257435055349906,8.640875101089478,0.06399869918823242,33,761,ok
42,best_val,691,6269,4.33624211521482,3.590691089630127,-0.6159446957079988,0.3973509933774834,3.2197800039419415,8.622958183288574,0.06100106239318848,34,761,ok
42,best_val,692,6269,5.674155205180809,4.106450080871582,-3.2111364006996155,0.44370860927152317,4.666474222983204,8.393493413925171,0.06400275230407715,28,761,ok
42,best_val,703,6269,4.349144529213341,2.9343090057373047,-1.7628715791200336,0.5894039735099338,3.348867410821005,7.896125078201294,0.06300091743469238,18,761,ok
42,best_val,706,6269,3.7232413217439193,3.0971436500549316,0.8745559516705965,0.4966887417218543,2.8545455613033415,8.94393277168274,0.06400108337402344,39,761,ok
42,best_val,742,6269,3.798949628519612,2.9742543697357178,0.034686539714273656,0.543046357615894,2.651710041622304,15.037996053695679,0.06399989128112793,157,761,ok
42,best_val,786,6269,5.546952539895974,4.428773403167725,-2.4107421542468823,0.48344370860927155,4.483355159301639,8.877812623977661,0.07100152969360352,29,761,ok
42,best_val,809,6269,3.4377926788577025,2.6023342609405518,-0.9610645190665597,0.5496688741721855,2.609746034430629,8.24468469619751,0.07600116729736328,7,761,ok
42,best_val,905,6269,3.4774839401697,2.9041566848754883,1.9213661339722181,0.41721854304635764,2.9451226747967763,13.161556720733643,0.06400108337402344,94,761,ok
42,best_val,920,6269,4.412714767632664,3.450357437133789,0.866274827405026,0.4900662251655629,3.2855154499510357,15.001039981842041,0.0690000057220459,148,761,ok
