product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,num_edges_mean,epoch,train_loss,val_loss,z_norm_mean,z_var_mean,grad_norm_gcn,grad_norm_lstm,grad_ratio_gcn_lstm
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,1,0.0650009208669265,0.001262122648768127,nan,nan,0.0,0.21883620679620053,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,2,0.03641728228992886,7.221449038752326e-08,nan,nan,0.0,0.10052575454498085,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,3,0.03422541714583834,0.000801317801233381,nan,nan,0.0,0.0836588096282372,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,4,0.033548199106007814,0.0006018945714458823,nan,nan,0.0,0.08719126903388341,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,5,0.03178651749880777,0.0014648732030764222,nan,nan,0.0,0.08333531400495228,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,6,0.030967967481248908,0.00214851344935596,nan,nan,0.0,0.08597526701126676,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,7,0.030098868896149926,0.0029127232264727354,nan,nan,0.0,0.08796138540599964,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,8,0.029429780629773934,0.0036976495757699013,nan,nan,0.0,0.09090243781905182,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,9,0.028920197393745184,0.004359873943030834,nan,nan,0.0,0.094046288297454,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,10,0.02851903609310587,0.004923120141029358,nan,nan,0.0,0.09692492951844561,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,11,0.02821165540566047,0.005353932734578848,nan,nan,0.0,0.09951186877661801,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,12,0.02795944678493672,0.0056834109127521515,nan,nan,0.0,0.10174753233890246,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,13,0.02774624407498373,0.005928709637373686,nan,nan,0.0,0.10376170456466018,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,14,0.02755737889351116,0.006114030256867409,nan,nan,0.0,0.10561670441127131,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,15,0.027386375288996432,0.006255609914660454,nan,nan,0.0,0.10737159076824575,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,16,0.027228767259253397,0.006366505287587643,nan,nan,0.0,0.1090452090666586,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,17,0.027082090059088335,0.006455659866333008,nan,nan,0.0,0.1106445439143197,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,18,0.02694449708279636,0.006529549602419138,nan,nan,0.0,0.11216658096214453,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,19,0.02681462358062466,0.006592816207557917,nan,nan,0.0,0.1136067636398514,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,20,0.026691369091471035,0.006648842711001635,nan,nan,0.0,0.11496062259822265,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,21,0.026573836389515135,0.006700070109218359,nan,nan,0.0,0.11622499842918144,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,22,0.026461264946394496,0.00674836989492178,nan,nan,0.0,0.11739763302506444,0.0
457,6269,42,spearman,15,1,0.75,,True,False,True,0.0,23,0.026353030724243984,0.006795157678425312,nan,nan,0.0,0.11847712646100415,0.0
