0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.05216837674379349,0.05904393643140793,0.07458991557359695,-0.0437430739402771,-0.06534230709075928,-0.019159916788339615,-0.02569647692143917,0.04909113422036171,-0.028968263417482376,-0.06116976588964462,-0.04467589408159256,0.06715700775384903,-0.019280966371297836,0.021206505596637726,0.06597929447889328,0.03333190083503723,-0.008522064425051212,0.030319062992930412,-0.030272427946329117,0.03626428171992302
0.019942544400691986,-0.026898784562945366,0.013184226118028164,-0.05411693826317787,-0.002016915939748287,-0.012211761437356472,0.07176801562309265,-0.013572163879871368,-0.034386709332466125,0.012273763306438923,-0.0696755200624466,-0.05849956348538399,-0.024208970367908478,-0.03059493936598301,-0.024309191852808,-0.021847959607839584,-0.017644936218857765,0.009517808444797993,0.06647371500730515,-0.04178132861852646
-0.0471261627972126,-0.0008247480727732182,-0.013346546329557896,0.006008020602166653,0.04780229553580284,0.039520710706710815,-0.035090360790491104,0.007972793653607368,0.015146472491323948,-0.05952204763889313,0.05142539367079735,0.0532938688993454,0.02106122300028801,0.055394548922777176,0.03188081458210945,0.06296834349632263,0.035676635801792145,-0.09879410266876221,-0.0010556052438914776,0.015397811308503151
-0.007236809935420752,0.03022158145904541,0.0433492548763752,0.042880989611148834,0.039984069764614105,0.05399949476122856,-0.036449335515499115,0.055497679859399796,0.0856359452009201,0.006707300432026386,-0.07253219932317734,-0.06208227202296257,0.03395373746752739,0.037052031606435776,-0.05277404561638832,0.002161618322134018,-0.033199742436409,-0.06377959251403809,-0.02471417374908924,-0.03749953955411911
-0.0734754204750061,-0.03483020141720772,-0.004869224037975073,-0.00896952860057354,-0.03931260108947754,0.057881299406290054,0.038677286356687546,-0.030881233513355255,0.021965552121400833,-0.01008529495447874,0.027367418631911278,-0.020918110385537148,0.015573687851428986,0.07773149013519287,0.012265793047845364,0.05759766325354576,-0.028715571388602257,-0.0350927896797657,0.015286670066416264,-0.03889045491814613
-0.02720186673104763,-0.05891210585832596,0.04893083497881889,0.0806485265493393,0.05812465026974678,0.07201048731803894,0.06591672450304031,-0.038899485021829605,-0.03112170845270157,-0.05387621000409126,-0.031084738671779633,-0.047406118363142014,-0.0008162381127476692,-0.018609272316098213,0.043780822306871414,0.04490217939019203,-0.012921292334794998,0.028292300179600716,0.043267663568258286,-0.05139464884996414
0.011961850337684155,0.023258663713932037,0.0279254000633955,0.07319630682468414,-0.017597049474716187,0.06341732293367386,0.03040189854800701,0.07007179409265518,0.03191179037094116,0.06971468031406403,-0.03323177620768547,-0.010545104742050171,0.05995481461286545,-0.010346286930143833,0.002971910871565342,-0.001021685777232051,-0.05965077877044678,-0.023431628942489624,0.0444406159222126,-0.018051544204354286
-0.010957861319184303,-0.06685598194599152,0.019190143793821335,-0.0024447303730994463,-0.017792537808418274,-0.011636612936854362,0.010323762893676758,0.057952966541051865,-0.0417817160487175,0.019679803401231766,0.023974711075425148,-0.038837090134620667,-0.03926714509725571,-0.02852579951286316,-0.06547525525093079,-0.04917238652706146,0.03291318565607071,-0.06166205182671547,0.01210971362888813,-0.07273019850254059
0.034826330840587616,-0.0006303886766545475,-0.00236827926710248,-0.04176727309823036,-0.029703952372074127,0.01859157159924507,0.07133956253528595,0.05869753286242485,0.0010904144728556275,0.06539317965507507,0.05364874377846718,-0.03007856383919716,0.058369413018226624,0.06829511374235153,0.0025052172131836414,-0.012082725763320923,0.004543053451925516,-0.08233941346406937,0.002874377416446805,-0.0006252569146454334
0.056470852345228195,-0.05078284442424774,0.08825334906578064,0.000242564405198209,-0.0287036020308733,-0.003448303323239088,0.02164408564567566,0.0920262560248375,0.03839701786637306,0.006723706144839525,0.005211136303842068,-0.007645179517567158,0.060490746051073074,-0.006674275267869234,-0.04990147426724434,0.04028184339404106,0.039128273725509644,-0.09987030923366547,0.005147743970155716,0.06103998422622681
